Time(s),Coverage(%),Number of running robots
1.0,10.20,3
2.0,10.20,3
3.0,10.20,3
4.0,10.20,3
5.0,10.20,3
6.0,10.20,3
7.0,10.20,3
8.0,10.20,3
9.0,10.20,3
10.0,11.59,3
11.0,12.83,3
12.0,15.34,3
13.0,15.96,3
14.0,16.06,3
15.0,16.10,3
16.0,16.23,3
17.0,16.50,3
18.0,17.00,3
19.0,18.03,3
20.0,19.61,3
21.0,20.77,3
22.0,22.64,3
23.0,23.91,3
24.0,24.18,3
25.0,24.23,3
26.0,24.32,3
27.0,24.54,3
28.0,24.94,3
29.0,25.08,3
30.0,25.16,3
31.0,25.25,3
32.0,25.35,3
33.0,25.75,3
34.0,26.28,3
35.0,26.90,3
36.0,27.08,3
37.0,27.32,3
38.0,27.80,3
39.0,28.16,3
40.0,28.22,3
41.0,28.34,3
42.0,28.46,3
43.0,28.52,3
44.0,28.73,3
45.0,29.12,3
46.0,29.55,3
47.0,29.59,3
48.0,29.71,3
49.0,29.85,3
50.0,29.93,3
51.0,30.11,3
52.0,30.39,3
53.0,30.77,3
54.0,31.12,3
55.0,31.27,3
56.0,31.41,3
57.0,31.44,3
58.0,31.56,3
59.0,31.67,3
60.0,31.74,3
61.0,31.71,3
62.0,31.92,3
63.0,32.05,3
64.0,32.09,3
65.0,32.09,3
66.0,32.10,3
67.0,32.11,3
68.0,32.13,3
69.0,32.16,3
70.0,32.20,3
71.0,32.26,3
72.0,32.34,3
73.0,32.44,3
74.0,32.52,3
75.0,32.56,3
76.0,32.57,3
77.0,32.95,3
78.0,34.57,3
79.0,36.28,3
80.0,37.37,3
81.0,37.83,3
82.0,38.26,3
83.0,39.00,3
84.0,39.00,3
85.0,39.09,3
86.0,39.26,3
87.0,39.49,3
88.0,39.60,3
89.0,39.64,3
90.0,39.72,3
91.0,39.89,3
92.0,39.96,3
93.0,40.03,3
94.0,40.08,3
95.0,40.28,3
96.0,40.81,3
97.0,41.07,3
98.0,41.19,3
99.0,41.29,3
100.0,41.49,3
101.0,41.80,3
102.0,42.42,3
103.0,43.40,3
104.0,44.80,3
105.0,45.34,3
106.0,45.50,3
107.0,45.66,3
108.0,45.74,3
109.0,45.84,3
110.0,45.72,3
111.0,45.78,3
112.0,45.83,3
113.0,45.94,3
114.0,46.07,3
115.0,47.01,3
116.0,48.00,3
117.0,48.10,3
118.0,48.21,3
119.0,48.85,3
120.0,49.49,3
