Time(s), CPU(%), Memory(MB)
0.16, 0.00, 3.41
3.03, 50.00, 791.18
5.85, 50.00, 792.05
8.70, 50.00, 821.21
11.52, 50.00, 821.58
14.41, 232.90, 914.62
17.24, 90.00, 985.48
20.07, 50.00, 988.36
22.90, 40.00, 989.61
25.74, 59.90, 990.23
28.57, 59.90, 991.11
31.41, 30.00, 992.00
34.25, 30.00, 992.75
37.10, 49.90, 994.41
39.94, 60.00, 995.68
42.77, 89.90, 996.06
45.61, 60.00, 996.68
48.47, 69.90, 997.68
51.30, 119.80, 998.57
54.16, 30.00, 999.33
57.02, 70.00, 1000.08
59.86, 40.00, 1000.96
62.72, 79.80, 1002.08
65.57, 59.90, 1002.83
68.43, 40.00, 1003.96
71.29, 60.00, 1002.06
74.12, 70.00, 998.62
76.96, 39.90, 999.43
79.80, 80.00, 1000.05
82.65, 70.00, 1000.18
85.49, 70.00, 1000.93
88.35, 70.00, 1001.55
91.19, 70.00, 1001.93
94.04, 40.00, 1002.05
96.90, 20.00, 1003.05
99.75, 30.00, 1003.80
102.61, 40.00, 1004.43
105.45, 89.90, 1005.18
108.30, 70.00, 1005.55
111.16, 30.00, 1006.05
114.01, 79.50, 1007.18
116.87, 70.00, 1007.55
119.72, 50.00, 1008.30
122.56, 89.80, 1008.80
125.41, 69.90, 1009.64
128.27, 60.00, 1010.51
131.15, 49.90, 1011.64
133.99, 129.30, 1012.64
136.86, 60.00, 1013.39
139.73, 49.90, 1014.01
142.59, 59.80, 1015.01
145.44, 39.80, 1015.14
148.30, 69.70, 1015.39
151.16, 89.70, 1015.89
154.00, 70.00, 1016.39
156.87, 60.00, 1016.76
159.73, 49.40, 1017.01
162.58, 70.00, 1017.26
165.44, 49.90, 1017.26
168.29, 49.90, 1017.39
171.17, 69.60, 1018.01
174.04, 79.30, 1016.83
176.94, 50.00, 1017.21
179.82, 69.00, 1017.21
182.69, 69.90, 1017.46
185.58, 79.60, 1017.46
188.49, 89.90, 1017.46
191.37, 59.50, 1017.46
194.24, 99.70, 1017.46
197.13, 69.90, 1017.71
200.00, 89.70, 1017.71
202.86, 70.00, 1018.58
205.73, 59.70, 1019.21
208.58, 40.00, 1019.33
211.42, 40.00, 1019.71
214.28, 59.90, 1019.83
217.15, 39.90, 1020.21
219.99, 39.90, 1020.46
222.87, 40.00, 1020.96
225.70, 80.00, 1021.08
228.55, 49.90, 1021.46
231.40, 40.00, 1021.71
234.25, 50.00, 1021.96
237.11, 70.00, 1021.96
239.97, 60.00, 1022.08
242.82, 70.00, 1022.21
245.65, 59.90, 1022.46
248.49, 109.70, 1022.58
251.36, 70.00, 1022.96
254.26, 90.00, 1023.08
257.14, 50.00, 1023.21
260.01, 79.90, 1023.33
262.90, 60.00, 1023.58
265.77, 99.30, 1023.83
268.67, 50.00, 1023.96
271.56, 79.70, 1024.21
274.41, 59.90, 1024.33
277.26, 40.00, 1024.71
