Time(s), System_CPU(%), Target_CPU(%), Target_Memory(MB), System_Memory_Used(MB), System_Memory_Total(MB)
0.26, 19.00, 0.00, 3.49, 1631.18, 15695.66
1.57, 0.00, 0.00, 67.25, 1683.79, 15695.66
2.89, 9.20, 0.00, 67.25, 1692.93, 15695.66
4.20, 0.80, 0.00, 67.38, 1730.55, 15695.66
5.52, 0.00, 0.00, 67.38, 1732.87, 15695.66
7.24, 1.70, 10.00, 191.93, 1871.20, 15695.66
8.95, 0.80, 10.00, 191.93, 1839.64, 15695.66
10.67, 3.40, 0.00, 191.93, 1804.21, 15695.66
12.39, 0.80, 20.00, 191.93, 1781.17, 15695.66
14.10, 0.80, 20.00, 191.93, 1757.90, 15695.66
15.82, 4.20, 0.00, 192.05, 1749.01, 15695.66
17.54, 0.80, 10.00, 192.05, 1731.50, 15695.66
19.25, 1.70, 10.00, 192.05, 1723.63, 15695.66
20.97, 1.70, 20.00, 192.05, 1717.00, 15695.66
22.69, 1.70, 0.00, 192.05, 1710.14, 15695.66
24.40, 1.70, 0.00, 192.05, 1704.74, 15695.66
26.12, 2.50, 20.00, 192.05, 1700.62, 15695.66
27.84, 2.50, 0.00, 192.05, 1700.79, 15695.66
29.57, 1.70, 10.00, 192.05, 1698.44, 15695.66
31.28, 2.50, 10.00, 192.05, 1688.46, 15695.66
33.00, 4.20, 10.00, 192.05, 1687.99, 15695.66
34.72, 1.70, 30.00, 192.05, 1687.93, 15695.66
36.43, 0.80, 0.00, 192.05, 1687.90, 15695.66
38.15, 5.90, 0.00, 192.05, 1688.38, 15695.66
39.87, 0.80, 19.90, 192.05, 1683.66, 15695.66
41.59, 0.80, 0.00, 192.18, 1678.45, 15695.66
43.31, 2.50, 10.00, 192.18, 1679.88, 15695.66
45.03, 0.80, 0.00, 192.18, 1680.17, 15695.66
46.74, 1.70, 20.00, 192.18, 1680.90, 15695.66
48.46, 0.80, 10.00, 192.18, 1680.16, 15695.66
50.18, 5.80, 10.00, 192.18, 1680.63, 15695.66
51.89, 0.80, 0.00, 192.18, 1678.86, 15695.66
53.61, 1.70, 20.00, 192.18, 1677.52, 15695.66
55.33, 3.40, 0.00, 192.18, 1680.01, 15695.66
57.04, 1.70, 10.00, 192.18, 1678.11, 15695.66
58.76, 1.70, 0.00, 192.18, 1673.31, 15695.66
60.48, 1.70, 0.00, 192.18, 1673.82, 15695.66
62.19, 0.80, 10.00, 192.18, 1674.55, 15695.66
63.91, 1.70, 0.00, 192.18, 1675.11, 15695.66
65.63, 2.50, 10.00, 192.18, 1676.14, 15695.66
67.34, 4.10, 20.00, 192.18, 1676.18, 15695.66
69.06, 1.70, 0.00, 192.18, 1676.77, 15695.66
70.78, 1.70, 0.00, 192.18, 1676.77, 15695.66
72.50, 4.20, 10.00, 192.18, 1676.54, 15695.66
74.21, 0.80, 0.00, 192.18, 1676.43, 15695.66
75.93, 1.70, 10.00, 192.18, 1676.90, 15695.66
77.65, 2.50, 0.00, 192.18, 1676.81, 15695.66
79.37, 1.70, 0.00, 192.18, 1677.29, 15695.66
81.08, 0.80, 0.00, 192.18, 1676.82, 15695.66
82.80, 2.50, 20.00, 192.18, 1677.79, 15695.66
84.52, 0.80, 10.00, 192.18, 1678.50, 15695.66
86.24, 0.80, 0.00, 192.18, 1677.50, 15695.66
87.96, 0.80, 10.00, 192.18, 1676.36, 15695.66
89.67, 5.00, 0.00, 192.18, 1676.31, 15695.66
91.39, 0.80, 10.00, 192.18, 1675.94, 15695.66
93.11, 0.80, 10.00, 192.18, 1676.79, 15695.66
94.82, 7.40, 20.00, 192.18, 1677.25, 15695.66
96.54, 0.80, 0.00, 192.18, 1677.31, 15695.66
98.26, 2.50, 10.00, 192.18, 1677.88, 15695.66
99.98, 0.80, 0.00, 192.18, 1678.20, 15695.66
101.69, 1.70, 0.00, 192.18, 1678.16, 15695.66
103.41, 0.80, 0.00, 192.18, 1679.30, 15695.66
105.13, 0.80, 0.00, 192.18, 1679.09, 15695.66
106.84, 1.70, 0.00, 192.18, 1678.66, 15695.66
108.56, 0.80, 10.00, 192.18, 1678.50, 15695.66
110.28, 1.70, 0.00, 192.18, 1679.39, 15695.66
111.99, 0.80, 0.00, 192.18, 1679.16, 15695.66
113.71, 0.80, 10.00, 192.18, 1679.37, 15695.66
115.43, 1.70, 0.00, 192.18, 1679.14, 15695.66
117.15, 3.40, 0.00, 192.18, 1680.11, 15695.66
118.86, 2.50, 0.00, 192.18, 1680.36, 15695.66
120.58, 1.70, 0.00, 192.18, 1679.80, 15695.66
122.30, 0.80, 10.00, 192.18, 1680.77, 15695.66
124.02, 10.00, 0.00, 192.18, 1675.55, 15695.66
