Time(s), CPU(%), Memory(MB)
0.13, 0.00, 3.56
4.12, 358.20, 1256.77
7.96, 39.90, 1281.23
11.79, 80.00, 1308.66
15.71, 320.20, 1353.09
19.71, 208.20, 1600.30
23.58, 159.40, 1650.76
27.48, 70.00, 1654.01
31.37, 149.90, 1657.00
35.27, 148.40, 1659.18
39.22, 128.20, 1660.18
43.19, 129.50, 1660.93
47.15, 128.50, 1661.96
51.14, 109.40, 1663.96
55.12, 118.70, 1665.09
59.14, 118.00, 1666.46
63.13, 59.60, 1667.84
67.12, 108.90, 1669.00
71.15, 108.00, 1670.25
75.12, 118.90, 1671.75
79.09, 99.50, 1673.75
83.09, 108.10, 1673.25
87.06, 129.30, 1666.50
90.98, 109.60, 1668.50
94.92, 119.70, 1670.75
98.81, 49.90, 1672.12
102.73, 109.30, 1673.62
106.64, 109.60, 1674.75
110.59, 176.30, 1676.00
114.58, 98.80, 1678.37
118.55, 128.20, 1680.37
122.51, 119.20, 1682.25
126.47, 139.70, 1683.75
130.46, 97.90, 1686.25
134.45, 118.00, 1687.25
138.41, 99.70, 1688.87
142.37, 108.70, 1690.00
146.26, 90.00, 1691.25
150.16, 148.20, 1692.12
154.07, 118.70, 1693.25
157.99, 109.70, 1693.50
161.87, 79.90, 1694.00
165.80, 79.50, 1694.25
169.75, 139.10, 1694.50
173.72, 138.20, 1694.62
177.68, 178.60, 1694.75
181.64, 128.10, 1695.12
185.58, 59.90, 1696.25
189.53, 99.80, 1697.12
193.51, 109.50, 1696.48
197.45, 88.90, 1696.98
201.38, 128.70, 1697.48
205.31, 89.80, 1697.73
209.23, 79.70, 1698.61
213.12, 79.20, 1698.73
217.00, 99.40, 1698.73
220.87, 59.80, 1698.98
224.74, 100.00, 1699.36
228.61, 99.70, 1700.36
232.49, 79.90, 1700.86
236.34, 69.70, 1701.98
240.23, 59.70, 1702.61
244.07, 119.90, 1702.98
247.98, 109.50, 1703.61
251.85, 129.80, 1704.11
255.73, 80.00, 1704.36
259.63, 89.80, 1704.86
263.51, 89.90, 1705.73
267.36, 129.90, 1706.23
271.23, 129.70, 1706.73
275.17, 139.40, 1707.36
279.12, 59.80, 1707.98
283.02, 69.70, 1708.23
286.92, 79.70, 1708.86
290.83, 110.00, 1709.36
294.77, 139.50, 1709.61
298.71, 198.40, 1709.61
302.66, 129.50, 1709.86
306.61, 159.50, 1710.36
310.55, 79.00, 1711.11
314.49, 98.50, 1711.86
318.42, 109.90, 1711.86
322.29, 59.70, 1712.11
