Time(s),Coverage(%),Number of running robots
1747746095.9,0.00,13
1747746096.9,16.39,13
1747746097.9,16.39,13
1747746098.9,16.39,13
1747746099.9,16.39,13
1747746100.9,16.39,13
1747746101.9,16.39,13
1747746102.9,16.39,13
1747746104.0,16.39,13
1747746105.3,16.39,13
1747746106.3,16.39,13
1747746107.3,16.39,13
1747746108.3,16.39,13
1747746109.4,16.39,13
1747746110.4,16.85,13
1747746111.4,17.29,13
1747746112.4,19.80,13
1747746113.4,22.13,13
1747746114.4,23.50,13
1747746115.5,24.26,13
1747746116.5,25.12,13
1747746117.5,26.21,13
1747746118.5,26.80,13
1747746119.5,28.36,13
1747746120.5,28.67,13
1747746121.5,29.28,13
1747746122.6,29.52,13
1747746123.6,29.70,13
1747746124.6,30.12,13
1747746125.6,30.39,13
1747746126.6,30.64,13
1747746127.6,31.14,13
1747746128.6,31.61,13
1747746129.7,31.96,13
1747746130.7,32.02,13
1747746131.7,32.19,13
1747746132.7,32.28,13
1747746133.8,32.61,13
1747746134.8,32.91,13
1747746135.8,33.04,13
1747746136.8,33.54,13
1747746137.8,33.58,13
1747746138.9,34.35,13
1747746139.9,34.52,13
1747746140.9,35.16,13
1747746141.9,35.47,13
1747746143.0,35.93,13
1747746144.0,36.19,13
1747746145.0,36.96,13
1747746146.0,36.96,13
1747746147.1,37.59,13
1747746148.1,37.59,13
1747746149.1,38.48,13
1747746150.1,38.48,13
1747746151.2,39.01,13
1747746152.2,39.27,13
1747746153.2,39.30,13
1747746154.2,39.79,13
1747746155.2,40.27,13
1747746156.2,40.27,13
1747746157.2,40.48,13
1747746158.3,40.57,13
1747746159.3,41.10,13
1747746160.3,41.17,13
1747746161.4,41.53,13
1747746162.4,41.56,13
1747746163.4,42.23,11
1747746164.4,42.27,11
1747746165.4,42.90,11
1747746166.4,43.08,11
1747746167.5,43.08,11
1747746168.5,44.45,11
1747746169.5,45.61,11
1747746170.5,45.55,11
1747746171.5,46.47,11
1747746172.6,46.47,11
1747746173.6,47.12,11
1747746174.6,47.50,11
1747746175.6,47.65,11
1747746176.6,48.26,11
1747746177.7,49.19,11
1747746178.7,49.55,11
1747746179.7,50.44,11
1747746180.7,51.57,11
1747746181.7,52.19,11
1747746182.7,52.62,11
1747746183.7,52.80,10
1747746184.8,53.61,10
1747746185.8,54.01,10
1747746186.8,54.35,10
1747746187.8,54.39,10
1747746188.9,54.47,10
1747746189.9,54.53,10
1747746190.9,54.61,10
1747746191.9,54.69,10
1747746192.9,54.71,10
1747746193.9,54.72,10
1747746194.9,54.74,10
1747746195.9,54.78,10
1747746196.9,54.81,10
1747746198.0,54.92,10
1747746199.0,55.11,10
1747746200.0,55.27,10
1747746201.0,55.66,10
1747746202.0,55.80,10
1747746203.0,56.11,10
1747746204.0,56.29,10
1747746205.1,56.68,10
1747746206.1,57.16,10
1747746207.1,57.51,10
1747746208.2,57.97,10
1747746209.2,58.18,10
1747746210.2,58.36,10
1747746211.2,58.82,10
1747746212.2,59.33,10
1747746213.3,59.89,10
1747746214.3,60.59,10
1747746215.3,60.59,10
1747746216.3,60.59,10
1747746217.4,60.78,10
1747746218.4,61.13,10
1747746219.4,61.20,10
1747746220.4,61.88,10
1747746221.4,62.61,10
1747746222.5,62.66,10
1747746223.5,63.67,10
1747746224.5,63.75,10
1747746225.5,65.07,10
1747746226.5,65.65,10
1747746227.6,65.76,10
1747746228.6,65.76,10
1747746229.6,66.14,10
1747746230.6,66.28,10
1747746231.6,66.36,10
1747746232.6,66.51,10
1747746233.6,66.69,10
1747746234.7,66.94,10
1747746235.7,67.20,10
1747746236.7,67.64,10
1747746237.7,68.01,10
1747746238.7,68.40,10
1747746239.7,68.93,10
1747746240.8,69.98,10
1747746241.8,71.30,10
1747746242.8,71.79,10
1747746243.8,72.66,10
1747746244.8,72.89,10
1747746245.8,73.37,10
1747746246.8,73.67,10
1747746247.9,73.72,10
1747746248.9,74.26,10
1747746249.9,74.97,10
1747746251.0,75.80,10
1747746252.0,75.88,9
1747746253.0,76.42,9
1747746254.0,76.54,8
1747746255.0,76.66,8
1747746256.1,77.13,8
1747746257.1,77.14,7
1747746258.1,77.16,6
1747746259.1,77.61,6
1747746260.1,77.70,6
1747746261.1,77.72,6
1747746262.2,77.73,6
1747746263.2,77.74,6
1747746264.2,77.74,6
1747746265.2,77.75,6
1747746266.2,77.77,6
1747746267.2,77.77,6
1747746268.2,77.78,6
1747746269.3,77.78,6
1747746270.3,77.78,6
1747746271.3,77.78,6
1747746272.3,77.78,6
1747746273.3,77.79,6
1747746274.3,77.79,6
1747746275.3,77.79,6
1747746276.4,77.79,6
1747746277.4,77.79,6
1747746278.4,77.79,6
1747746279.4,77.79,6
1747746280.4,77.79,6
1747746281.5,77.80,6
1747746282.5,77.81,6
1747746283.5,77.82,6
1747746284.5,77.89,6
1747746285.5,77.98,6
1747746286.5,77.98,6
1747746287.5,77.98,6
1747746288.5,78.16,6
1747746289.5,78.19,6
1747746290.6,78.28,6
1747746291.6,78.46,6
1747746292.6,78.63,6
1747746293.6,78.75,6
1747746294.7,79.39,6
1747746295.7,79.62,6
1747746296.7,79.85,6
1747746297.7,79.86,6
1747746298.7,79.84,6
1747746299.7,80.00,6
1747746300.8,80.26,6
1747746301.8,80.51,6
1747746302.8,80.60,6
1747746303.8,80.77,6
1747746304.8,80.78,6
1747746305.8,80.82,6
1747746306.8,80.91,6
1747746307.8,81.00,6
1747746308.8,81.20,6
1747746309.8,81.63,6
1747746310.8,81.97,6
1747746311.8,82.21,6
1747746312.9,82.48,6
1747746313.9,82.76,6
1747746314.9,83.05,6
1747746315.9,83.23,6
1747746317.0,83.53,6
1747746318.0,83.88,6
1747746319.0,85.09,6
1747746320.0,85.78,6
1747746321.0,86.27,6
1747746322.0,86.55,6
1747746323.1,86.80,6
1747746324.1,86.84,6
1747746325.1,86.87,6
1747746326.2,87.11,6
1747746327.2,87.24,6
1747746328.2,87.36,6
1747746329.2,87.43,6
1747746330.2,87.56,6
1747746331.3,87.77,6
1747746332.3,87.82,6
1747746333.3,87.82,6
1747746334.3,87.82,6
1747746335.3,87.83,6
1747746336.4,87.84,6
1747746337.4,87.85,6
1747746338.4,87.85,6
1747746339.4,87.89,6
1747746340.5,87.89,6
1747746341.5,87.90,6
1747746342.5,87.90,6
1747746343.5,87.94,6
1747746344.5,87.98,6
1747746345.5,87.99,6
1747746346.5,87.99,6
1747746347.6,87.99,6
1747746348.6,87.99,6
1747746349.6,88.00,6
1747746350.6,88.00,6
1747746351.6,88.00,6
1747746352.6,88.00,6
1747746353.7,88.05,6
1747746354.7,88.08,6
1747746355.7,88.08,6
1747746356.7,88.12,6
1747746357.7,88.12,6
1747746358.7,88.12,6
1747746359.8,88.12,6
1747746360.8,88.12,6
1747746361.8,88.12,6
1747746362.8,88.18,6
1747746363.8,88.19,6
1747746364.8,88.19,6
1747746365.8,88.19,6
1747746366.9,88.12,6
1747746367.9,88.12,6
1747746368.9,88.13,6
1747746369.9,88.13,6
1747746370.9,88.25,6
1747746371.9,88.57,6
1747746372.9,88.70,6
1747746374.0,88.70,6
1747746375.0,88.78,6
1747746376.0,88.80,6
1747746377.0,88.86,6
1747746378.0,88.97,6
1747746379.0,89.04,6
1747746380.1,89.80,6
1747746381.1,90.67,6
1747746382.1,90.97,6
1747746383.1,91.00,6
1747746384.1,91.23,6
1747746385.2,91.48,6
1747746386.2,91.57,6
1747746387.2,91.61,6
1747746388.2,91.62,6
1747746389.2,91.66,6
1747746390.2,91.69,6
1747746391.2,91.71,6
1747746392.2,91.72,6
1747746393.3,91.75,6
1747746394.3,91.77,6
1747746395.3,92.27,6
1747746396.3,93.73,6
1747746397.4,93.73,6
1747746398.4,93.74,6
1747746399.4,94.24,6
1747746400.4,94.34,6
1747746401.4,94.38,6
1747746402.4,94.42,6
1747746403.5,94.49,6
1747746404.5,94.58,6
1747746405.5,94.71,6
1747746406.5,94.78,6
1747746407.5,95.00,6
1747746408.5,95.34,6
1747746409.5,95.35,6
1747746410.5,95.69,6
1747746411.5,96.19,6
