Time(s),Coverage(%),Number of running robots
1.0,0.00,8
2.0,0.00,8
3.0,0.00,8
4.0,13.48,8
5.0,17.35,8
6.0,19.13,8
7.0,19.70,8
8.0,20.02,8
9.0,20.32,8
10.0,20.50,8
11.0,20.74,8
12.0,20.91,8
13.0,21.03,8
14.0,21.13,8
15.0,21.30,8
16.0,21.44,8
17.0,21.50,8
18.0,21.60,8
19.0,21.68,8
20.0,21.76,8
21.0,21.86,8
22.0,21.93,8
23.0,21.98,8
24.0,22.14,8
25.0,22.25,8
26.0,22.36,8
27.0,22.53,8
28.0,22.74,8
29.0,22.83,8
30.0,22.96,8
31.0,22.99,8
32.0,23.14,8
33.0,23.24,8
34.0,23.39,8
35.0,23.62,8
36.0,23.74,8
37.0,23.89,8
38.0,24.17,8
39.0,24.43,8
40.0,24.63,8
41.0,24.85,8
42.0,25.05,8
43.0,25.14,8
44.0,25.31,8
45.0,25.47,8
46.0,25.61,8
47.0,25.76,8
48.0,25.76,8
49.0,26.05,8
50.0,26.28,8
51.0,26.43,8
52.0,26.54,8
53.0,26.63,8
54.0,26.73,8
55.0,26.83,8
56.0,26.96,8
57.0,27.03,8
58.0,27.18,8
59.0,27.28,8
60.0,27.36,8
61.0,27.36,8
62.0,27.44,8
63.0,27.46,8
64.0,27.49,8
65.0,27.51,8
66.0,27.57,8
67.0,27.66,8
68.0,27.78,8
69.0,27.89,8
70.0,28.01,8
71.0,28.08,8
72.0,28.26,8
73.0,28.26,8
74.0,28.89,8
75.0,29.30,8
76.0,30.16,8
77.0,31.25,8
78.0,31.99,8
79.0,32.38,8
80.0,32.82,8
81.0,33.23,8
82.0,33.48,8
83.0,33.48,8
84.0,33.92,8
85.0,34.77,8
86.0,34.77,8
87.0,35.35,8
88.0,35.74,8
89.0,35.74,8
90.0,36.38,8
91.0,36.70,8
92.0,36.94,8
93.0,37.09,8
94.0,37.20,8
95.0,37.41,8
96.0,37.52,8
97.0,37.75,8
98.0,37.89,8
99.0,37.89,8
100.0,37.99,8
101.0,38.29,8
102.0,38.29,8
103.0,38.42,8
104.0,38.53,8
105.0,38.69,8
106.0,39.02,8
107.0,39.36,8
108.0,39.71,8
109.0,39.97,8
110.0,40.16,8
111.0,40.33,8
112.0,40.37,8
113.0,40.37,8
114.0,40.66,8
115.0,40.76,8
116.0,40.76,8
117.0,40.91,8
118.0,41.02,8
119.0,41.07,8
120.0,41.12,8
