Time(s),Coverage(%),Number of running robots
1747727773.6,0.00,5
1747727774.6,12.91,5
1747727775.7,18.84,5
1747727776.7,19.93,5
1747727777.7,20.28,5
1747727778.7,20.51,5
1747727779.7,20.96,5
1747727780.7,21.64,5
1747727781.7,21.94,5
1747727782.7,22.14,5
1747727783.7,22.41,5
1747727784.7,22.55,5
1747727785.7,22.70,5
1747727786.7,22.78,5
1747727787.8,22.95,5
1747727788.8,23.15,5
1747727789.8,23.47,5
1747727790.8,23.72,5
1747727791.8,24.04,5
1747727792.8,24.17,5
1747727793.8,24.50,5
1747727794.8,24.66,5
1747727795.8,24.77,5
1747727796.8,24.94,5
1747727797.8,25.09,5
1747727798.8,25.18,5
1747727799.8,25.32,5
1747727800.9,25.45,5
1747727801.9,25.52,5
1747727802.9,25.56,5
1747727803.9,25.59,5
1747727804.9,25.61,5
1747727805.9,25.87,5
1747727806.9,26.20,5
1747727807.9,26.50,5
1747727808.9,26.75,5
1747727809.9,26.88,5
1747727810.9,27.02,5
1747727811.9,27.09,5
1747727812.9,27.19,5
1747727813.9,27.27,5
1747727815.0,27.37,5
1747727816.0,27.40,5
1747727817.0,27.46,5
1747727818.0,27.46,5
1747727819.0,27.54,5
1747727820.0,27.54,5
1747727821.0,27.56,5
1747727822.0,27.57,5
1747727823.0,27.84,5
1747727824.0,28.41,5
1747727825.0,28.69,5
1747727826.1,29.10,5
1747727827.1,29.52,5
1747727828.1,29.84,5
1747727829.1,30.11,5
1747727830.1,30.26,5
1747727831.1,30.52,5
1747727832.1,30.87,5
1747727833.1,31.09,5
1747727834.1,31.29,5
1747727835.1,31.52,5
1747727836.1,31.66,5
1747727837.1,31.69,5
1747727838.2,31.74,5
1747727839.2,31.79,5
1747727840.2,31.84,5
1747727841.2,31.97,5
1747727842.2,32.00,5
1747727843.2,32.06,5
1747727844.2,32.06,5
1747727845.2,32.18,5
1747727846.2,32.19,5
1747727847.2,32.37,5
1747727848.2,32.42,5
1747727849.2,32.47,5
1747727850.2,32.59,5
1747727851.3,32.69,5
1747727852.3,32.82,5
1747727853.3,33.36,5
1747727854.3,33.58,5
1747727855.3,33.91,5
1747727856.3,33.91,5
1747727857.3,34.27,5
1747727858.3,34.63,5
1747727859.3,34.78,5
