Time(s), CPU(%), Memory(MB)
0.13, 0.00, 3.50
1.35, 0.00, 66.99
2.58, 10.00, 67.11
3.80, 0.00, 67.11
5.03, 0.00, 67.11
7.29, 40.00, 378.52
9.52, 30.00, 379.27
11.75, 30.00, 379.27
13.99, 30.00, 379.52
16.21, 30.00, 379.64
18.43, 30.00, 379.89
20.66, 19.90, 380.02
22.88, 20.00, 380.27
25.11, 10.00, 380.27
27.34, 20.00, 380.27
29.56, 30.00, 380.27
31.79, 20.00, 380.27
34.01, 20.00, 380.52
36.24, 10.00, 380.52
38.46, 30.00, 380.52
40.69, 20.00, 380.52
42.92, 20.00, 380.64
45.14, 20.00, 380.89
47.37, 20.00, 380.89
49.59, 20.00, 381.02
51.81, 10.00, 381.02
54.03, 30.00, 381.02
56.26, 20.00, 381.02
58.49, 50.00, 381.39
60.71, 20.00, 381.39
62.94, 20.00, 381.39
65.16, 0.00, 381.39
67.40, 20.00, 381.39
69.62, 30.00, 381.39
71.85, 0.00, 381.39
74.07, 40.00, 381.39
76.29, 20.00, 381.39
78.52, 0.00, 381.39
80.74, 0.00, 381.39
82.96, 20.00, 381.52
85.18, 30.00, 381.52
87.41, 40.00, 381.52
89.63, 30.00, 381.52
91.86, 40.00, 381.52
94.09, 20.00, 381.64
96.31, 0.00, 381.89
98.54, 10.00, 382.02
100.77, 20.00, 382.02
102.99, 0.00, 382.02
105.21, 30.00, 382.02
107.45, 30.00, 382.02
109.67, 30.00, 382.02
111.90, 30.00, 382.02
114.11, 40.00, 382.14
116.33, 30.00, 382.27
118.55, 10.00, 382.27
120.77, 10.00, 382.39
123.01, 30.00, 382.39
125.23, 30.00, 382.39
127.46, 30.00, 382.39
129.69, 10.00, 382.39
131.91, 10.00, 382.39
134.14, 20.00, 382.39
136.37, 20.00, 382.39
138.60, 30.00, 382.39
140.82, 20.00, 382.39
143.04, 30.00, 382.39
145.26, 10.00, 382.39
147.49, 0.00, 382.39
149.71, 10.00, 382.39
151.93, 40.00, 382.39
154.15, 30.00, 382.52
156.37, 20.00, 382.52
158.59, 10.00, 382.52
160.81, 10.00, 382.64
163.05, 20.00, 382.77
165.27, 10.00, 382.77
167.50, 40.00, 382.77
169.72, 20.00, 382.77
171.96, 20.00, 382.89
174.18, 40.00, 383.02
176.42, 20.00, 383.02
178.64, 0.00, 383.02
180.86, 30.00, 383.02
183.09, 30.00, 383.14
185.31, 30.00, 383.14
187.55, 20.00, 383.14
189.77, 10.00, 383.14
191.99, 39.80, 383.27
194.23, 30.00, 383.39
196.49, 10.00, 383.39
198.72, 30.00, 383.39
200.98, 40.00, 383.39
