Time(s), CPU(%), Memory(MB)
0.12, 0.00, 3.48
1.33, 0.00, 67.14
2.55, 0.00, 67.14
3.76, 0.00, 67.14
4.98, 0.00, 67.14
8.87, 219.40, 872.09
12.70, 80.00, 892.54
16.53, 30.00, 893.16
20.36, 30.00, 893.79
24.19, 60.00, 894.04
28.02, 40.00, 894.16
31.86, 40.00, 894.29
35.70, 40.00, 894.91
39.55, 50.00, 895.16
43.39, 60.00, 895.41
47.23, 60.00, 895.79
51.08, 10.00, 896.29
54.91, 50.00, 896.41
58.75, 40.00, 896.91
62.58, 49.90, 896.91
66.43, 50.00, 897.41
70.28, 39.90, 897.54
74.11, 10.00, 898.04
77.96, 20.00, 898.16
81.80, 10.00, 898.29
85.63, 29.90, 898.29
89.47, 80.00, 898.41
93.32, 69.90, 898.54
97.16, 40.00, 898.79
101.01, 70.00, 899.16
104.86, 60.00, 899.41
108.69, 50.00, 899.66
112.52, 30.00, 899.79
116.36, 40.00, 899.91
120.19, 60.00, 899.91
124.03, 50.00, 900.41
127.86, 30.00, 899.72
131.69, 59.90, 894.26
135.55, 30.00, 892.08
139.38, 60.00, 891.04
143.23, 29.80, 890.20
147.06, 70.00, 890.20
150.89, 40.00, 890.20
154.73, 40.00, 890.83
158.58, 20.00, 890.83
162.42, 39.90, 890.95
166.25, 60.00, 891.20
170.09, 60.00, 891.83
173.93, 50.00, 891.95
177.76, 0.00, 892.20
181.59, 60.00, 892.20
185.43, 30.00, 892.33
189.29, 29.90, 892.33
193.13, 50.00, 892.45
196.97, 20.00, 892.58
200.81, 20.00, 892.70
204.64, 20.00, 892.70
208.48, 20.00, 892.83
212.31, 50.00, 893.20
216.14, 40.00, 893.20
219.97, 20.00, 893.58
223.82, 29.90, 893.95
227.66, 40.00, 894.20
231.49, 60.00, 894.45
235.32, 59.90, 894.45
239.15, 20.00, 894.58
242.99, 70.00, 894.95
246.81, 60.00, 895.20
250.65, 30.00, 895.70
254.48, 20.00, 895.83
258.31, 69.90, 895.95
262.14, 30.00, 895.95
265.98, 50.00, 896.33
269.83, 10.00, 896.58
273.66, 30.00, 897.20
277.49, 50.00, 897.33
281.33, 69.90, 897.58
285.16, 40.00, 897.70
289.00, 70.00, 898.08
292.84, 40.00, 898.20
296.67, 70.00, 898.20
300.50, 40.00, 898.33
304.32, 20.00, 898.58
308.17, 49.80, 899.33
312.00, 40.00, 899.45
315.83, 30.00, 899.70
319.67, 60.00, 900.20
323.50, 60.00, 900.83
327.33, 70.00, 900.83
331.17, 39.90, 901.08
335.00, 60.00, 900.35
338.83, 60.00, 896.32
342.66, 49.90, 895.81
346.49, 50.00, 891.01
350.32, 59.90, 891.14
354.16, 70.00, 890.68
358.00, 30.00, 890.80
361.83, 40.00, 890.93
365.66, 30.00, 891.18
369.50, 70.00, 891.18
373.33, 60.00, 891.43
377.16, 40.00, 891.55
381.00, 60.00, 891.80
384.85, 40.00, 892.05
388.68, 20.00, 892.18
392.51, 30.00, 892.30
396.35, 50.00, 892.30
400.19, 50.00, 892.68
404.02, 70.00, 893.05
407.86, 30.00, 893.43
411.69, 70.00, 894.05
415.53, 60.00, 894.55
419.36, 70.00, 894.80
423.21, 40.00, 894.93
427.05, 30.00, 894.93
430.88, 60.00, 895.18
434.72, 80.00, 895.55
438.55, 30.00, 895.55
442.40, 70.00, 895.80
446.23, 40.00, 895.80
450.07, 30.00, 896.05
453.92, 60.00, 896.05
457.75, 49.90, 896.68
461.59, 40.00, 896.93
