Time(s), CPU(%), Memory(MB)
0.12, 0.00, 3.54
1.34, 0.00, 67.15
2.56, 0.00, 67.15
3.78, 0.00, 67.28
5.00, 0.00, 67.28
7.31, 40.00, 379.31
9.53, 10.00, 379.81
11.75, 0.00, 379.81
13.97, 10.00, 379.81
16.20, 30.00, 379.81
18.43, 20.00, 379.81
20.66, 30.00, 379.81
22.88, 0.00, 379.81
25.11, 10.00, 379.81
27.33, 29.90, 379.81
29.56, 0.00, 379.81
31.78, 20.00, 379.81
34.00, 0.00, 379.81
36.23, 20.00, 379.81
38.46, 0.00, 379.81
40.68, 20.00, 379.81
42.90, 10.00, 379.81
45.12, 10.00, 379.93
47.35, 20.00, 380.06
49.58, 20.00, 380.06
51.81, 40.00, 380.18
54.03, 49.90, 380.18
56.25, 10.00, 380.31
58.49, 0.00, 380.31
60.71, 20.00, 380.31
62.94, 20.00, 380.31
65.16, 10.00, 380.43
67.38, 30.00, 380.43
69.61, 40.00, 380.43
71.83, 50.00, 380.56
74.06, 20.00, 380.56
76.28, 20.00, 380.56
78.50, 10.00, 380.56
80.72, 10.00, 380.56
82.94, 10.00, 380.68
85.16, 20.00, 380.68
87.39, 10.00, 380.68
89.61, 20.00, 380.93
91.83, 20.00, 381.06
94.05, 20.00, 381.06
96.29, 10.00, 381.43
98.51, 0.00, 381.43
100.73, 40.00, 381.56
102.96, 10.00, 381.56
105.18, 0.00, 381.56
107.40, 10.00, 381.68
109.62, 10.00, 381.68
111.85, 20.00, 381.68
114.07, 0.00, 381.68
116.30, 40.00, 381.68
118.52, 20.00, 381.68
120.74, 20.00, 381.68
122.96, 20.00, 381.68
125.19, 10.00, 381.68
127.41, 20.00, 381.68
129.63, 10.00, 381.81
131.85, 10.00, 381.93
134.07, 20.00, 381.93
136.30, 0.00, 381.93
138.52, 10.00, 382.18
140.74, 30.00, 382.18
142.96, 20.00, 382.18
145.20, 20.00, 382.18
147.43, 10.00, 382.18
149.65, 20.00, 382.18
151.87, 20.00, 382.18
154.10, 30.00, 382.18
156.33, 10.00, 382.31
158.55, 20.00, 382.31
160.80, 0.00, 382.43
163.02, 0.00, 382.43
165.25, 40.00, 382.43
167.47, 0.00, 382.56
169.69, 20.00, 382.56
171.91, 30.00, 382.56
174.13, 40.00, 382.56
176.36, 20.00, 382.81
178.58, 20.00, 382.81
180.80, 10.00, 382.81
183.04, 30.00, 382.81
185.26, 30.00, 382.93
187.49, 10.00, 383.06
189.71, 20.00, 383.06
191.93, 20.00, 383.18
194.16, 40.00, 383.18
196.38, 20.00, 383.18
198.60, 20.00, 383.18
200.82, 50.00, 383.18
203.05, 10.00, 383.31
205.28, 0.00, 383.43
207.50, 20.00, 383.56
209.72, 10.00, 383.56
211.95, 20.00, 383.68
214.17, 10.00, 383.68
216.39, 0.00, 382.26
218.61, 10.00, 379.08
220.83, 10.00, 379.08
223.06, 10.00, 379.08
225.28, 40.00, 379.08
227.51, 20.00, 379.33
229.73, 30.00, 379.33
231.95, 20.00, 379.33
234.17, 20.00, 379.33
236.39, 20.00, 379.33
238.61, 0.00, 379.33
240.84, 30.00, 379.33
243.06, 20.00, 379.46
245.28, 10.00, 379.46
247.51, 9.90, 379.46
249.73, 0.00, 379.46
251.95, 0.00, 379.58
254.18, 20.00, 379.58
256.40, 30.00, 379.58
258.62, 20.00, 379.71
260.84, 10.00, 379.96
263.06, 20.00, 380.21
265.29, 30.00, 380.21
267.51, 10.00, 380.21
269.74, 10.00, 380.21
271.96, 10.00, 380.33
274.19, 10.00, 380.33
276.42, 0.00, 380.33
278.64, 10.00, 380.46
280.86, 30.00, 380.58
283.09, 10.00, 380.58
285.31, 30.00, 380.58
287.54, 20.00, 380.58
289.77, 20.00, 380.71
292.00, 30.00, 380.71
294.23, 30.00, 380.71
296.45, 0.00, 380.83
