Time(s),Coverage(%),Number of running robots
1.0,16.38,13
2.0,16.38,13
3.0,16.38,13
4.0,16.38,13
5.0,16.38,13
6.0,16.38,13
7.0,16.38,13
8.0,16.38,13
9.0,16.38,13
10.0,16.38,13
11.0,16.38,13
12.0,16.38,13
13.0,16.38,13
14.0,16.99,13
15.0,20.49,13
16.0,22.50,13
17.0,23.81,13
18.0,24.60,13
19.0,25.82,13
20.0,26.41,13
21.0,26.76,13
22.0,26.96,13
23.0,27.27,13
24.0,27.62,13
25.0,28.16,13
26.0,28.57,13
27.0,29.07,13
28.0,29.12,13
29.0,29.69,13
30.0,29.99,13
31.0,30.11,13
32.0,30.58,13
33.0,31.08,13
34.0,31.94,13
35.0,32.26,13
36.0,33.56,13
37.0,34.86,13
38.0,35.91,13
39.0,36.86,13
40.0,37.72,13
41.0,38.69,13
42.0,39.56,13
43.0,39.95,13
44.0,40.52,13
45.0,40.74,13
46.0,41.74,13
47.0,41.85,13
48.0,42.58,13
49.0,42.83,13
50.0,43.50,13
51.0,44.04,13
52.0,44.93,13
53.0,45.96,13
54.0,46.05,13
55.0,47.16,13
56.0,47.62,13
57.0,49.09,13
58.0,49.66,13
59.0,49.90,13
60.0,50.29,13
61.0,50.37,13
62.0,50.48,13
63.0,50.80,13
64.0,51.33,13
65.0,52.59,13
66.0,52.67,13
67.0,54.06,13
68.0,54.13,13
69.0,54.14,13
70.0,54.68,13
71.0,54.69,13
72.0,54.83,13
73.0,54.83,13
74.0,54.86,13
75.0,54.88,13
76.0,54.89,13
77.0,54.90,13
78.0,54.91,13
79.0,54.95,13
80.0,54.96,13
81.0,55.01,13
82.0,55.02,13
83.0,55.04,13
84.0,55.11,13
85.0,55.13,13
86.0,55.14,13
87.0,55.15,13
88.0,55.15,13
89.0,55.15,13
90.0,55.16,12
91.0,55.35,12
92.0,55.35,12
93.0,55.35,12
94.0,55.35,12
95.0,55.35,12
96.0,55.35,12
97.0,55.35,12
98.0,55.35,12
99.0,55.35,12
100.0,55.35,12
101.0,55.35,12
102.0,55.35,12
103.0,55.35,12
104.0,55.35,12
105.0,55.35,12
106.0,55.35,12
107.0,55.35,12
108.0,55.35,12
109.0,55.35,12
110.0,55.35,12
111.0,55.35,12
112.0,55.35,12
113.0,55.35,12
114.0,55.35,12
115.0,55.35,12
116.0,55.35,12
117.0,55.35,12
118.0,55.35,12
119.0,55.35,12
120.0,55.35,12
