Time(s),Coverage(%),Number of running robots
1746889271.5,0.00, 3
1746889272.5,10.20, 3
1746889273.5,10.20, 3
1746889274.5,10.20, 3
1746889275.6,10.20, 3
1746889276.6,10.20, 3
1746889277.6,10.20, 3
1746889278.6,10.20, 3
1746889279.6,10.20, 3
1746889280.6,10.20, 3
1746889281.6,12.20, 3
1746889282.6,15.02, 3
1746889283.6,15.95, 3
1746889284.6,16.33, 3
1746889285.6,16.77, 3
1746889286.6,17.70, 3
1746889287.7,18.58, 3
1746889288.7,19.31, 3
1746889289.7,19.92, 3
1746889290.7,20.25, 3
1746889291.7,20.57, 3
1746889292.7,21.57, 3
1746889293.7,22.07, 3
1746889294.7,22.55, 3
1746889295.7,23.10, 3
1746889296.7,23.52, 3
1746889297.8,23.76, 3
1746889298.8,23.76, 3
1746889299.8,23.84, 3
1746889300.8,23.93, 3
1746889301.8,23.94, 3
1746889302.8,23.95, 3
1746889303.8,24.08, 3
1746889304.8,24.20, 3
1746889305.8,24.43, 3
1746889306.9,24.82, 3
1746889307.9,25.44, 3
1746889308.9,25.98, 3
1746889309.9,26.24, 3
1746889310.9,26.42, 3
1746889311.9,26.72, 3
1746889312.9,27.01, 3
1746889313.9,27.19, 3
1746889314.9,27.31, 3
1746889315.9,27.43, 3
1746889316.9,27.66, 3
1746889317.9,27.71, 3
1746889318.9,27.73, 3
1746889319.9,27.79, 3
1746889320.9,27.67, 3
1746889321.9,27.90, 3
1746889323.0,28.02, 3
1746889324.0,28.14, 3
1746889325.0,28.63, 3
1746889326.0,29.30, 3
1746889327.0,30.27, 3
1746889328.0,31.02, 3
1746889329.0,31.02, 3
1746889330.0,31.30, 3
1746889331.1,32.51, 3
1746889332.1,34.02, 3
1746889333.1,35.44, 3
1746889334.1,35.62, 3
1746889335.1,35.86, 3
1746889336.1,36.88, 3
1746889337.1,37.87, 3
1746889338.1,38.47, 3
1746889339.1,38.60, 3
1746889340.1,38.60, 3
1746889341.1,38.94, 3
1746889342.2,39.29, 3
1746889343.2,39.43, 3
1746889344.2,39.92, 3
1746889345.2,40.82, 3
1746889346.2,41.86, 3
1746889347.2,42.58, 3
1746889348.2,43.09, 3
1746889349.2,43.25, 3
1746889350.2,43.61, 3
1746889351.2,43.88, 3
1746889352.3,44.25, 3
1746889353.3,44.53, 3
1746889354.3,44.91, 3
1746889355.3,45.34, 3
1746889356.3,45.96, 3
1746889357.3,46.83, 3
1746889358.3,46.89, 3
1746889359.3,46.89, 3
1746889360.3,47.16, 3
1746889361.3,47.24, 3
1746889362.3,47.26, 3
1746889363.4,47.33, 3
1746889364.4,47.36, 3
1746889365.4,47.46, 3
1746889366.4,47.59, 3
1746889367.4,48.12, 3
1746889368.4,48.36, 3
1746889369.4,48.44, 3
1746889370.4,48.45, 3
1746889371.4,48.47, 3
1746889372.4,48.47, 3
1746889373.4,48.48, 3
1746889374.5,48.49, 3
1746889375.5,48.50, 3
1746889376.5,48.51, 3
1746889377.5,48.52, 3
1746889378.5,48.53, 3
1746889379.5,48.54, 3
1746889380.5,48.54, 3
1746889381.5,48.54, 3
1746889382.5,48.55, 3
1746889383.5,48.55, 3
1746889384.5,48.56, 3
1746889385.6,48.59, 3
1746889386.6,48.59, 3
1746889387.6,48.66, 3
1746889388.6,48.73, 3
1746889389.6,49.07, 3
1746889390.6,50.01, 3
