Time(s), CPU(%), Memory(MB)
0.13, 0.00, 3.55
1.97, 40.00, 320.45
3.79, 10.00, 320.45
5.61, 10.00, 320.57
7.43, 10.00, 345.27
9.25, 20.00, 345.77
11.07, 20.00, 345.77
12.88, 0.00, 369.96
14.71, 20.00, 380.96
16.53, 20.00, 380.96
18.35, 0.00, 381.21
20.17, 20.00, 381.21
21.99, 10.00, 381.34
23.82, 10.00, 381.46
25.64, 20.00, 381.59
27.46, 10.00, 382.11
29.28, 40.00, 382.48
31.10, 10.00, 382.48
32.92, 0.00, 382.48
34.74, 20.00, 382.48
36.56, 20.00, 382.86
38.38, 20.00, 382.86
40.21, 20.00, 382.98
42.04, 10.00, 382.98
43.86, 20.00, 383.11
45.68, 30.00, 383.11
47.50, 10.00, 383.11
49.32, 10.00, 383.11
51.14, 10.00, 383.11
52.96, 19.90, 383.36
54.78, 20.00, 383.36
56.60, 30.00, 383.36
58.42, 10.00, 383.36
60.24, 10.00, 383.48
62.06, 10.00, 383.61
63.88, 0.00, 383.61
65.70, 10.00, 383.86
67.52, 30.00, 383.98
69.34, 20.00, 384.11
71.16, 0.00, 384.23
72.99, 10.00, 384.48
74.81, 20.00, 384.48
76.63, 20.00, 384.61
78.46, 30.00, 384.73
80.27, 10.00, 383.34
82.11, 20.00, 383.34
83.93, 10.00, 382.70
85.75, 30.00, 382.82
87.57, 10.00, 382.95
89.40, 0.00, 383.07
91.23, 10.00, 383.07
93.05, 30.00, 383.20
94.87, 20.00, 383.32
96.68, 30.00, 383.57
98.50, 0.00, 383.70
100.33, 10.00, 384.07
102.15, 10.00, 384.07
103.97, 30.00, 384.07
105.80, 30.00, 384.45
107.62, 20.00, 384.57
109.45, 0.00, 384.57
111.28, 10.00, 384.70
113.10, 30.00, 384.82
114.92, 20.00, 384.82
116.74, 20.00, 384.95
118.57, 30.00, 385.07
120.39, 20.00, 385.20
122.21, 10.00, 385.20
124.03, 10.00, 385.70
125.85, 10.00, 385.70
