Time(s), CPU(%), Memory(MB)
0.15, 0.00, 3.54
1.37, 0.00, 67.50
2.59, 0.00, 67.50
3.81, 0.00, 67.50
5.03, 0.00, 67.50
7.86, 60.00, 584.49
10.69, 10.00, 584.87
13.52, 10.00, 584.99
16.35, 20.00, 584.99
19.19, 20.00, 584.99
22.02, 30.00, 585.12
24.85, 40.00, 585.12
27.69, 40.00, 585.12
30.52, 50.00, 585.12
33.36, 19.90, 585.37
36.19, 0.00, 585.37
39.04, 10.00, 585.74
41.87, 50.00, 585.74
44.73, 30.00, 585.74
47.56, 0.00, 586.12
50.39, 29.90, 586.37
53.24, 20.00, 586.49
56.07, 60.00, 586.62
58.91, 20.00, 586.74
61.75, 10.00, 586.87
64.59, 10.00, 587.62
67.42, 50.00, 587.87
70.26, 30.00, 588.12
73.09, 10.00, 588.12
75.94, 20.00, 588.24
78.77, 50.00, 588.24
81.61, 40.00, 588.24
84.44, 10.00, 588.24
87.27, 50.00, 588.24
90.11, 10.00, 588.49
92.95, 30.00, 588.49
95.78, 30.00, 588.87
98.61, 20.00, 588.99
101.44, 40.00, 589.24
104.27, 10.00, 589.37
107.13, 40.00, 589.49
109.97, 20.00, 589.49
112.80, 39.90, 589.74
115.65, 20.00, 589.87
118.48, 0.00, 589.87
121.32, 50.00, 590.24
124.15, 30.00, 590.37
126.99, 20.00, 590.49
129.82, 30.00, 590.62
132.66, 20.00, 590.74
135.49, 30.00, 590.99
138.32, 40.00, 591.12
141.16, 30.00, 591.24
143.99, 40.00, 591.37
146.82, 0.00, 591.49
149.65, 10.00, 591.49
152.48, 20.00, 591.49
155.32, 10.00, 591.49
158.15, 40.00, 591.49
161.01, 60.00, 591.49
163.84, 40.00, 591.49
166.67, 30.00, 591.62
169.50, 20.00, 591.62
172.33, 40.00, 591.62
175.16, 50.00, 590.21
177.99, 40.00, 587.01
180.84, 40.00, 584.62
183.67, 50.00, 584.75
186.53, 50.00, 584.75
189.37, 29.90, 584.75
192.20, 30.00, 584.87
195.05, 30.00, 584.87
197.88, 30.00, 584.87
200.73, 10.00, 584.87
203.56, 10.00, 584.87
206.40, 30.00, 584.87
209.23, 40.00, 585.00
212.06, 40.00, 585.12
214.90, 20.00, 585.12
217.74, 50.00, 585.12
220.57, 40.00, 585.12
223.41, 30.00, 585.12
226.24, 30.00, 585.25
229.07, 30.00, 585.25
231.90, 20.00, 585.25
234.73, 10.00, 585.25
237.57, 10.00, 585.50
240.40, 30.00, 585.50
243.23, 70.00, 585.50
246.06, 30.00, 585.50
248.90, 30.00, 585.62
251.74, 10.00, 585.62
254.57, 50.00, 585.75
257.41, 30.00, 586.00
260.24, 20.00, 586.00
263.09, 30.00, 586.00
265.92, 30.00, 586.12
268.75, 20.00, 586.12
271.58, 40.00, 586.37
274.41, 30.00, 586.37
277.24, 40.00, 586.37
280.09, 10.00, 586.50
282.92, 10.00, 586.62
285.76, 40.00, 586.62
288.59, 50.00, 586.87
291.42, 10.00, 586.87
294.25, 49.90, 586.87
297.12, 40.00, 587.12
299.95, 50.00, 587.25
302.80, 10.00, 587.37
305.63, 20.00, 587.62
308.47, 20.00, 587.62
311.31, 30.00, 587.62
314.16, 40.00, 587.75
316.99, 0.00, 587.75
319.82, 10.00, 587.75
322.67, 30.00, 588.25
325.50, 30.00, 588.25
328.33, 40.00, 588.50
331.16, 10.00, 588.50
334.00, 60.00, 588.50
336.83, 50.00, 588.50
339.66, 50.00, 588.62
342.51, 60.00, 588.62
345.34, 30.00, 588.62
348.18, 60.00, 588.75
351.02, 20.00, 589.12
353.85, 50.00, 589.25
356.69, 20.00, 589.25
359.54, 49.90, 589.37
362.37, 40.00, 589.50
365.21, 20.00, 589.62
368.04, 10.00, 589.75
370.88, 40.00, 589.87
373.71, 10.00, 589.87
376.54, 40.00, 590.25
379.38, 20.00, 590.25
382.21, 30.00, 590.25
385.05, 30.00, 590.37
387.88, 39.90, 590.37
390.74, 30.00, 590.50
393.60, 0.00, 590.50
396.45, 50.00, 590.62
399.30, 50.00, 590.75
402.14, 30.00, 590.75
404.98, 30.00, 590.87
407.84, 40.00, 590.87
410.68, 20.00, 591.00
413.51, 50.00, 591.00
416.34, 10.00, 591.25
419.18, 20.00, 591.37
422.02, 10.00, 589.69
424.87, 30.00, 584.16
427.73, 50.00, 584.16
