Time(s),Coverage(%),Number of running robots
1747819066.0,57.70,8
1747819067.1,58.87,8
1747819068.1,58.87,8
1747819069.1,58.88,8
1747819070.1,58.92,8
1747819071.1,58.93,8
1747819072.1,58.93,8
1747819073.1,58.94,8
1747819074.1,58.69,8
1747819075.1,58.70,8
1747819076.1,58.71,8
1747819077.1,58.73,8
1747819078.1,58.73,8
1747819079.1,58.75,8
1747819080.1,58.75,8
1747819081.2,58.75,8
1747819082.2,58.76,8
1747819083.2,58.77,8
1747819084.2,58.77,8
1747819085.2,58.78,8
1747819086.2,58.78,8
1747819087.2,58.80,8
1747819088.2,58.81,8
1747819089.2,58.83,8
1747819090.2,58.83,8
1747819091.2,58.84,8
1747819092.2,58.86,8
1747819093.2,58.86,8
1747819094.3,58.87,8
1747819095.3,58.87,8
1747819096.3,58.87,8
1747819097.3,58.87,8
1747819098.3,58.87,8
1747819099.4,58.87,8
1747819100.4,58.87,8
1747819101.4,58.88,8
1747819102.4,58.88,8
1747819103.4,58.88,8
1747819104.4,58.88,8
1747819105.4,58.88,8
1747819106.4,58.88,8
1747819107.4,58.88,8
1747819108.4,58.88,8
1747819109.4,58.89,8
1747819110.5,58.89,8
1747819111.5,58.89,8
1747819112.5,58.89,8
1747819113.5,58.89,8
1747819114.5,58.89,8
1747819115.5,58.89,8
1747819116.5,58.90,8
1747819117.6,58.90,8
1747819118.6,58.90,8
1747819119.6,58.90,8
1747819120.6,58.90,8
1747819121.6,58.90,8
1747819122.6,58.90,8
1747819123.6,58.90,8
1747819124.6,58.90,8
1747819125.6,58.90,8
1747819126.7,58.90,8
1747819127.7,58.90,8
1747819128.7,58.90,8
1747819129.7,58.90,8
1747819130.7,58.91,8
1747819131.7,58.91,8
1747819132.7,58.91,8
1747819133.7,58.91,8
1747819134.7,58.91,8
1747819135.7,58.91,8
1747819136.7,58.91,8
1747819137.8,58.91,8
1747819138.8,58.92,8
1747819139.8,58.92,8
1747819140.8,58.92,8
1747819141.8,58.92,8
1747819142.8,58.93,8
1747819143.8,58.93,8
1747819144.8,58.93,8
1747819145.8,58.93,8
1747819146.9,58.94,8
1747819147.9,58.94,8
1747819148.9,58.94,8
1747819149.9,58.94,8
1747819150.9,58.94,8
1747819151.9,58.94,8
1747819152.9,58.94,8
1747819153.9,58.94,8
1747819154.9,58.94,8
1747819155.9,58.94,8
1747819156.9,58.94,8
1747819157.9,58.94,8
1747819159.0,58.94,8
1747819160.0,58.94,8
1747819161.0,58.73,8
1747819162.0,58.73,8
1747819163.0,58.73,8
1747819164.0,58.73,8
1747819165.0,58.73,8
1747819166.0,58.73,8
1747819167.0,58.73,8
1747819168.1,58.73,8
1747819169.1,58.73,8
1747819170.1,58.73,8
1747819171.1,58.73,8
1747819172.1,58.74,8
1747819173.1,58.74,8
1747819174.1,58.74,8
1747819175.1,58.74,8
1747819176.1,58.74,8
1747819177.1,58.74,8
1747819178.1,58.74,8
1747819179.1,58.74,8
1747819180.2,58.74,8
1747819181.2,58.74,8
1747819182.2,58.74,8
1747819183.2,58.74,8
1747819184.2,58.74,8
1747819185.2,58.74,8
1747819186.3,58.75,8
1747819187.3,58.75,8
1747819188.3,58.76,8
1747819189.3,58.76,8
1747819190.3,58.76,8
1747819191.3,58.77,8
1747819192.3,58.77,8
1747819193.3,58.78,8
1747819194.3,58.78,8
1747819195.3,58.78,8
1747819196.3,58.79,8
1747819197.4,58.79,8
1747819198.4,58.81,8
1747819199.4,58.81,8
1747819200.4,58.82,8
1747819201.4,58.83,8
1747819202.4,58.84,8
1747819203.5,58.84,8
1747819204.5,58.84,8
1747819205.5,58.84,8
1747819206.5,58.84,8
1747819207.5,58.84,8
1747819208.5,58.84,8
1747819209.5,58.85,8
1747819210.5,58.85,8
1747819211.5,58.85,8
1747819212.5,58.85,8
1747819213.5,58.85,8
1747819214.5,58.85,8
1747819215.6,58.85,8
1747819216.6,58.85,8
1747819217.6,58.85,8
1747819218.6,58.85,8
1747819219.6,58.85,8
1747819220.6,58.85,8
1747819221.6,58.86,8
1747819222.6,58.86,8
1747819223.7,58.86,8
1747819224.7,58.87,8
1747819225.7,58.87,8
1747819226.7,58.87,8
1747819227.7,58.87,8
1747819228.7,58.87,8
1747819229.7,58.87,8
1747819230.7,58.87,8
1747819231.7,58.87,8
1747819232.7,58.87,8
1747819233.7,58.87,8
1747819234.8,58.87,8
1747819235.8,58.87,8
1747819236.8,58.87,8
1747819237.8,58.87,8
1747819238.8,58.87,8
1747819239.8,58.88,8
1747819240.9,58.88,8
