Time(s), System_CPU(%), Target_CPU(%), Target_Memory(MB), System_Memory_Used(MB), System_Memory_Total(MB)
0.22, 16.70, 0.00, 3.48, 1784.04, 15695.66
1.54, 0.00, 0.00, 67.24, 1839.05, 15695.66
2.86, 8.30, 0.00, 67.24, 1895.16, 15695.66
4.17, 0.80, 0.00, 67.36, 1927.54, 15695.66
5.49, 0.00, 0.00, 67.36, 1927.03, 15695.66
8.41, 8.50, 10.00, 570.33, 2153.87, 15695.66
11.34, 3.40, 0.00, 570.71, 2189.79, 15695.66
14.27, 4.20, 30.00, 570.71, 2166.09, 15695.66
17.19, 4.20, 40.00, 570.83, 2142.04, 15695.66
20.12, 25.20, 0.00, 570.83, 2122.29, 15695.66
23.04, 5.00, 30.00, 570.96, 2086.12, 15695.66
25.97, 24.60, 10.00, 571.21, 2088.40, 15695.66
28.90, 13.30, 40.00, 571.21, 2076.19, 15695.66
31.82, 5.00, 30.00, 571.21, 2080.11, 15695.66
34.75, 26.40, 10.00, 571.33, 2089.50, 15695.66
37.67, 5.00, 20.00, 571.33, 2089.07, 15695.66
40.60, 16.80, 0.00, 571.33, 2083.16, 15695.66
43.54, 15.70, 49.90, 571.46, 2080.78, 15695.66
46.46, 9.20, 29.90, 571.46, 2082.62, 15695.66
49.38, 25.00, 40.00, 571.46, 2088.48, 15695.66
52.31, 14.30, 20.00, 571.46, 2085.79, 15695.66
55.24, 22.00, 10.00, 571.46, 2087.63, 15695.66
58.17, 25.40, 20.00, 571.46, 2085.63, 15695.66
61.11, 5.00, 30.00, 571.46, 2084.82, 15695.66
64.03, 15.50, 30.00, 571.46, 2085.79, 15695.66
66.96, 24.00, 30.00, 571.58, 2081.39, 15695.66
69.89, 6.70, 30.00, 571.58, 2085.29, 15695.66
72.81, 17.60, 20.00, 571.71, 2084.61, 15695.66
75.73, 16.90, 20.00, 571.71, 2089.63, 15695.66
78.66, 20.80, 40.00, 571.71, 2089.42, 15695.66
81.59, 19.20, 40.00, 571.71, 2093.02, 15695.66
84.52, 9.90, 40.00, 571.71, 2086.80, 15695.66
87.45, 16.90, 30.00, 571.71, 2082.95, 15695.66
90.38, 10.10, 50.00, 571.83, 2090.38, 15695.66
93.31, 4.20, 10.00, 571.83, 2084.32, 15695.66
96.23, 20.80, 40.00, 571.83, 2086.16, 15695.66
99.16, 14.00, 50.00, 571.83, 2086.81, 15695.66
102.09, 9.90, 30.00, 571.83, 2089.44, 15695.66
105.02, 15.00, 20.00, 571.83, 2089.06, 15695.66
107.94, 13.40, 30.00, 571.83, 2093.86, 15695.66
110.87, 18.90, 40.00, 571.83, 2094.04, 15695.66
113.80, 6.80, 30.00, 571.83, 2097.75, 15695.66
116.72, 3.40, 30.00, 571.83, 2099.57, 15695.66
119.65, 19.80, 30.00, 571.83, 2103.49, 15695.66
122.58, 6.70, 50.00, 571.83, 2105.99, 15695.66
