Time(s), System_CPU(%), Target_CPU(%), Target_Memory(MB), System_Memory_Used(MB), System_Memory_Total(MB)
0.27, 19.20, 0.00, 3.55, 1797.62, 15695.66
2.00, 0.80, 10.00, 228.50, 1888.41, 15695.66
3.72, 2.50, 0.00, 228.50, 1912.02, 15695.66
5.44, 1.70, 10.00, 228.50, 1941.56, 15695.66
7.16, 1.70, 20.00, 252.16, 1958.80, 15695.66
8.88, 2.50, 20.00, 252.41, 2042.85, 15695.66
10.60, 2.50, 20.00, 252.54, 2032.91, 15695.66
12.33, 5.00, 20.00, 265.54, 2037.95, 15695.66
14.05, 6.80, 10.00, 271.04, 2061.15, 15695.66
15.77, 5.00, 20.00, 271.66, 2056.98, 15695.66
17.49, 5.10, 0.00, 271.92, 2036.69, 15695.66
19.21, 6.80, 0.00, 271.92, 2013.96, 15695.66
20.93, 5.80, 10.00, 272.04, 2010.39, 15695.66
22.65, 5.90, 10.00, 272.04, 2008.97, 15695.66
24.37, 5.00, 10.00, 272.04, 2005.17, 15695.66
26.10, 5.10, 20.00, 272.04, 2007.35, 15695.66
27.82, 4.20, 0.00, 272.17, 2005.90, 15695.66
29.54, 5.00, 10.00, 272.29, 1989.52, 15695.66
31.27, 6.80, 20.00, 272.29, 2000.61, 15695.66
32.99, 6.70, 10.00, 272.29, 1999.75, 15695.66
34.71, 6.70, 0.00, 272.29, 1998.88, 15695.66
36.43, 4.30, 10.00, 272.29, 2002.86, 15695.66
38.16, 9.20, 10.00, 272.42, 1994.53, 15695.66
39.88, 5.90, 0.00, 272.42, 1992.00, 15695.66
41.61, 5.90, 0.00, 272.54, 1986.96, 15695.66
43.33, 8.30, 10.00, 272.67, 1983.97, 15695.66
45.05, 4.30, 10.00, 272.79, 1988.72, 15695.66
46.76, 6.00, 0.00, 273.04, 1993.02, 15695.66
48.50, 5.10, 10.00, 273.04, 1991.03, 15695.66
50.22, 5.90, 10.00, 273.04, 1996.25, 15695.66
51.94, 9.20, 20.00, 273.04, 1994.34, 15695.66
53.66, 5.90, 10.00, 273.04, 1999.18, 15695.66
55.39, 5.00, 20.00, 273.17, 1996.71, 15695.66
57.11, 6.00, 10.00, 273.17, 1989.76, 15695.66
58.83, 8.50, 10.00, 273.17, 1985.91, 15695.66
60.55, 4.20, 0.00, 273.17, 1993.95, 15695.66
62.27, 4.30, 10.00, 273.42, 1993.40, 15695.66
63.99, 8.50, 0.00, 273.54, 1991.95, 15695.66
65.72, 4.30, 10.00, 273.54, 1996.61, 15695.66
67.44, 5.90, 20.00, 273.79, 1994.74, 15695.66
69.16, 5.10, 10.00, 273.79, 1997.45, 15695.66
70.88, 5.90, 10.00, 273.79, 1994.18, 15695.66
72.61, 3.40, 0.00, 273.92, 2000.49, 15695.66
74.32, 5.10, 0.00, 273.92, 1993.22, 15695.66
76.04, 7.70, 10.00, 273.92, 2000.47, 15695.66
77.76, 6.70, 20.00, 273.92, 1987.75, 15695.66
79.49, 5.00, 10.00, 274.17, 1992.89, 15695.66
81.22, 7.60, 10.00, 274.17, 1994.45, 15695.66
82.94, 9.20, 10.00, 274.29, 1994.14, 15695.66
84.66, 5.90, 10.00, 274.54, 1993.66, 15695.66
86.38, 7.40, 10.00, 274.54, 2002.36, 15695.66
88.10, 8.40, 20.00, 274.54, 1993.38, 15695.66
89.82, 5.10, 10.00, 273.14, 1993.21, 15695.66
91.54, 5.00, 10.00, 273.14, 1988.31, 15695.66
93.27, 6.80, 20.00, 273.14, 1991.20, 15695.66
94.99, 5.10, 20.00, 273.14, 1995.81, 15695.66
96.71, 7.40, 10.00, 273.26, 1992.16, 15695.66
98.43, 7.60, 20.00, 273.64, 1991.86, 15695.66
100.16, 4.30, 0.00, 273.64, 1996.72, 15695.66
101.88, 5.90, 0.00, 273.64, 1999.34, 15695.66
103.60, 5.90, 10.00, 273.64, 2004.95, 15695.66
105.31, 5.00, 20.00, 273.89, 2007.20, 15695.66
107.04, 5.10, 10.00, 273.89, 2008.44, 15695.66
108.77, 8.30, 0.00, 274.01, 2011.41, 15695.66
110.49, 5.90, 10.00, 274.14, 2003.46, 15695.66
112.21, 5.90, 10.00, 274.14, 2007.06, 15695.66
113.93, 5.10, 0.00, 274.26, 2003.66, 15695.66
115.66, 10.90, 0.00, 274.26, 2003.93, 15695.66
117.38, 6.70, 0.00, 274.26, 2006.14, 15695.66
119.10, 6.70, 0.00, 274.26, 2002.63, 15695.66
120.82, 6.80, 10.00, 274.26, 2002.62, 15695.66
122.54, 5.00, 0.00, 274.64, 2008.46, 15695.66
124.27, 5.10, 10.00, 274.64, 2005.88, 15695.66
126.00, 5.90, 10.00, 274.76, 2011.18, 15695.66
127.72, 4.30, 30.00, 274.89, 2016.04, 15695.66
