Time(s),Coverage(%),Number of running robots
1746885711.1,0.00, 1
1746885712.2,2.87, 1
1746885713.2,2.87, 1
1746885714.2,2.87, 1
1746885715.2,2.87, 1
1746885716.2,2.87, 1
1746885717.2,2.87, 1
1746885718.2,2.87, 1
1746885719.2,2.87, 1
1746885720.2,2.87, 1
1746885721.2,2.87, 1
1746885722.2,7.01, 1
1746885723.2,7.01, 1
1746885724.2,7.01, 1
1746885725.3,9.65, 1
1746885726.3,10.15, 1
1746885727.3,10.15, 1
1746885728.3,10.15, 1
1746885729.3,10.15, 1
1746885730.3,10.15, 1
1746885731.3,10.15, 1
1746885732.3,10.15, 1
1746885733.3,10.15, 1
1746885734.4,10.15, 1
1746885735.4,10.15, 1
1746885736.4,10.15, 1
1746885737.4,10.15, 1
1746885738.4,10.15, 1
1746885739.4,10.15, 1
1746885740.4,10.15, 1
1746885741.5,10.15, 1
1746885742.5,10.15, 1
1746885743.5,10.15, 1
1746885744.5,10.15, 1
1746885745.5,10.15, 1
1746885746.5,10.15, 1
1746885747.5,10.15, 1
1746885748.5,10.15, 1
1746885749.5,10.15, 1
1746885750.5,10.15, 1
1746885751.6,10.15, 1
1746885752.6,10.15, 1
1746885753.6,10.15, 1
1746885754.6,10.15, 1
1746885755.6,10.34, 1
1746885756.6,10.34, 1
1746885757.6,10.34, 1
1746885758.6,10.34, 1
1746885759.6,10.62, 1
1746885760.6,10.91, 1
1746885761.6,11.21, 1
1746885762.6,11.21, 1
1746885763.6,11.21, 1
1746885764.6,11.47, 1
1746885765.7,11.77, 1
1746885766.7,11.95, 1
1746885767.7,12.10, 1
1746885768.7,12.29, 1
1746885769.7,12.29, 1
1746885770.7,12.29, 1
1746885771.7,13.25, 1
1746885772.7,13.98, 1
1746885773.8,14.45, 1
1746885774.8,14.57, 1
1746885775.8,14.57, 1
1746885776.8,14.70, 1
1746885777.8,14.81, 1
1746885778.8,14.94, 1
1746885779.8,14.97, 1
1746885780.8,14.97, 1
1746885781.8,14.97, 1
1746885782.8,15.10, 1
1746885783.8,15.28, 1
1746885784.8,15.28, 1
1746885785.9,15.43, 1
1746885786.9,15.50, 1
1746885787.9,15.53, 1
1746885788.9,15.64, 1
1746885789.9,15.87, 1
1746885790.9,16.66, 1
1746885791.9,17.79, 1
1746885792.9,18.22, 1
1746885793.9,18.22, 1
1746885794.9,18.22, 1
1746885795.9,18.84, 1
1746885796.9,19.15, 1
1746885797.9,19.43, 1
1746885798.9,19.64, 1
1746885800.0,19.69, 1
1746885801.0,19.69, 1
1746885802.0,19.69, 1
1746885803.0,19.82, 1
1746885804.0,19.90, 1
1746885805.0,20.07, 1
1746885806.0,20.70, 1
1746885807.0,21.40, 1
1746885808.0,21.40, 1
1746885809.1,21.40, 1
1746885810.1,21.54, 1
1746885811.1,21.79, 1
1746885812.1,22.01, 1
1746885813.1,22.14, 1
1746885814.1,22.14, 1
1746885815.1,22.18, 1
1746885816.1,22.24, 1
1746885817.1,22.41, 1
1746885818.1,22.53, 1
1746885819.2,22.67, 1
1746885820.2,22.93, 1
1746885821.2,23.22, 1
1746885822.2,23.58, 1
1746885823.2,23.98, 1
1746885824.2,24.34, 1
1746885825.2,24.34, 1
1746885826.2,24.34, 1
1746885827.2,25.42, 1
1746885828.2,26.22, 1
1746885829.2,26.34, 1
1746885830.3,26.51, 1
