Time(s), CPU(%), Memory(MB)
0.12, 0.00, 3.46
2.36, 10.00, 506.65
4.58, 20.00, 506.78
6.80, 60.00, 533.34
9.03, 20.00, 533.84
11.25, 50.00, 534.21
13.49, 60.00, 587.17
15.71, 60.00, 606.94
17.93, 40.00, 607.98
20.15, 20.00, 608.98
22.38, 20.00, 609.23
24.62, 20.00, 609.35
26.84, 10.00, 609.48
29.06, 80.00, 609.73
31.29, 30.00, 610.11
33.51, 30.00, 610.61
35.73, 20.00, 610.73
37.96, 20.00, 610.73
40.19, 30.00, 610.86
42.41, 40.00, 610.86
44.63, 50.00, 611.23
46.86, 50.00, 611.61
49.09, 30.00, 611.73
51.31, 20.00, 612.11
53.53, 10.00, 612.36
55.76, 40.00, 612.73
57.99, 60.00, 612.86
60.21, 40.00, 612.98
62.44, 40.00, 613.11
64.66, 39.90, 613.36
66.89, 60.00, 613.73
69.12, 40.00, 613.98
71.35, 19.90, 611.16
73.57, 10.00, 610.44
75.81, 30.00, 610.69
78.04, 10.00, 611.19
80.27, 20.00, 611.19
82.49, 20.00, 611.56
84.71, 40.00, 611.81
86.94, 50.00, 611.81
89.17, 20.00, 612.19
91.40, 30.00, 612.44
93.62, 20.00, 612.81
95.84, 30.00, 613.31
98.06, 30.00, 613.44
100.28, 30.00, 613.81
102.51, 30.00, 614.19
104.74, 50.00, 614.31
106.98, 20.00, 614.69
109.21, 39.90, 615.06
111.45, 30.00, 615.56
113.68, 10.00, 615.81
115.90, 40.00, 615.94
118.13, 40.00, 616.06
120.35, 10.00, 616.06
122.58, 40.00, 616.56
124.80, 40.00, 616.81
127.03, 50.00, 616.94
