Time(s), CPU(%), Memory(MB)
0.13, 0.00, 3.56
4.15, 267.50, 1191.52
7.99, 69.90, 1281.68
11.82, 79.90, 1309.88
15.68, 286.30, 1357.86
19.78, 189.30, 1619.66
23.66, 129.40, 1656.41
27.55, 79.90, 1659.16
31.45, 169.00, 1661.22
35.36, 139.10, 1662.59
39.34, 148.30, 1663.34
43.33, 118.90, 1664.09
47.30, 89.30, 1665.26
51.29, 79.50, 1666.77
55.28, 128.40, 1667.27
59.27, 99.30, 1668.14
63.26, 137.30, 1668.77
67.21, 199.00, 1671.02
71.18, 178.90, 1674.64
75.16, 147.50, 1676.77
79.08, 199.00, 1678.27
83.07, 174.30, 1680.14
87.05, 168.70, 1679.25
90.99, 129.70, 1673.88
94.96, 109.20, 1673.18
98.95, 79.00, 1674.68
102.92, 119.20, 1675.55
106.90, 117.30, 1676.80
110.79, 110.00, 1677.93
114.69, 128.80, 1678.68
118.60, 129.50, 1680.55
122.52, 99.70, 1682.55
126.41, 99.20, 1683.55
130.31, 89.80, 1684.80
134.26, 99.70, 1687.05
138.24, 118.70, 1689.18
142.18, 119.10, 1689.93
146.14, 79.60, 1692.05
150.08, 59.30, 1693.43
154.04, 119.20, 1694.80
158.03, 138.20, 1696.18
162.01, 128.50, 1697.93
165.98, 79.50, 1698.93
169.91, 109.70, 1699.80
173.89, 158.80, 1700.55
177.85, 119.30, 1701.43
181.76, 109.10, 1701.93
185.66, 139.40, 1702.80
189.53, 99.50, 1703.43
193.42, 109.90, 1703.93
197.30, 89.80, 1704.43
201.22, 108.90, 1705.18
205.15, 89.30, 1705.43
209.11, 109.20, 1706.43
213.06, 128.60, 1707.05
217.00, 108.70, 1707.68
220.93, 79.30, 1708.43
224.88, 179.50, 1709.30
228.85, 128.30, 1710.05
232.79, 119.30, 1710.18
236.76, 119.00, 1710.30
240.71, 137.60, 1710.80
244.67, 178.00, 1711.05
248.58, 88.40, 1711.18
252.46, 119.70, 1711.68
256.35, 109.80, 1712.30
260.25, 149.20, 1712.55
264.15, 109.70, 1712.68
268.05, 89.40, 1712.80
271.97, 119.80, 1712.80
275.90, 119.10, 1712.93
279.86, 118.90, 1713.05
283.84, 174.30, 1713.30
287.78, 128.90, 1713.43
291.75, 108.20, 1713.68
295.72, 129.20, 1713.68
299.63, 117.40, 1713.93
303.60, 118.10, 1714.05
307.57, 89.70, 1714.18
311.50, 128.60, 1714.30
315.45, 149.00, 1714.30
319.38, 119.40, 1714.93
323.26, 110.00, 1714.93
327.18, 69.40, 1715.05
331.09, 40.00, 1715.18
334.99, 69.90, 1715.43
338.89, 109.60, 1715.93
342.79, 89.80, 1716.18
346.71, 116.70, 1716.30
350.65, 119.30, 1716.43
354.60, 89.40, 1716.80
358.54, 129.30, 1717.43
362.50, 89.10, 1717.80
