Time(s), CPU(%), Memory(MB)
0.12, 0.00, 3.47
2.97, 60.00, 790.34
5.79, 50.00, 790.72
8.62, 89.90, 820.32
11.45, 70.00, 820.57
14.33, 271.80, 897.96
17.16, 99.60, 979.92
19.99, 149.90, 984.80
22.83, 79.70, 986.68
25.67, 70.00, 987.93
28.50, 30.00, 988.43
31.35, 30.00, 988.55
34.18, 50.00, 989.18
37.02, 79.80, 989.69
39.88, 49.80, 989.94
42.73, 70.00, 990.06
45.60, 50.00, 990.19
48.43, 80.00, 990.56
51.26, 30.00, 991.99
54.10, 70.00, 993.33
56.95, 40.00, 994.46
59.78, 60.00, 995.21
62.63, 60.00, 996.08
65.48, 70.00, 996.58
68.33, 59.80, 997.46
71.17, 10.00, 998.08
74.02, 50.00, 998.71
76.87, 39.90, 997.01
79.70, 50.00, 993.71
82.53, 40.00, 994.21
85.38, 60.00, 995.09
88.22, 20.00, 995.59
91.07, 49.90, 996.21
93.91, 60.00, 997.09
96.77, 90.00, 997.84
99.61, 50.00, 999.21
102.47, 60.00, 999.59
105.32, 40.00, 1000.46
108.18, 39.90, 1001.34
111.03, 60.00, 1002.21
113.87, 50.00, 1003.09
116.73, 39.80, 1003.84
119.59, 70.00, 1004.71
122.43, 49.60, 1005.59
125.29, 39.90, 1006.09
128.14, 40.00, 1006.84
131.00, 70.00, 1007.59
133.85, 39.90, 1008.21
136.70, 90.00, 1009.09
139.54, 50.00, 1009.71
142.38, 50.00, 1009.71
145.22, 29.80, 1009.96
148.08, 49.90, 1010.34
150.92, 70.00, 1010.84
153.76, 80.00, 1010.96
156.61, 50.00, 1011.46
159.45, 90.00, 1011.84
162.29, 50.00, 1012.21
165.14, 30.00, 1012.84
168.00, 49.90, 1011.24
170.85, 49.90, 1011.49
173.71, 49.50, 1011.61
176.56, 49.90, 1011.74
179.41, 50.00, 1011.99
182.27, 60.00, 1011.99
185.13, 50.00, 1011.99
187.99, 39.90, 1012.49
