Time(s),Coverage(%),Number of running robots
1.0,14.08,8
2.0,14.08,8
3.0,14.08,8
4.0,14.08,8
5.0,14.08,8
6.0,14.08,8
7.0,14.08,8
8.0,14.08,8
9.0,14.08,8
10.0,14.08,8
11.0,15.56,8
12.0,17.77,8
13.0,19.41,8
14.0,20.52,8
15.0,21.56,8
16.0,22.05,8
17.0,22.49,8
18.0,22.67,8
19.0,23.58,8
20.0,24.25,8
21.0,25.19,8
22.0,26.22,8
23.0,27.01,8
24.0,27.28,8
25.0,27.45,8
26.0,27.62,8
27.0,27.83,8
28.0,28.14,8
29.0,28.46,8
30.0,28.79,8
31.0,29.00,8
32.0,29.31,8
33.0,29.93,8
34.0,31.30,8
35.0,32.89,8
36.0,33.83,8
37.0,34.73,8
38.0,35.60,8
39.0,36.49,8
40.0,36.99,8
41.0,37.35,8
42.0,37.85,8
43.0,38.54,8
44.0,39.05,8
45.0,39.30,8
46.0,39.70,8
47.0,40.31,8
48.0,41.16,8
49.0,41.70,8
50.0,42.03,8
51.0,42.52,8
52.0,43.27,8
53.0,43.82,8
54.0,44.09,8
55.0,44.64,8
56.0,45.25,8
57.0,45.77,8
58.0,46.19,8
59.0,46.49,8
60.0,47.22,8
61.0,48.44,8
62.0,49.38,8
63.0,51.25,8
64.0,52.67,8
65.0,53.44,8
66.0,54.12,8
67.0,55.02,8
68.0,55.54,8
69.0,56.12,8
70.0,56.40,8
71.0,56.80,8
72.0,57.20,8
73.0,57.99,8
74.0,58.95,8
75.0,60.60,8
76.0,62.88,8
77.0,65.16,8
78.0,66.56,8
79.0,66.66,8
80.0,66.77,8
81.0,66.93,8
82.0,67.05,8
83.0,67.14,8
84.0,67.17,8
85.0,67.31,8
86.0,67.30,8
87.0,68.35,8
88.0,69.01,8
89.0,69.11,8
90.0,69.26,8
91.0,69.65,8
92.0,69.94,8
93.0,70.14,8
94.0,70.27,8
95.0,70.31,8
96.0,70.38,8
97.0,70.45,8
98.0,70.57,8
99.0,70.74,8
100.0,70.97,8
101.0,71.26,8
102.0,71.67,8
103.0,72.08,8
104.0,72.09,8
105.0,72.12,8
106.0,72.37,8
107.0,73.22,8
108.0,73.95,8
109.0,74.11,8
110.0,74.18,8
111.0,74.21,8
112.0,74.25,8
113.0,74.37,8
114.0,74.50,8
115.0,74.61,8
116.0,74.72,8
117.0,74.74,8
118.0,74.78,8
119.0,74.81,8
120.0,74.92,8
