Time(s), System_CPU(%), Target_CPU(%), Target_Memory(MB), System_Memory_Used(MB), System_Memory_Total(MB)
0.24, 21.80, 0.00, 3.41, 1700.09, 15695.66
1.55, 0.00, 0.00, 67.12, 1728.85, 15695.66
2.87, 8.40, 0.00, 67.12, 1778.42, 15695.66
4.18, 0.00, 0.00, 67.12, 1791.19, 15695.66
5.50, 0.80, 0.00, 67.12, 1791.93, 15695.66
7.42, 1.70, 10.00, 254.29, 1917.25, 15695.66
9.34, 1.70, 20.00, 254.29, 1908.86, 15695.66
11.26, 1.70, 0.00, 254.29, 1888.12, 15695.66
13.18, 1.70, 10.00, 254.29, 1851.79, 15695.66
15.11, 3.30, 10.00, 254.29, 1820.82, 15695.66
17.03, 2.50, 0.00, 254.29, 1807.25, 15695.66
18.94, 1.70, 19.90, 254.29, 1797.43, 15695.66
20.86, 1.70, 10.00, 254.29, 1790.39, 15695.66
22.78, 2.50, 0.00, 254.29, 1785.89, 15695.66
24.70, 2.50, 20.00, 254.29, 1778.08, 15695.66
26.61, 7.60, 10.00, 254.41, 1773.65, 15695.66
28.53, 3.30, 10.00, 254.41, 1774.88, 15695.66
30.45, 2.50, 10.00, 254.41, 1774.80, 15695.66
32.37, 2.50, 10.00, 254.41, 1776.35, 15695.66
34.29, 1.70, 10.00, 254.41, 1776.75, 15695.66
36.20, 1.70, 0.00, 254.41, 1773.65, 15695.66
38.12, 1.70, 0.00, 254.41, 1770.57, 15695.66
40.04, 1.70, 10.00, 254.41, 1771.67, 15695.66
41.96, 1.70, 20.00, 254.41, 1773.42, 15695.66
43.88, 1.70, 10.00, 254.41, 1773.84, 15695.66
45.80, 6.60, 0.00, 254.41, 1772.77, 15695.66
47.71, 2.50, 0.00, 254.41, 1773.72, 15695.66
49.63, 1.70, 10.00, 254.41, 1770.57, 15695.66
51.55, 7.60, 0.00, 254.41, 1771.54, 15695.66
53.47, 2.50, 10.00, 254.41, 1772.30, 15695.66
55.39, 1.70, 20.00, 254.41, 1771.79, 15695.66
57.31, 10.90, 10.00, 254.41, 1772.83, 15695.66
59.22, 0.80, 0.00, 254.41, 1771.80, 15695.66
61.14, 1.70, 30.00, 254.41, 1772.68, 15695.66
63.06, 2.50, 10.00, 254.41, 1771.89, 15695.66
64.98, 2.50, 10.00, 254.41, 1772.76, 15695.66
66.89, 1.70, 10.00, 254.41, 1772.99, 15695.66
68.81, 2.50, 10.00, 254.41, 1773.70, 15695.66
70.74, 10.70, 10.00, 254.41, 1773.79, 15695.66
72.66, 2.50, 10.00, 254.41, 1773.21, 15695.66
74.58, 2.50, 0.00, 254.41, 1770.41, 15695.66
76.49, 11.80, 10.00, 254.41, 1768.39, 15695.66
78.41, 1.70, 10.00, 254.41, 1768.39, 15695.66
80.33, 2.50, 10.00, 254.41, 1764.86, 15695.66
82.25, 9.20, 20.00, 254.41, 1769.48, 15695.66
84.17, 1.70, 10.00, 254.41, 1766.56, 15695.66
86.08, 1.70, 0.00, 254.41, 1765.94, 15695.66
88.00, 5.10, 0.00, 254.41, 1767.35, 15695.66
89.92, 1.70, 10.00, 254.41, 1768.39, 15695.66
91.84, 3.30, 20.00, 254.41, 1771.83, 15695.66
93.76, 1.70, 0.00, 254.41, 1773.10, 15695.66
95.69, 2.50, 20.00, 254.41, 1773.02, 15695.66
97.60, 2.50, 10.00, 254.41, 1778.20, 15695.66
99.52, 1.70, 0.00, 254.41, 1778.79, 15695.66
101.44, 12.50, 20.00, 254.41, 1781.34, 15695.66
103.36, 1.70, 10.00, 254.41, 1781.59, 15695.66
105.27, 1.70, 20.00, 254.41, 1783.01, 15695.66
107.19, 12.50, 0.00, 254.41, 1783.72, 15695.66
109.11, 1.70, 10.00, 254.41, 1784.63, 15695.66
111.03, 1.70, 20.00, 254.41, 1784.35, 15695.66
112.94, 9.20, 10.00, 254.41, 1784.92, 15695.66
114.86, 2.50, 30.00, 254.41, 1785.65, 15695.66
116.79, 2.50, 0.00, 254.41, 1786.27, 15695.66
118.71, 4.20, 0.00, 254.41, 1786.26, 15695.66
120.62, 2.50, 10.00, 254.41, 1787.47, 15695.66
122.54, 1.70, 20.00, 254.41, 1787.90, 15695.66
