Time(s), CPU(%), Memory(MB)
0.12, 0.00, 3.41
2.37, 0.00, 776.32
4.60, 0.00, 776.32
6.84, 149.90, 882.94
9.07, 20.00, 884.32
11.30, 10.00, 884.32
13.55, 99.90, 936.11
15.77, 40.00, 955.63
18.01, 20.00, 956.88
20.26, 30.00, 957.00
22.50, 30.00, 957.25
24.74, 30.00, 957.93
26.98, 30.00, 958.06
29.21, 20.00, 958.18
31.46, 30.00, 958.93
33.70, 49.90, 959.18
35.95, 30.00, 960.00
38.21, 30.00, 960.12
40.46, 30.00, 960.12
42.68, 30.00, 960.25
44.92, 20.00, 960.50
47.16, 20.00, 960.75
49.41, 30.00, 960.87
51.65, 20.00, 961.00
53.90, 30.00, 961.25
56.15, 10.00, 961.50
58.39, 30.00, 962.12
60.62, 20.00, 962.50
62.87, 70.00, 962.87
65.12, 30.00, 963.25
67.37, 20.00, 963.75
69.60, 49.90, 964.00
71.85, 30.00, 964.62
74.10, 10.00, 960.90
76.33, 29.90, 961.03
78.55, 30.00, 961.40
80.78, 40.00, 961.65
83.03, 30.00, 961.65
85.26, 20.00, 961.65
87.50, 10.00, 962.40
89.74, 20.00, 962.40
91.98, 49.90, 962.78
94.21, 40.00, 963.40
96.45, 40.00, 963.53
98.70, 30.00, 963.90
100.95, 30.00, 963.90
103.19, 30.00, 964.28
105.42, 40.00, 964.53
107.65, 20.00, 964.90
109.88, 30.00, 965.53
112.12, 20.00, 965.78
114.36, 10.00, 966.03
116.60, 20.00, 966.53
118.84, 10.00, 967.28
121.08, 40.00, 967.40
123.32, 30.00, 967.78
125.55, 70.00, 968.28
127.78, 30.00, 968.78
130.02, 40.00, 969.03
132.25, 30.00, 969.53
134.49, 50.00, 970.15
136.74, 20.00, 970.53
139.00, 40.00, 970.78
141.24, 10.00, 971.28
143.48, 40.00, 971.40
145.74, 40.00, 971.65
147.96, 40.00, 971.90
150.22, 70.00, 972.28
152.45, 20.00, 972.40
154.68, 40.00, 972.53
156.92, 30.00, 972.65
159.15, 20.00, 973.03
161.38, 0.00, 973.15
163.64, 9.90, 973.40
165.87, 30.00, 973.53
168.10, 10.00, 973.65
170.34, 30.00, 973.90
172.59, 20.00, 974.15
174.84, 20.00, 974.53
177.06, 50.00, 974.65
179.29, 39.90, 974.65
181.52, 20.00, 974.65
183.77, 50.00, 974.78
186.02, 30.00, 975.07
188.26, 50.00, 975.19
190.49, 60.00, 975.32
192.72, 20.00, 975.32
194.96, 30.00, 975.44
197.20, 50.00, 975.57
199.44, 40.00, 975.57
201.67, 20.00, 975.57
203.90, 50.00, 975.69
206.14, 40.00, 975.94
208.37, 40.00, 976.07
210.61, 10.00, 976.07
212.85, 50.00, 976.32
215.08, 20.00, 976.69
217.33, 20.00, 976.69
219.57, 50.00, 976.69
221.80, 20.00, 976.69
224.03, 60.00, 976.94
226.28, 29.90, 977.07
228.53, 30.00, 977.19
230.76, 30.00, 977.19
233.01, 20.00, 977.32
235.26, 20.00, 977.32
237.49, 50.00, 977.32
239.72, 0.00, 977.32
241.95, 0.00, 977.32
244.20, 30.00, 977.44
246.44, 40.00, 977.44
248.68, 20.00, 977.57
250.93, 20.00, 977.57
253.17, 30.00, 977.69
255.43, 30.00, 977.69
257.66, 40.00, 977.82
259.89, 40.00, 977.94
262.14, 20.00, 978.07
264.38, 10.00, 978.32
266.61, 30.00, 978.32
268.85, 30.00, 978.32
271.10, 40.00, 978.57
273.33, 50.00, 978.69
275.57, 40.00, 978.82
277.81, 40.00, 978.82
280.06, 50.00, 979.07
282.29, 10.00, 979.07
284.52, 20.00, 979.44
286.75, 30.00, 979.57
288.99, 50.00, 979.82
291.24, 30.00, 979.82
293.47, 20.00, 979.94
295.70, 30.00, 980.19
297.93, 60.00, 980.32
300.16, 20.00, 980.32
302.39, 39.90, 980.32
304.63, 39.90, 980.32
306.86, 40.00, 980.32
309.09, 40.00, 980.32
311.34, 40.00, 980.57
313.58, 30.00, 980.57
315.83, 20.00, 980.57
318.06, 10.00, 980.69
320.30, 40.00, 980.69
322.54, 19.90, 980.69
