SwarmSize,Mean,Median,StdDev,Min,Max,Count
1,25.901999999999997,25.34,3.2273822209338636,21.53,31.96,10
2,26.101,25.975,1.4884921901037977,23.79,30.09,10
3,25.964999999999996,25.985,0.23066209051337383,25.5,26.29,10
5,39.788,40.215,3.0302567547981805,32.64,43.99,10
8,42.404,42.835,1.9684826643889966,38.26,44.38,10
13,56.50999999999999,57.285,3.0690487125492147,51.13,61.62,10
21,49.528000000000006,49.56999999999999,1.9605244196387863,45.89,53.35,10
