SwarmSize,Mean,Median,StdDev,Min,Max,Count
1,22.683,26.545,10.021666577969954,2.92,30.31,10
2,44.502,45.37,3.158090562349344,39.42,48.52,10
3,47.954,48.504999999999995,3.6669529585201928,41.95,53.02,10
5,52.419000000000004,55.845,9.444800103760798,33.63,63.07,10
8,68.05699999999999,73.375,14.469619241707779,43.16,89.58,10
13,60.71,55.025000000000006,12.754179707060741,48.29,85.0,10
21,19.701,19.575,0.4762656821565045,19.06,20.67,10
