Time(s), System_CPU(%), Target_CPU(%), Target_Memory(MB), System_Memory_Used(MB), System_Memory_Total(MB)
0.25, 23.70, 0.00, 3.48, 1872.07, 15695.66
1.98, 2.50, 0.00, 228.85, 1994.23, 15695.66
3.70, 1.70, 10.00, 228.85, 2034.26, 15695.66
5.42, 2.50, 20.00, 228.85, 1987.20, 15695.66
7.14, 1.70, 0.00, 252.16, 1987.86, 15695.66
8.86, 1.70, 20.00, 252.41, 2062.33, 15695.66
10.59, 2.50, 10.00, 252.41, 2054.34, 15695.66
12.31, 5.00, 20.00, 265.14, 2081.63, 15695.66
14.03, 8.40, 29.90, 271.94, 2082.40, 15695.66
15.75, 4.20, 20.00, 272.19, 2074.04, 15695.66
17.48, 5.00, 20.00, 272.32, 2073.26, 15695.66
19.20, 4.30, 10.00, 272.45, 2047.80, 15695.66
20.92, 5.90, 10.00, 272.45, 2037.33, 15695.66
22.64, 6.00, 0.00, 272.45, 2025.47, 15695.66
24.36, 7.40, 10.00, 272.45, 2020.80, 15695.66
26.09, 4.20, 0.00, 272.45, 2019.02, 15695.66
27.81, 7.40, 10.00, 272.45, 2006.38, 15695.66
29.53, 9.20, 20.00, 272.45, 2004.30, 15695.66
31.25, 5.10, 0.00, 272.45, 2006.00, 15695.66
32.97, 5.90, 20.00, 272.45, 2005.48, 15695.66
34.69, 5.10, 10.00, 272.57, 2005.78, 15695.66
36.41, 5.10, 0.00, 272.82, 2005.49, 15695.66
38.13, 5.00, 0.00, 272.95, 2003.76, 15695.66
39.85, 5.00, 0.00, 273.07, 2004.90, 15695.66
41.57, 5.00, 20.00, 273.20, 2001.09, 15695.66
43.29, 6.80, 0.00, 273.32, 2015.04, 15695.66
45.01, 8.40, 20.00, 273.32, 2010.10, 15695.66
46.74, 6.70, 10.00, 273.32, 2008.56, 15695.66
48.47, 5.10, 10.00, 273.32, 2005.22, 15695.66
50.19, 5.90, 0.00, 273.32, 1999.92, 15695.66
51.92, 5.90, 10.00, 273.32, 1999.41, 15695.66
53.64, 9.20, 0.00, 273.32, 1996.14, 15695.66
55.36, 5.90, 0.00, 273.32, 1992.15, 15695.66
57.08, 5.90, 20.00, 273.32, 1992.06, 15695.66
58.81, 8.50, 20.00, 273.45, 1993.14, 15695.66
60.53, 5.80, 0.00, 273.70, 1997.96, 15695.66
62.25, 7.40, 0.00, 273.70, 2000.08, 15695.66
63.98, 6.00, 0.00, 273.70, 1998.89, 15695.66
65.70, 5.10, 0.00, 273.70, 1999.07, 15695.66
67.42, 5.90, 10.00, 273.70, 2009.44, 15695.66
69.14, 6.00, 0.00, 273.70, 2013.40, 15695.66
70.86, 6.70, 10.00, 273.70, 2013.62, 15695.66
72.58, 5.10, 0.00, 273.82, 2014.01, 15695.66
74.30, 5.80, 10.00, 273.95, 2019.06, 15695.66
76.02, 3.40, 10.00, 274.07, 2013.33, 15695.66
77.74, 5.10, 10.00, 274.20, 2013.00, 15695.66
79.46, 4.20, 10.00, 274.32, 2012.57, 15695.66
81.18, 4.30, 0.00, 274.45, 2005.61, 15695.66
82.90, 5.80, 10.00, 274.45, 2008.21, 15695.66
84.62, 6.70, 10.00, 274.45, 2004.45, 15695.66
86.34, 5.90, 10.00, 273.76, 2010.03, 15695.66
88.06, 4.20, 0.00, 273.76, 2011.20, 15695.66
89.78, 7.60, 10.00, 273.76, 2006.58, 15695.66
91.50, 6.70, 10.00, 273.29, 2009.04, 15695.66
93.22, 5.10, 0.00, 273.29, 2011.68, 15695.66
94.94, 10.00, 0.00, 273.41, 2012.46, 15695.66
96.66, 9.20, 0.00, 273.41, 2011.10, 15695.66
98.38, 4.20, 10.00, 273.54, 2010.39, 15695.66
100.10, 7.50, 10.00, 273.54, 2012.62, 15695.66
101.82, 6.70, 10.00, 273.79, 2010.09, 15695.66
103.54, 5.80, 0.00, 273.91, 2008.00, 15695.66
105.27, 4.20, 10.00, 274.04, 2007.74, 15695.66
106.99, 8.30, 20.00, 274.04, 2011.85, 15695.66
108.71, 10.00, 10.00, 274.04, 2020.00, 15695.66
110.44, 9.30, 0.00, 274.04, 2019.15, 15695.66
112.16, 5.90, 10.00, 274.16, 2017.21, 15695.66
113.89, 5.90, 10.00, 274.16, 2018.43, 15695.66
115.62, 7.70, 10.00, 274.54, 2010.78, 15695.66
117.34, 6.60, 20.00, 274.66, 2012.33, 15695.66
119.06, 6.70, 10.00, 274.66, 2016.22, 15695.66
120.78, 5.10, 10.00, 274.66, 2017.00, 15695.66
122.50, 5.10, 10.00, 274.79, 2015.26, 15695.66
124.22, 5.80, 0.00, 274.91, 2015.49, 15695.66
125.94, 5.00, 10.00, 274.91, 2021.19, 15695.66
127.67, 7.60, 0.00, 274.91, 2028.70, 15695.66
