Time(s), CPU(%), Memory(MB)
0.12, 0.00, 3.61
1.33, 0.00, 66.84
2.55, 0.00, 67.09
3.76, 10.00, 67.09
4.98, 0.00, 67.09
7.85, 79.90, 568.97
10.68, 50.00, 570.47
13.51, 0.00, 570.60
16.33, 20.00, 570.85
19.16, 20.00, 570.85
21.98, 20.00, 571.10
24.82, 20.00, 571.35
27.64, 30.00, 571.47
30.47, 30.00, 571.47
33.30, 20.00, 571.60
36.12, 10.00, 571.85
38.95, 40.00, 571.97
41.78, 0.00, 572.35
44.60, 10.00, 572.35
47.43, 40.00, 572.35
50.27, 30.00, 572.47
53.10, 20.00, 572.60
55.92, 40.00, 572.60
58.75, 20.00, 572.85
61.58, 10.00, 572.85
64.41, 20.00, 572.97
67.24, 10.00, 573.10
70.07, 10.00, 573.10
72.90, 30.00, 573.10
75.72, 40.00, 573.10
78.54, 30.00, 573.10
81.37, 10.00, 573.47
84.20, 10.00, 573.47
87.03, 20.00, 573.47
89.85, 10.00, 573.60
92.68, 29.90, 573.60
95.51, 50.00, 573.60
98.33, 20.00, 573.72
101.17, 30.00, 573.72
104.00, 40.00, 573.85
106.83, 39.90, 573.85
109.67, 40.00, 573.97
112.50, 60.00, 574.35
115.32, 20.00, 574.60
118.15, 40.00, 574.60
120.97, 40.00, 574.85
123.79, 20.00, 574.85
126.62, 20.00, 574.85
129.47, 10.00, 574.85
132.30, 10.00, 574.97
135.12, 20.00, 574.97
137.95, 10.00, 575.10
140.77, 30.00, 575.10
143.59, 30.00, 575.10
146.42, 10.00, 575.10
149.24, 39.90, 575.10
152.07, 20.00, 575.22
154.89, 30.00, 575.22
157.72, 30.00, 575.35
160.54, 30.00, 575.35
163.37, 20.00, 575.35
166.20, 30.00, 575.47
169.03, 60.00, 575.47
171.86, 10.00, 575.47
174.68, 20.00, 575.60
177.51, 20.00, 574.77
180.34, 20.00, 570.74
183.16, 30.00, 569.15
185.99, 10.00, 568.54
188.81, 30.00, 568.67
191.63, 30.00, 568.92
194.46, 20.00, 568.92
197.29, 40.00, 568.92
200.11, 20.00, 569.29
202.95, 60.00, 569.29
205.78, 20.00, 569.29
208.60, 30.00, 569.29
211.44, 10.00, 569.67
214.26, 30.00, 569.67
217.09, 20.00, 569.79
219.91, 50.00, 569.79
222.73, 30.00, 569.92
225.56, 40.00, 570.04
228.39, 10.00, 570.17
231.22, 20.00, 570.17
234.04, 30.00, 570.17
236.87, 69.90, 570.17
239.69, 49.90, 570.29
242.52, 50.00, 570.29
245.35, 50.00, 570.29
248.20, 20.00, 570.54
251.03, 20.00, 570.79
253.85, 10.00, 570.79
256.68, 10.00, 570.92
259.50, 30.00, 571.17
262.32, 20.00, 571.17
265.15, 20.00, 571.17
267.97, 30.00, 571.17
270.80, 20.00, 571.17
273.62, 20.00, 571.29
276.47, 40.00, 571.42
279.30, 30.00, 571.54
282.12, 30.00, 571.67
284.95, 40.00, 571.67
287.77, 10.00, 571.92
290.61, 30.00, 572.17
293.43, 20.00, 572.17
296.27, 20.00, 572.67
299.10, 30.00, 572.79
301.92, 0.00, 572.79
304.75, 30.00, 572.92
307.57, 50.00, 573.04
310.41, 30.00, 573.04
313.23, 39.90, 573.04
316.06, 20.00, 573.17
318.88, 0.00, 573.29
321.72, 20.00, 573.54
324.55, 20.00, 573.54
327.38, 19.90, 573.79
330.20, 20.00, 573.79
333.02, 20.00, 573.92
335.85, 10.00, 573.92
338.68, 20.00, 574.04
341.50, 40.00, 574.04
344.32, 40.00, 574.17
347.15, 20.00, 574.29
349.98, 40.00, 574.29
352.81, 40.00, 574.29
355.63, 40.00, 574.29
358.46, 40.00, 574.29
361.28, 40.00, 574.42
364.11, 20.00, 574.67
366.95, 10.00, 574.67
369.79, 50.00, 574.92
372.62, 10.00, 574.92
375.45, 10.00, 574.92
378.27, 20.00, 574.92
381.11, 40.00, 574.92
383.95, 10.00, 575.04
386.77, 20.00, 575.17
389.60, 70.00, 575.29
392.42, 20.00, 575.29
395.26, 10.00, 575.42
398.09, 20.00, 575.42
400.91, 40.00, 575.54
403.75, 40.00, 575.67
406.57, 40.00, 575.67
409.40, 20.00, 575.79
412.23, 20.00, 576.04
415.06, 10.00, 576.17
417.88, 10.00, 576.17
420.71, 50.00, 576.29
423.54, 20.00, 576.42
426.37, 30.00, 575.17
429.20, 20.00, 574.34
432.04, 20.00, 571.23
434.86, 20.00, 570.54
437.69, 50.00, 570.79
440.52, 20.00, 570.13
443.34, 40.00, 570.13
446.17, 30.00, 570.13
449.00, 10.00, 570.13
451.83, 20.00, 570.38
454.66, 10.00, 570.38
457.48, 20.00, 570.38
460.32, 10.00, 570.38
463.15, 30.00, 570.38
465.98, 20.00, 570.76
468.80, 50.00, 570.76
471.63, 40.00, 570.76
474.46, 50.00, 570.76
477.28, 10.00, 570.76
480.11, 30.00, 570.88
482.94, 40.00, 570.88
485.77, 30.00, 570.88
488.60, 50.00, 571.13
491.44, 10.00, 571.13
494.29, 40.00, 571.13
497.11, 40.00, 571.26
499.94, 30.00, 571.26
502.76, 40.00, 571.26
505.59, 0.00, 571.38
508.41, 40.00, 571.51
511.24, 9.90, 571.63
514.07, 20.00, 571.63
516.89, 19.90, 571.63
519.72, 10.00, 571.63
522.55, 20.00, 571.63
525.38, 50.00, 571.63
528.21, 30.00, 571.76
531.04, 10.00, 571.76
533.87, 40.00, 571.76
536.72, 40.00, 571.88
539.56, 50.00, 572.13
542.41, 0.00, 572.13
545.23, 20.00, 572.26
548.06, 30.00, 572.38
550.88, 50.00, 572.38
553.71, 0.00, 572.51
556.54, 10.00, 572.51
559.36, 50.00, 572.51
562.19, 10.00, 572.63
565.02, 30.00, 572.63
567.85, 39.90, 572.63
570.68, 10.00, 572.76
573.54, 20.00, 572.88
576.38, 70.00, 573.01
579.21, 30.00, 573.01
582.03, 50.00, 573.01
584.86, 30.00, 573.13
587.69, 50.00, 573.26
590.52, 50.00, 573.38
593.35, 40.00, 573.51
596.17, 20.00, 573.63
599.00, 40.00, 573.63
601.83, 20.00, 573.63
604.66, 10.00, 573.63
607.48, 20.00, 573.76
610.33, 30.00, 573.76
613.16, 40.00, 573.76
615.98, 30.00, 574.01
618.81, 30.00, 574.13
621.64, 30.00, 574.13
624.47, 30.00, 574.63
627.30, 30.00, 574.76
630.13, 20.00, 574.76
632.95, 30.00, 574.88
635.78, 10.00, 575.01
638.60, 10.00, 575.01
641.43, 20.00, 575.01
644.26, 70.00, 575.01
647.11, 60.00, 575.01
649.94, 40.00, 575.01
652.76, 10.00, 575.13
655.59, 30.00, 575.26
658.42, 30.00, 575.26
661.25, 10.00, 575.26
664.08, 20.00, 575.51
666.91, 20.00, 575.51
669.74, 30.00, 575.51
672.57, 20.00, 575.76
675.40, 20.00, 576.01
678.23, 10.00, 576.01
681.06, 40.00, 576.01
683.90, 30.00, 576.01
686.73, 0.00, 576.13
689.55, 40.00, 576.26
692.39, 30.00, 576.38
695.22, 20.00, 576.51
698.06, 40.00, 576.63
700.88, 40.00, 576.63
703.71, 40.00, 576.76
706.57, 20.00, 577.13
709.39, 20.00, 577.13
712.22, 10.00, 577.13
715.07, 20.00, 577.13
717.91, 10.00, 577.26
720.74, 40.00, 577.26
723.57, 20.00, 577.38
726.40, 49.90, 577.63
729.22, 40.00, 577.76
732.05, 30.00, 577.76
734.87, 40.00, 577.88
737.70, 10.00, 577.88
740.54, 0.00, 578.26
743.37, 10.00, 578.26
746.19, 20.00, 578.63
749.02, 40.00, 578.63
751.87, 20.00, 578.76
754.69, 10.00, 578.76
757.51, 0.00, 578.88
760.35, 30.00, 579.13
763.18, 40.00, 579.13
766.00, 40.00, 579.26
768.82, 30.00, 579.38
771.66, 10.00, 579.51
774.49, 60.00, 579.51
777.32, 30.00, 580.01
780.15, 10.00, 580.01
782.99, 10.00, 580.38
785.81, 30.00, 580.63
788.66, 10.00, 580.76
791.48, 30.00, 580.88
794.32, 50.00, 580.88
797.14, 60.00, 580.88
799.97, 39.90, 580.88
802.79, 30.00, 580.88
805.62, 20.00, 580.88
808.45, 0.00, 581.01
811.28, 10.00, 581.26
814.11, 40.00, 581.26
816.93, 10.00, 581.38
819.76, 40.00, 581.51
822.58, 0.00, 581.51
825.42, 30.00, 581.76
828.25, 20.00, 581.76
831.07, 20.00, 581.76
833.90, 10.00, 581.76
836.73, 10.00, 581.88
839.56, 30.00, 582.13
842.38, 20.00, 582.38
845.22, 10.00, 582.38
848.06, 40.00, 582.38
850.88, 20.00, 582.38
853.72, 10.00, 582.38
856.56, 40.00, 582.51
859.39, 20.00, 582.63
862.23, 30.00, 582.63
865.05, 20.00, 582.76
867.88, 29.90, 582.76
870.70, 20.00, 582.76
873.53, 60.00, 582.76
876.35, 20.00, 582.76
879.18, 10.00, 582.76
882.01, 20.00, 583.01
884.85, 30.00, 583.13
887.68, 20.00, 583.13
890.51, 40.00, 583.13
893.35, 30.00, 583.26
896.18, 10.00, 583.38
899.01, 20.00, 583.38
901.84, 40.00, 583.38
904.66, 40.00, 583.38
907.51, 30.00, 583.51
910.33, 20.00, 583.51
913.15, 20.00, 583.63
915.98, 20.00, 583.63
918.81, 50.00, 583.63
921.63, 30.00, 583.76
924.46, 40.00, 583.76
927.29, 40.00, 584.01
930.12, 50.00, 584.01
932.95, 10.00, 584.01
935.77, 30.00, 584.01
938.60, 30.00, 584.01
941.42, 59.90, 584.01
944.26, 30.00, 584.01
947.08, 30.00, 584.13
949.91, 40.00, 584.13
952.73, 40.00, 584.13
955.57, 20.00, 584.13
958.40, 20.00, 584.13
961.24, 30.00, 584.13
964.06, 40.00, 584.13
966.88, 20.00, 584.13
969.70, 40.00, 584.13
972.53, 30.00, 584.26
975.36, 0.00, 584.26
978.19, 30.00, 584.26
981.01, 20.00, 584.26
983.84, 10.00, 584.26
986.66, 10.00, 584.26
989.49, 0.00, 584.26
992.32, 30.00, 584.26
995.15, 50.00, 584.26
997.98, 40.00, 584.26
1000.80, 30.00, 584.26
1003.63, 30.00, 584.26
1006.45, 10.00, 584.26
1009.28, 20.00, 584.38
1012.12, 20.00, 584.38
1014.94, 50.00, 584.51
1017.77, 40.00, 584.51
1020.60, 30.00, 584.51
1023.43, 30.00, 584.51
1026.26, 10.00, 584.51
1029.09, 10.00, 584.51
1031.91, 20.00, 584.51
1034.76, 20.00, 584.51
1037.60, 20.00, 584.51
1040.42, 20.00, 584.51
1043.25, 30.00, 584.51
1046.07, 50.00, 584.51
1048.90, 20.00, 584.51
1051.72, 50.00, 584.51
1054.54, 40.00, 584.63
1057.38, 60.00, 584.63
1060.20, 20.00, 584.63
1063.03, 20.00, 584.63
1065.87, 30.00, 584.63
1068.70, 30.00, 584.63
1071.53, 20.00, 584.76
1074.36, 20.00, 584.76
1077.19, 20.00, 584.76
1080.02, 20.00, 584.88
1082.85, 20.00, 584.88
1085.68, 20.00, 584.88
1088.51, 40.00, 584.88
1091.33, 20.00, 584.88
1094.16, 20.00, 584.88
1096.99, 39.90, 584.88
1099.82, 0.00, 584.88
1102.65, 0.00, 584.88
1105.47, 30.00, 584.88
1108.30, 20.00, 584.88
1111.13, 30.00, 585.01
1113.96, 40.00, 585.13
1116.78, 20.00, 585.13
1119.60, 10.00, 585.13
1122.44, 30.00, 585.13
1125.27, 20.00, 585.26
1128.10, 40.00, 585.26
1130.93, 30.00, 585.51
1133.76, 50.00, 585.51
1136.59, 40.00, 585.51
1139.41, 30.00, 585.51
1142.23, 30.00, 585.51
1145.07, 50.00, 585.51
1147.89, 20.00, 585.63
1150.72, 0.00, 585.63
1153.54, 30.00, 585.63
1156.37, 30.00, 585.76
1159.20, 30.00, 585.76
1162.02, 30.00, 585.76
1164.85, 40.00, 585.88
1167.68, 30.00, 585.88
1170.51, 40.00, 585.88
1173.33, 30.00, 585.88
1176.16, 60.00, 585.88
1178.99, 20.00, 585.88
1181.82, 29.90, 585.88
1184.64, 40.00, 585.88
1187.48, 10.00, 585.88
1190.31, 40.00, 585.88
1193.15, 20.00, 585.88
1195.98, 30.00, 585.88
1198.80, 40.00, 585.88
1201.63, 40.00, 585.88
1204.45, 20.00, 585.88
1207.28, 40.00, 585.88
1210.10, 20.00, 585.88
1212.93, 40.00, 585.88
1215.75, 50.00, 585.88
1218.58, 30.00, 585.88
1221.40, 30.00, 585.88
1224.23, 30.00, 585.88
1227.05, 10.00, 585.88
1229.89, 20.00, 585.88
1232.73, 30.00, 585.88
1235.55, 20.00, 585.88
1238.38, 30.00, 585.88
1241.21, 10.00, 585.88
1244.06, 20.00, 585.88
1246.90, 10.00, 585.88
1249.75, 40.00, 585.88
1252.57, 30.00, 585.88
1255.40, 40.00, 585.88
1258.22, 30.00, 585.88
1261.06, 40.00, 585.88
1263.88, 10.00, 585.88
1266.71, 40.00, 585.88
1269.54, 20.00, 585.88
1272.36, 50.00, 585.88
1275.19, 0.00, 585.88
1278.01, 10.00, 585.88
1280.84, 30.00, 585.88
1283.67, 20.00, 585.88
1286.51, 40.00, 585.88
1289.33, 30.00, 585.88
1292.16, 10.00, 585.88
1294.99, 20.00, 585.88
1297.81, 20.00, 585.88
1300.65, 10.00, 585.88
1303.48, 10.00, 585.88
1306.30, 40.00, 585.88
1309.13, 10.00, 585.88
1311.96, 10.00, 585.88
1314.78, 30.00, 585.88
1317.61, 20.00, 585.88
1320.44, 20.00, 585.88
1323.27, 40.00, 585.88
1326.09, 50.00, 585.88
1328.91, 40.00, 585.88
1331.74, 10.00, 585.88
1334.57, 40.00, 585.88
1337.40, 9.90, 585.88
