Time(s),Coverage(%),Number of running robots
1746891342.1,0.00, 8
1746891343.1,14.13, 8
1746891344.1,14.13, 8
1746891345.1,14.13, 8
1746891346.1,14.13, 8
1746891347.2,14.13, 8
1746891348.2,14.13, 8
1746891349.2,14.13, 8
1746891350.2,14.13, 8
1746891351.2,14.13, 8
1746891352.3,14.13, 8
1746891353.3,14.13, 8
1746891354.3,17.94, 8
1746891355.3,19.71, 8
1746891356.3,20.42, 8
1746891357.3,20.90, 8
1746891358.3,21.13, 8
1746891359.3,21.64, 8
1746891360.3,22.29, 8
1746891361.3,23.02, 8
1746891362.3,23.75, 8
1746891363.3,24.54, 8
1746891364.4,24.90, 8
1746891365.4,25.21, 8
1746891366.4,25.35, 8
1746891367.4,25.80, 8
1746891368.4,26.16, 8
1746891369.4,26.57, 8
1746891370.4,26.81, 8
1746891371.4,26.98, 8
1746891372.4,27.23, 8
1746891373.4,27.40, 8
1746891374.4,27.46, 8
1746891375.4,27.60, 8
1746891376.5,27.71, 8
1746891377.5,27.87, 8
1746891378.5,28.38, 8
1746891379.5,29.29, 8
1746891380.5,30.88, 8
1746891381.5,32.50, 8
1746891382.5,33.26, 8
1746891383.5,33.74, 8
1746891384.5,34.36, 8
1746891385.5,34.84, 8
1746891386.5,35.39, 8
1746891387.5,35.77, 8
1746891388.6,36.56, 8
1746891389.6,38.80, 8
1746891390.6,40.94, 8
1746891391.6,42.08, 8
1746891392.6,42.87, 8
1746891393.6,43.55, 8
1746891394.6,44.59, 8
1746891395.6,45.32, 8
1746891396.7,46.25, 8
1746891397.7,46.64, 8
1746891398.7,47.82, 8
1746891399.7,49.65, 8
1746891400.7,50.49, 8
1746891401.7,51.18, 8
1746891402.7,51.56, 8
1746891403.7,52.06, 8
1746891404.8,52.40, 8
1746891405.8,52.49, 8
1746891406.8,52.70, 8
1746891407.8,53.22, 8
1746891408.8,53.64, 8
1746891409.8,53.95, 8
1746891410.8,54.27, 8
1746891411.8,54.64, 8
1746891412.8,54.73, 8
1746891413.8,55.02, 8
1746891414.9,55.54, 8
