Time(s), System_CPU(%), Target_CPU(%), Target_Memory(MB), System_Memory_Used(MB), System_Memory_Total(MB)
0.24, 18.30, 0.00, 3.47, 1965.84, 15695.66
3.18, 74.60, 99.90, 789.64, 2269.48, 15695.66
6.10, 12.70, 10.00, 791.39, 2369.48, 15695.66
9.04, 5.80, 20.00, 818.84, 2426.59, 15695.66
11.97, 4.20, 10.00, 819.71, 2459.68, 15695.66
14.93, 98.30, 139.50, 942.65, 2680.49, 15695.66
17.86, 25.40, 120.00, 979.78, 2885.77, 15695.66
20.79, 24.10, 70.00, 980.90, 2917.50, 15695.66
23.74, 29.30, 60.00, 981.15, 2945.27, 15695.66
26.68, 24.60, 30.00, 982.40, 2972.34, 15695.66
29.62, 40.00, 79.90, 982.78, 2960.91, 15695.66
32.56, 39.50, 50.00, 983.16, 2967.82, 15695.66
35.50, 35.00, 29.80, 983.66, 2969.54, 15695.66
38.45, 45.20, 50.00, 984.04, 2966.60, 15695.66
41.39, 48.70, 50.00, 984.16, 2970.83, 15695.66
44.32, 45.30, 30.00, 984.41, 2979.98, 15695.66
47.27, 37.30, 70.00, 984.79, 2981.43, 15695.66
50.20, 36.80, 60.00, 984.91, 2987.91, 15695.66
53.14, 50.00, 40.00, 985.79, 2984.21, 15695.66
56.08, 46.60, 50.00, 987.04, 2988.73, 15695.66
59.04, 46.20, 60.00, 988.16, 2992.20, 15695.66
61.99, 48.70, 50.00, 988.91, 3003.12, 15695.66
64.92, 46.60, 49.90, 989.29, 3005.58, 15695.66
67.88, 46.20, 60.00, 990.41, 3010.13, 15695.66
70.83, 33.90, 29.90, 991.16, 3005.13, 15695.66
73.79, 44.80, 69.90, 989.67, 3015.54, 15695.66
76.72, 32.80, 40.00, 986.27, 3012.47, 15695.66
79.68, 39.00, 40.00, 986.52, 3013.61, 15695.66
82.62, 32.80, 30.00, 987.14, 3021.88, 15695.66
85.57, 30.50, 70.00, 988.02, 3023.60, 15695.66
88.52, 30.40, 70.00, 988.77, 3027.48, 15695.66
91.46, 37.10, 30.00, 989.77, 3030.62, 15695.66
94.39, 24.60, 40.00, 990.64, 3034.98, 15695.66
97.33, 24.10, 50.00, 991.52, 3039.89, 15695.66
100.26, 33.60, 70.00, 992.52, 3046.17, 15695.66
103.20, 36.00, 40.00, 993.39, 3050.05, 15695.66
106.14, 28.40, 50.00, 994.02, 3053.98, 15695.66
109.08, 45.20, 30.00, 994.89, 3058.61, 15695.66
112.02, 31.00, 40.00, 995.64, 3061.78, 15695.66
114.96, 37.40, 40.00, 996.02, 3062.89, 15695.66
117.89, 43.20, 70.00, 996.77, 3065.80, 15695.66
120.84, 25.20, 49.90, 997.52, 3069.21, 15695.66
123.81, 46.30, 70.00, 998.27, 3073.10, 15695.66
126.77, 50.40, 40.00, 998.77, 3075.84, 15695.66
129.72, 47.90, 40.00, 999.77, 3079.26, 15695.66
