Time(s), CPU(%), Memory(MB)
0.12, 0.00, 3.42
1.34, 0.00, 67.03
2.58, 0.00, 67.16
3.80, 0.00, 67.16
5.02, 0.00, 67.16
8.88, 279.70, 875.38
12.71, 40.00, 891.91
16.54, 30.00, 892.66
20.39, 49.90, 893.16
24.22, 30.00, 893.79
28.06, 50.00, 894.41
31.90, 40.00, 894.54
35.74, 50.00, 894.91
39.58, 60.00, 895.04
43.41, 59.90, 895.04
47.25, 60.00, 895.04
51.09, 30.00, 895.66
54.92, 30.00, 895.79
58.76, 59.90, 896.54
62.60, 30.00, 896.54
66.45, 50.00, 896.54
70.29, 30.00, 896.79
74.13, 60.00, 896.91
77.97, 40.00, 896.91
81.82, 10.00, 897.41
85.65, 70.00, 897.41
89.50, 50.00, 897.66
93.36, 39.90, 897.91
97.19, 50.00, 898.29
101.02, 50.00, 898.41
104.87, 30.00, 898.54
108.70, 60.00, 898.79
112.53, 50.00, 899.16
116.37, 40.00, 899.66
120.20, 39.90, 899.91
124.03, 29.90, 899.91
127.87, 40.00, 900.41
131.71, 60.00, 896.48
135.55, 30.00, 893.63
139.38, 50.00, 893.63
143.22, 50.00, 893.63
147.07, 20.00, 893.88
150.90, 60.00, 894.00
154.75, 29.90, 894.50
158.59, 30.00, 894.75
162.42, 20.00, 895.13
166.26, 40.00, 895.38
170.10, 30.00, 895.75
173.94, 40.00, 895.88
177.79, 40.00, 896.50
181.64, 40.00, 896.50
185.47, 30.00, 896.88
189.31, 60.00, 896.88
193.15, 40.00, 897.13
196.99, 60.00, 897.63
200.82, 49.90, 897.75
204.66, 60.00, 898.00
208.50, 30.00, 898.00
212.34, 70.00, 898.13
216.19, 40.00, 898.38
220.05, 30.00, 898.50
223.88, 90.00, 898.63
227.73, 59.90, 898.63
231.57, 40.00, 899.00
235.40, 20.00, 899.13
239.25, 40.00, 899.50
243.11, 20.00, 899.88
246.95, 20.00, 900.00
250.79, 70.00, 900.38
254.65, 50.00, 900.38
258.51, 30.00, 900.38
262.35, 40.00, 900.50
266.18, 70.00, 900.75
270.01, 50.00, 901.00
273.86, 60.00, 901.38
277.70, 20.00, 901.50
281.55, 30.00, 901.88
285.40, 60.00, 902.00
289.24, 40.00, 902.25
293.07, 70.00, 902.50
296.91, 10.00, 902.63
300.74, 20.00, 902.63
304.58, 60.00, 902.88
308.42, 70.00, 903.00
312.28, 60.00, 903.25
316.12, 50.00, 903.75
319.95, 30.00, 903.75
323.79, 50.00, 903.88
327.63, 60.00, 904.00
331.48, 50.00, 904.13
335.32, 50.00, 903.55
339.15, 20.00, 895.43
343.00, 40.00, 895.68
346.83, 50.00, 894.47
350.67, 60.00, 894.47
354.52, 50.00, 894.84
358.39, 40.00, 895.09
362.24, 30.00, 895.34
366.08, 60.00, 895.47
369.92, 40.00, 896.09
373.76, 30.00, 896.09
377.60, 60.00, 896.59
381.44, 60.00, 896.59
385.28, 30.00, 896.97
389.11, 30.00, 897.47
392.96, 59.90, 897.59
396.79, 50.00, 897.72
400.63, 20.00, 897.72
404.46, 39.90, 897.84
408.30, 30.00, 898.09
412.15, 30.00, 898.22
415.99, 60.00, 898.47
419.83, 50.00, 898.97
423.66, 70.00, 899.09
427.50, 50.00, 899.47
431.34, 50.00, 899.59
435.18, 40.00, 899.59
439.02, 30.00, 899.59
442.87, 30.00, 899.97
446.70, 59.80, 899.97
450.55, 30.00, 900.22
454.39, 40.00, 900.22
458.22, 40.00, 900.72
462.06, 30.00, 900.84
465.89, 40.00, 900.97
469.74, 30.00, 901.09
473.58, 20.00, 901.34
477.41, 50.00, 901.47
481.26, 50.00, 901.84
485.11, 19.90, 901.97
488.95, 20.00, 901.97
492.80, 50.00, 902.09
496.63, 30.00, 902.47
500.47, 59.90, 902.59
504.31, 30.00, 902.97
508.14, 60.00, 903.47
512.00, 70.00, 903.59
515.85, 60.00, 903.72
519.69, 50.00, 903.72
523.53, 40.00, 903.72
527.38, 49.90, 903.97
531.23, 40.00, 904.22
535.10, 70.00, 904.22
538.95, 50.00, 904.22
542.79, 50.00, 904.22
546.63, 50.00, 900.73
550.47, 30.00, 900.86
