Time(s), System_CPU(%), Target_CPU(%), Target_Memory(MB), System_Memory_Used(MB), System_Memory_Total(MB)
0.25, 26.10, 0.00, 3.56, 1797.50, 15695.66
1.56, 0.80, 0.00, 67.21, 1926.94, 15695.66
2.89, 11.80, 0.00, 67.21, 1972.47, 15695.66
4.20, 0.00, 0.00, 67.21, 1988.06, 15695.66
5.52, 0.00, 0.00, 67.21, 1989.04, 15695.66
9.47, 100.00, 50.00, 889.61, 2365.23, 15695.66
13.40, 9.90, 30.00, 889.86, 2469.61, 15695.66
17.33, 5.90, 39.90, 889.98, 2425.92, 15695.66
21.27, 15.80, 30.00, 889.98, 2395.93, 15695.66
25.20, 30.50, 20.00, 890.23, 2379.16, 15695.66
29.13, 31.40, 10.00, 890.36, 2366.52, 15695.66
33.06, 30.50, 50.00, 890.36, 2359.34, 15695.66
36.99, 30.00, 20.00, 890.36, 2361.55, 15695.66
40.93, 29.50, 40.00, 890.86, 2364.19, 15695.66
44.86, 23.30, 50.00, 891.11, 2364.09, 15695.66
48.79, 25.20, 30.00, 891.11, 2365.05, 15695.66
52.72, 25.00, 49.90, 891.11, 2367.66, 15695.66
56.66, 27.10, 50.00, 891.23, 2368.85, 15695.66
60.60, 28.00, 30.00, 891.36, 2368.52, 15695.66
64.54, 28.80, 39.90, 891.36, 2371.96, 15695.66
68.47, 25.00, 30.00, 891.36, 2374.89, 15695.66
72.40, 25.60, 60.00, 891.61, 2374.38, 15695.66
76.35, 29.00, 20.00, 891.86, 2371.27, 15695.66
80.29, 25.40, 70.00, 891.98, 2375.44, 15695.66
84.22, 25.00, 40.00, 891.98, 2375.54, 15695.66
88.16, 26.10, 60.00, 892.11, 2380.79, 15695.66
92.10, 28.00, 70.00, 892.11, 2381.99, 15695.66
96.04, 25.20, 40.00, 892.36, 2379.45, 15695.66
99.97, 22.90, 50.00, 892.61, 2385.76, 15695.66
103.90, 17.20, 39.90, 892.61, 2388.09, 15695.66
107.84, 20.80, 50.00, 892.73, 2387.57, 15695.66
111.78, 24.80, 50.00, 892.73, 2389.81, 15695.66
115.73, 24.40, 50.00, 892.73, 2393.54, 15695.66
119.67, 26.20, 20.00, 892.86, 2394.91, 15695.66
123.62, 24.40, 20.00, 893.11, 2395.58, 15695.66
