Time(s), System_CPU(%), Target_CPU(%), Target_Memory(MB), System_Memory_Used(MB), System_Memory_Total(MB)
0.26, 22.50, 0.00, 3.36, 2035.71, 15695.66
6.09, 100.00, 418.50, 1937.79, 2580.75, 15695.66
11.64, 31.60, 159.80, 2090.21, 3436.78, 15695.66
17.23, 26.10, 229.80, 2103.29, 3289.10, 15695.66
22.80, 18.30, 150.00, 2132.04, 3541.17, 15695.66
28.34, 19.20, 170.00, 2132.91, 3389.03, 15695.66
33.89, 17.60, 110.00, 2133.41, 3340.56, 15695.66
39.45, 17.80, 89.80, 2133.79, 3329.49, 15695.66
45.01, 19.20, 149.80, 2134.54, 3330.00, 15695.66
50.56, 15.10, 159.50, 2135.16, 3336.51, 15695.66
56.12, 17.80, 199.70, 2136.29, 3335.71, 15695.66
61.67, 18.30, 110.00, 2136.54, 3337.38, 15695.66
66.21, 18.50, 139.90, 1551.12, 3334.34, 15695.66
67.53, 0.80, 0.00, 81.54, 2335.61, 15695.66
68.85, 0.00, 0.00, 81.54, 2318.99, 15695.66
70.17, 0.80, 0.00, 81.54, 2318.13, 15695.66
71.49, 0.80, 0.00, 81.54, 2318.15, 15695.66
72.81, 1.60, 0.00, 81.54, 2319.12, 15695.66
74.12, 0.80, 0.00, 81.54, 2319.02, 15695.66
75.44, 0.00, 0.00, 81.54, 2319.73, 15695.66
76.77, 0.00, 0.00, 81.54, 2318.70, 15695.66
78.08, 1.70, 0.00, 81.54, 2319.15, 15695.66
79.40, 1.70, 0.00, 81.54, 2318.76, 15695.66
80.72, 0.80, 0.00, 81.54, 2319.98, 15695.66
82.04, 0.00, 0.00, 81.54, 2318.95, 15695.66
83.36, 0.80, 0.00, 81.54, 2318.80, 15695.66
84.68, 0.00, 0.00, 81.54, 2318.78, 15695.66
86.00, 0.00, 0.00, 81.54, 2317.70, 15695.66
87.32, 0.00, 10.00, 81.54, 2318.43, 15695.66
88.64, 0.00, 0.00, 81.66, 2318.41, 15695.66
89.96, 0.80, 0.00, 81.66, 2317.93, 15695.66
91.28, 0.80, 0.00, 81.66, 2318.12, 15695.66
92.60, 0.80, 0.00, 81.66, 2318.02, 15695.66
93.91, 0.00, 0.00, 81.79, 2318.25, 15695.66
95.23, 0.00, 0.00, 81.79, 2318.50, 15695.66
96.55, 0.00, 0.00, 81.79, 2318.98, 15695.66
97.87, 0.80, 0.00, 81.79, 2319.71, 15695.66
99.19, 0.80, 0.00, 81.79, 2319.24, 15695.66
100.51, 0.00, 0.00, 81.79, 2318.91, 15695.66
101.83, 0.00, 0.00, 81.79, 2319.39, 15695.66
103.15, 0.00, 0.00, 81.79, 2318.86, 15695.66
104.47, 0.80, 0.00, 81.79, 2318.89, 15695.66
105.79, 0.00, 0.00, 81.79, 2318.99, 15695.66
107.11, 0.00, 0.00, 81.79, 2319.23, 15695.66
108.43, 0.80, 0.00, 81.79, 2319.31, 15695.66
109.75, 0.00, 0.00, 81.79, 2319.52, 15695.66
111.07, 0.00, 0.00, 81.79, 2318.82, 15695.66
112.38, 0.80, 0.00, 81.79, 2319.07, 15695.66
113.70, 0.00, 0.00, 81.79, 2326.34, 15695.66
115.02, 0.80, 0.00, 81.79, 2320.39, 15695.66
116.34, 0.00, 0.00, 81.79, 2318.72, 15695.66
117.66, 0.00, 0.00, 81.79, 2318.53, 15695.66
118.98, 0.00, 0.00, 81.79, 2317.76, 15695.66
120.30, 0.80, 0.00, 81.79, 2318.16, 15695.66
121.62, 0.00, 0.00, 81.79, 2318.33, 15695.66
122.94, 0.00, 0.00, 81.79, 2318.07, 15695.66
124.26, 0.80, 0.00, 81.79, 2318.11, 15695.66
125.58, 0.00, 0.00, 81.79, 2318.10, 15695.66
126.90, 0.00, 0.00, 81.79, 2318.53, 15695.66
128.22, 4.20, 0.00, 81.79, 2296.48, 15695.66
