Time(s), System_CPU(%), Target_CPU(%), Target_Memory(MB), System_Memory_Used(MB), System_Memory_Total(MB)
0.26, 19.30, 0.00, 3.71, 1626.45, 15695.66
1.57, 0.00, 0.00, 67.34, 1660.57, 15695.66
2.89, 9.20, 0.00, 67.34, 1700.41, 15695.66
4.20, 0.00, 0.00, 67.34, 1723.21, 15695.66
5.52, 0.00, 0.00, 67.34, 1723.66, 15695.66
7.23, 1.70, 0.00, 191.87, 1775.89, 15695.66
8.95, 1.70, 0.00, 191.87, 1778.16, 15695.66
10.67, 0.80, 0.00, 191.87, 1764.64, 15695.66
12.38, 2.50, 0.00, 191.87, 1748.53, 15695.66
14.10, 0.80, 10.00, 191.87, 1741.07, 15695.66
15.82, 4.20, 20.00, 191.87, 1731.89, 15695.66
17.53, 1.70, 10.00, 191.99, 1722.27, 15695.66
19.25, 2.50, 10.00, 191.99, 1715.00, 15695.66
20.97, 6.60, 10.00, 192.12, 1712.59, 15695.66
22.68, 1.70, 0.00, 192.12, 1707.06, 15695.66
24.40, 1.70, 0.00, 192.12, 1700.26, 15695.66
26.12, 0.80, 10.00, 192.12, 1696.24, 15695.66
27.83, 1.70, 0.00, 192.12, 1693.07, 15695.66
29.55, 2.50, 0.00, 192.12, 1686.72, 15695.66
31.27, 1.70, 10.00, 192.12, 1687.27, 15695.66
32.99, 5.00, 0.00, 192.12, 1688.15, 15695.66
34.70, 1.70, 0.00, 192.12, 1687.53, 15695.66
36.42, 0.80, 10.00, 192.12, 1688.75, 15695.66
38.13, 4.20, 0.00, 192.12, 1686.32, 15695.66
39.85, 0.00, 10.00, 192.12, 1686.17, 15695.66
41.57, 0.80, 0.00, 192.12, 1687.10, 15695.66
43.28, 2.50, 0.00, 192.12, 1686.75, 15695.66
45.00, 2.50, 10.00, 192.12, 1686.66, 15695.66
46.72, 0.80, 10.00, 192.12, 1678.27, 15695.66
48.44, 0.80, 10.00, 192.12, 1674.48, 15695.66
50.15, 6.70, 0.00, 192.12, 1674.46, 15695.66
51.87, 1.70, 0.00, 192.12, 1674.82, 15695.66
53.58, 2.50, 0.00, 192.12, 1672.31, 15695.66
55.30, 4.20, 10.00, 192.12, 1672.30, 15695.66
57.02, 0.80, 10.00, 192.12, 1671.90, 15695.66
58.73, 1.70, 10.00, 192.12, 1673.08, 15695.66
60.45, 1.70, 0.00, 192.12, 1673.80, 15695.66
62.17, 1.70, 10.00, 192.12, 1673.73, 15695.66
63.88, 1.70, 0.00, 192.12, 1673.56, 15695.66
65.60, 2.50, 10.00, 192.12, 1673.29, 15695.66
67.32, 1.70, 10.00, 192.12, 1673.93, 15695.66
69.04, 0.80, 20.00, 192.12, 1674.50, 15695.66
70.75, 1.70, 0.00, 192.12, 1673.93, 15695.66
72.48, 4.10, 0.00, 192.12, 1674.46, 15695.66
74.19, 2.50, 10.00, 192.12, 1674.75, 15695.66
75.91, 1.70, 0.00, 192.12, 1674.86, 15695.66
77.63, 4.10, 10.00, 192.12, 1674.93, 15695.66
79.34, 0.80, 10.00, 192.12, 1675.32, 15695.66
81.06, 2.50, 10.00, 192.12, 1674.66, 15695.66
82.78, 1.70, 0.00, 192.12, 1674.16, 15695.66
84.49, 4.10, 0.00, 192.12, 1672.59, 15695.66
86.21, 0.80, 10.00, 192.24, 1672.08, 15695.66
87.93, 1.70, 10.00, 192.24, 1671.93, 15695.66
89.64, 5.90, 0.00, 192.24, 1672.84, 15695.66
91.36, 1.70, 0.00, 192.24, 1672.74, 15695.66
93.08, 1.70, 0.00, 192.24, 1673.23, 15695.66
94.80, 3.40, 10.00, 192.24, 1674.18, 15695.66
96.51, 1.70, 20.00, 192.24, 1674.91, 15695.66
98.23, 2.50, 10.00, 192.24, 1674.95, 15695.66
99.95, 1.70, 10.00, 192.24, 1675.22, 15695.66
101.66, 1.70, 10.00, 192.24, 1674.48, 15695.66
103.38, 1.70, 10.00, 192.24, 1673.70, 15695.66
105.10, 0.80, 10.00, 192.24, 1673.70, 15695.66
106.82, 5.00, 0.00, 192.24, 1674.05, 15695.66
108.53, 1.70, 10.00, 192.37, 1674.84, 15695.66
110.25, 1.70, 30.00, 192.37, 1674.74, 15695.66
111.97, 0.80, 10.00, 192.37, 1675.68, 15695.66
113.69, 1.70, 10.00, 192.37, 1676.00, 15695.66
115.40, 0.80, 10.00, 192.37, 1675.59, 15695.66
117.12, 6.70, 0.00, 192.37, 1675.27, 15695.66
118.84, 1.70, 0.00, 192.37, 1674.53, 15695.66
120.55, 1.70, 10.00, 192.37, 1672.29, 15695.66
122.27, 2.50, 0.00, 192.49, 1672.68, 15695.66
123.99, 10.00, 0.00, 192.49, 1661.37, 15695.66
