Time(s), CPU(%), Memory(MB)
0.15, 0.00, 3.42
1.38, 0.00, 66.86
2.60, 0.00, 66.86
3.81, 0.00, 66.86
5.03, 0.00, 66.86
7.90, 50.00, 569.14
10.73, 20.00, 570.28
13.55, 30.00, 570.41
16.38, 10.00, 570.66
19.20, 30.00, 570.78
22.04, 10.00, 570.78
24.86, 50.00, 570.91
27.68, 20.00, 571.03
30.51, 50.00, 571.03
33.33, 10.00, 571.16
36.17, 30.00, 571.16
38.99, 9.90, 571.28
41.82, 19.90, 571.53
44.65, 50.00, 571.66
47.47, 30.00, 571.91
50.29, 40.00, 571.91
53.13, 20.00, 571.91
55.95, 50.00, 572.03
58.80, 30.00, 572.03
61.63, 30.00, 572.03
64.46, 20.00, 572.28
67.28, 30.00, 572.28
70.11, 30.00, 572.28
72.93, 10.00, 572.66
75.76, 10.00, 572.78
78.59, 40.00, 572.91
81.41, 20.00, 573.16
84.24, 39.90, 573.28
87.06, 20.00, 573.28
89.89, 30.00, 573.41
92.71, 60.00, 573.41
95.54, 40.00, 573.66
98.37, 29.90, 573.66
101.20, 20.00, 573.66
104.03, 20.00, 573.78
106.86, 10.00, 573.78
109.68, 30.00, 573.91
112.51, 10.00, 574.03
115.33, 20.00, 574.16
118.15, 30.00, 574.16
120.98, 20.00, 574.53
123.80, 30.00, 574.53
126.63, 40.00, 574.78
129.46, 20.00, 574.78
132.29, 49.90, 574.78
135.12, 19.90, 574.91
137.94, 50.00, 575.28
140.76, 40.00, 575.53
143.58, 40.00, 575.66
146.42, 10.00, 575.66
149.24, 20.00, 575.66
152.07, 40.00, 575.66
154.89, 20.00, 575.66
157.72, 20.00, 575.66
160.55, 30.00, 576.03
163.38, 30.00, 576.03
166.21, 30.00, 576.03
169.04, 30.00, 576.28
171.86, 20.00, 576.28
174.69, 30.00, 576.53
177.51, 50.00, 576.66
180.34, 30.00, 575.07
183.16, 20.00, 570.95
185.99, 40.00, 570.29
188.81, 30.00, 569.49
191.65, 30.00, 569.74
194.47, 40.00, 569.74
197.29, 40.00, 569.74
200.12, 50.00, 569.74
202.95, 60.00, 569.74
205.77, 30.00, 569.74
208.60, 50.00, 569.99
211.42, 20.00, 569.99
214.25, 49.90, 569.99
217.07, 20.00, 570.24
219.90, 20.00, 570.24
222.75, 10.00, 570.49
225.57, 40.00, 570.49
228.40, 40.00, 570.62
231.22, 40.00, 570.62
234.05, 10.00, 570.74
236.89, 40.00, 570.74
239.72, 30.00, 570.74
242.54, 50.00, 570.74
245.37, 40.00, 570.74
248.20, 40.00, 570.99
251.02, 20.00, 571.37
253.84, 10.00, 571.37
256.67, 40.00, 571.49
259.49, 30.00, 571.74
262.31, 10.00, 571.74
265.14, 0.00, 571.87
267.97, 10.00, 571.99
270.81, 50.00, 571.99
273.63, 40.00, 572.24
276.47, 30.00, 572.24
279.29, 30.00, 572.37
282.11, 50.00, 572.37
284.95, 40.00, 572.49
287.78, 49.90, 572.74
290.62, 50.00, 572.74
293.45, 30.00, 572.74
296.27, 30.00, 572.74
299.10, 20.00, 572.87
301.95, 30.00, 572.87
304.78, 20.00, 573.12
307.61, 40.00, 573.12
310.44, 30.00, 573.12
313.27, 40.00, 573.12
316.10, 20.00, 573.24
318.93, 20.00, 573.24
321.76, 50.00, 573.62
324.59, 10.00, 573.62
327.41, 40.00, 573.87
330.24, 30.00, 573.99
333.07, 20.00, 573.99
335.90, 80.00, 573.99
338.73, 40.00, 573.99
341.55, 30.00, 574.12
344.38, 30.00, 574.24
347.20, 20.00, 574.62
350.03, 30.00, 574.62
352.86, 40.00, 574.62
355.69, 40.00, 574.62
358.51, 40.00, 574.62
361.34, 30.00, 574.74
364.17, 10.00, 574.74
366.99, 30.00, 574.74
369.81, 20.00, 575.24
372.64, 20.00, 575.24
375.47, 50.00, 575.37
378.29, 30.00, 575.49
381.12, 40.00, 575.49
383.95, 60.00, 575.49
386.78, 30.00, 575.87
389.61, 10.00, 575.87
392.43, 0.00, 576.12
395.26, 20.00, 576.12
398.09, 60.00, 576.12
400.91, 10.00, 576.12
403.74, 50.00, 576.37
406.58, 49.90, 576.49
409.41, 50.00, 576.49
412.25, 50.00, 576.49
415.09, 30.00, 576.74
417.93, 60.00, 576.87
420.77, 10.00, 576.87
423.59, 40.00, 576.87
426.42, 30.00, 576.87
429.26, 30.00, 576.11
432.08, 20.00, 571.27
434.91, 30.00, 570.51
437.73, 0.00, 570.51
440.56, 30.00, 569.98
443.39, 30.00, 569.98
446.22, 40.00, 569.98
449.05, 9.90, 569.98
451.88, 20.00, 570.11
454.71, 20.00, 570.23
457.56, 29.90, 570.23
460.38, 40.00, 570.23
463.21, 10.00, 570.23
466.03, 40.00, 570.48
468.86, 20.00, 570.48
471.69, 40.00, 570.48
474.53, 50.00, 570.48
477.36, 30.00, 570.48
480.18, 20.00, 570.61
483.00, 40.00, 570.61
485.83, 0.00, 570.61
488.66, 40.00, 570.61
491.49, 10.00, 570.61
494.31, 30.00, 570.61
497.14, 40.00, 570.73
499.97, 30.00, 571.23
502.80, 30.00, 571.23
505.63, 30.00, 571.23
508.46, 10.00, 571.48
511.30, 20.00, 571.48
514.12, 30.00, 571.48
516.95, 10.00, 571.48
519.78, 20.00, 571.73
522.61, 40.00, 571.73
525.43, 20.00, 571.86
528.27, 10.00, 571.98
531.10, 0.00, 572.11
533.92, 19.90, 572.11
536.75, 0.00, 572.23
539.59, 10.00, 572.23
542.43, 30.00, 572.36
545.26, 50.00, 572.36
548.09, 49.90, 572.36
550.92, 9.90, 572.36
553.75, 10.00, 572.48
556.58, 30.00, 572.61
559.42, 40.00, 572.86
562.26, 30.00, 572.86
565.09, 20.00, 572.86
567.92, 20.00, 573.11
570.75, 30.00, 573.11
573.58, 40.00, 573.23
576.41, 30.00, 573.73
579.24, 30.00, 573.73
582.06, 20.00, 573.98
584.89, 20.00, 574.23
587.71, 50.00, 574.23
590.53, 30.00, 574.36
593.36, 30.00, 574.73
596.18, 0.00, 574.73
599.02, 50.00, 574.73
601.85, 10.00, 574.86
604.68, 50.00, 574.98
607.51, 30.00, 574.98
610.34, 30.00, 574.98
613.17, 20.00, 575.23
615.99, 20.00, 575.36
618.81, 40.00, 575.48
621.64, 10.00, 575.48
624.47, 39.90, 575.61
627.32, 20.00, 575.61
630.15, 10.00, 575.61
632.98, 40.00, 575.73
635.83, 20.00, 575.86
638.66, 50.00, 575.86
641.48, 40.00, 575.98
644.30, 40.00, 575.98
647.14, 20.00, 575.98
649.96, 50.00, 576.11
652.78, 40.00, 576.11
655.63, 30.00, 576.11
658.45, 39.90, 576.11
661.28, 20.00, 576.11
664.11, 20.00, 576.36
666.95, 40.00, 576.36
669.77, 40.00, 576.36
672.62, 40.00, 576.48
675.45, 40.00, 576.61
678.28, 50.00, 576.61
681.11, 20.00, 576.73
683.94, 30.00, 576.86
686.77, 30.00, 576.98
689.60, 19.90, 576.98
692.42, 30.00, 577.11
695.25, 20.00, 577.23
698.09, 0.00, 577.36
700.91, 20.00, 577.36
703.75, 40.00, 577.36
706.58, 30.00, 577.36
709.42, 20.00, 577.36
712.26, 20.00, 577.48
715.08, 10.00, 577.48
717.91, 29.90, 577.48
720.74, 40.00, 577.61
723.56, 10.00, 577.61
726.39, 20.00, 577.73
729.22, 20.00, 577.73
732.05, 10.00, 577.86
734.88, 40.00, 577.86
737.70, 30.00, 577.98
740.53, 40.00, 578.11
743.35, 29.90, 578.23
746.21, 20.00, 578.23
749.05, 50.00, 578.23
751.88, 10.00, 578.73
754.71, 20.00, 578.86
757.54, 20.00, 578.86
760.36, 20.00, 578.86
763.19, 50.00, 578.86
766.03, 50.00, 578.86
768.86, 10.00, 579.11
771.70, 30.00, 579.11
774.53, 30.00, 579.11
777.36, 30.00, 579.48
780.18, 50.00, 579.48
783.03, 50.00, 579.61
785.86, 40.00, 579.98
788.69, 40.00, 580.11
791.52, 10.00, 580.11
794.35, 40.00, 580.23
797.17, 10.00, 580.23
800.00, 30.00, 580.36
802.83, 30.00, 580.48
805.65, 20.00, 580.61
808.48, 40.00, 580.98
811.30, 30.00, 580.98
814.13, 50.00, 580.98
816.95, 20.00, 580.98
819.79, 40.00, 580.98
822.62, 50.00, 580.98
825.45, 30.00, 581.11
828.27, 30.00, 581.11
831.11, 10.00, 581.23
833.95, 20.00, 581.48
836.77, 50.00, 581.48
839.60, 40.00, 581.73
842.43, 39.90, 581.73
845.27, 40.00, 581.73
848.10, 39.90, 581.73
850.93, 20.00, 581.86
853.76, 20.00, 581.98
856.58, 50.00, 582.11
859.43, 40.00, 582.11
862.26, 20.00, 582.11
865.10, 40.00, 582.11
867.93, 0.00, 582.36
870.76, 20.00, 582.48
873.58, 20.00, 582.73
876.41, 20.00, 582.98
879.25, 40.00, 583.11
882.08, 20.00, 583.36
884.91, 10.00, 583.36
887.75, 40.00, 583.48
890.58, 40.00, 583.48
893.42, 40.00, 583.61
896.25, 40.00, 583.61
899.07, 40.00, 583.61
901.90, 40.00, 583.61
904.73, 30.00, 583.73
907.56, 10.00, 583.86
910.39, 20.00, 583.86
