Time(s),Coverage(%),Number of running robots
1746887569.8,0.00, 2
1746887570.9,7.73, 2
1746887571.9,7.73, 2
1746887572.9,7.73, 2
1746887573.9,7.73, 2
1746887574.9,7.73, 2
1746887575.9,7.73, 2
1746887576.9,7.73, 2
1746887577.9,7.73, 2
1746887578.9,7.73, 2
1746887579.9,7.73, 2
1746887580.9,7.73, 2
1746887581.9,11.48, 2
1746887582.9,11.81, 2
1746887583.9,12.34, 2
1746887585.0,12.57, 2
1746887586.0,12.58, 2
1746887587.0,12.63, 2
1746887588.0,12.64, 2
1746887589.0,12.69, 2
1746887590.0,12.81, 2
1746887591.0,13.19, 2
1746887592.0,13.62, 2
1746887593.0,14.07, 2
1746887594.0,15.01, 2
1746887595.0,15.75, 2
1746887596.1,15.82, 2
1746887597.1,15.96, 2
1746887598.1,16.10, 2
1746887599.1,16.15, 2
1746887600.1,16.18, 2
1746887601.1,16.18, 2
1746887602.1,16.34, 2
1746887603.1,16.48, 2
1746887604.1,16.57, 2
1746887605.1,16.83, 2
1746887606.1,16.99, 2
1746887607.1,17.20, 2
1746887608.2,17.30, 2
1746887609.2,17.47, 2
1746887610.2,17.53, 2
1746887611.2,17.71, 2
1746887612.2,17.86, 2
1746887613.2,18.06, 2
1746887614.3,18.41, 2
1746887615.3,18.74, 2
1746887616.3,19.18, 2
1746887617.3,19.53, 2
1746887618.3,19.69, 2
1746887619.3,19.86, 2
1746887620.3,20.72, 2
1746887621.3,21.47, 2
1746887622.3,22.08, 2
1746887623.3,22.45, 2
1746887624.3,22.80, 2
1746887625.3,22.93, 2
1746887626.3,22.99, 2
1746887627.3,23.06, 2
1746887628.3,23.33, 2
1746887629.4,23.77, 2
1746887630.4,24.49, 2
1746887631.4,24.87, 2
1746887632.4,26.05, 2
1746887633.4,26.96, 2
1746887634.4,27.63, 2
1746887635.4,28.11, 2
1746887636.4,28.11, 2
1746887637.4,28.14, 2
1746887638.4,28.42, 2
1746887639.4,28.59, 2
1746887640.4,28.73, 2
1746887641.4,28.91, 2
1746887642.4,29.06, 2
1746887643.4,29.15, 2
1746887644.5,29.16, 2
1746887645.5,29.17, 2
1746887646.5,29.28, 2
1746887647.5,29.43, 2
1746887648.5,29.79, 2
1746887649.5,30.17, 2
1746887650.5,30.70, 2
1746887651.5,30.75, 2
1746887652.5,30.93, 2
1746887653.5,31.34, 2
1746887654.5,31.67, 2
1746887655.5,31.89, 2
1746887656.5,32.00, 2
1746887657.5,32.12, 2
1746887658.6,32.36, 2
1746887659.6,32.70, 2
1746887660.6,32.82, 2
1746887661.6,32.85, 2
1746887662.6,32.85, 2
1746887663.6,32.96, 2
1746887664.6,33.01, 2
1746887665.6,33.04, 2
1746887666.6,33.09, 2
1746887667.6,34.01, 2
1746887668.6,35.35, 2
1746887669.6,36.02, 2
1746887670.6,37.26, 2
1746887671.6,39.00, 2
1746887672.6,40.78, 2
1746887673.7,41.82, 2
1746887674.7,41.82, 2
1746887675.7,42.44, 2
1746887676.7,43.12, 2
1746887677.7,43.38, 2
1746887678.7,43.56, 2
1746887679.7,43.61, 2
1746887680.7,43.65, 2
1746887681.7,43.69, 2
1746887682.7,43.73, 2
1746887683.7,43.84, 2
1746887684.7,43.90, 2
1746887685.7,44.03, 2
1746887686.8,44.14, 2
1746887687.8,44.16, 2
1746887688.8,44.21, 2
