Time(s), System_CPU(%), Target_CPU(%), Target_Memory(MB), System_Memory_Used(MB), System_Memory_Total(MB)
0.22, 18.30, 0.00, 3.66, 1715.53, 15695.66
1.54, 0.00, 0.00, 67.35, 1778.45, 15695.66
2.85, 8.40, 0.00, 67.35, 1848.67, 15695.66
4.17, 0.00, 0.00, 67.35, 1848.48, 15695.66
5.48, 0.80, 0.00, 67.35, 1831.73, 15695.66
7.81, 3.30, 10.00, 379.67, 1962.72, 15695.66
10.13, 4.10, 10.00, 379.67, 2037.69, 15695.66
12.45, 1.70, 20.00, 379.67, 2012.28, 15695.66
14.77, 3.30, 40.00, 379.67, 1992.14, 15695.66
17.09, 3.30, 30.00, 379.67, 1976.38, 15695.66
19.42, 7.60, 20.00, 379.67, 1956.22, 15695.66
21.74, 3.30, 10.00, 379.67, 1947.41, 15695.66
24.06, 23.50, 20.00, 379.67, 1938.87, 15695.66
26.38, 3.40, 0.00, 379.80, 1929.43, 15695.66
28.71, 26.40, 20.00, 379.80, 1924.81, 15695.66
31.03, 3.30, 30.00, 379.80, 1923.80, 15695.66
33.35, 15.60, 10.00, 379.80, 1923.80, 15695.66
35.67, 2.50, 30.00, 379.80, 1924.75, 15695.66
37.99, 6.70, 20.00, 379.80, 1921.44, 15695.66
40.31, 2.50, 0.00, 379.80, 1922.43, 15695.66
42.63, 2.50, 20.00, 379.80, 1923.64, 15695.66
44.95, 3.30, 30.00, 379.80, 1919.84, 15695.66
47.27, 5.00, 20.00, 379.80, 1921.27, 15695.66
49.59, 11.00, 40.00, 379.80, 1920.15, 15695.66
51.91, 2.50, 30.00, 379.80, 1918.82, 15695.66
54.23, 21.70, 20.00, 379.80, 1914.64, 15695.66
56.55, 2.50, 30.00, 379.80, 1916.16, 15695.66
58.87, 24.20, 20.00, 379.80, 1916.16, 15695.66
61.20, 2.50, 10.00, 379.92, 1917.27, 15695.66
63.52, 22.00, 40.00, 379.92, 1919.21, 15695.66
65.84, 1.70, 10.00, 379.92, 1919.70, 15695.66
68.17, 13.60, 20.00, 379.92, 1925.09, 15695.66
70.49, 2.50, 10.00, 379.92, 1925.31, 15695.66
72.81, 10.00, 10.00, 379.92, 1921.66, 15695.66
75.13, 1.70, 10.00, 379.92, 1918.68, 15695.66
77.45, 2.50, 30.00, 379.92, 1920.10, 15695.66
79.77, 3.40, 10.00, 379.92, 1929.33, 15695.66
82.09, 2.50, 20.00, 379.92, 1930.05, 15695.66
84.42, 2.50, 40.00, 379.92, 1929.38, 15695.66
86.74, 3.30, 10.00, 379.92, 1929.62, 15695.66
89.06, 5.90, 10.00, 379.92, 1929.86, 15695.66
91.38, 1.70, 20.00, 379.92, 1927.19, 15695.66
93.70, 16.00, 10.00, 379.92, 1927.63, 15695.66
96.02, 2.50, 0.00, 379.92, 1928.38, 15695.66
98.35, 22.30, 0.00, 380.05, 1922.36, 15695.66
100.67, 2.50, 20.00, 380.05, 1923.57, 15695.66
103.00, 17.50, 30.00, 380.05, 1924.30, 15695.66
105.32, 2.50, 30.00, 380.05, 1924.48, 15695.66
107.65, 10.10, 20.00, 380.05, 1924.48, 15695.66
109.97, 3.30, 10.00, 380.05, 1924.86, 15695.66
112.30, 8.30, 0.00, 380.05, 1925.34, 15695.66
114.62, 3.40, 19.90, 380.05, 1926.55, 15695.66
116.94, 1.70, 10.00, 380.05, 1921.12, 15695.66
119.26, 10.80, 20.00, 380.05, 1922.58, 15695.66
121.58, 3.30, 20.00, 380.05, 1924.04, 15695.66
123.90, 20.80, 20.00, 380.17, 1924.78, 15695.66
