Time(s),Coverage(%),Number of running robots
1.0,7.78,2
2.0,7.78,2
3.0,7.78,2
4.0,7.78,2
5.0,7.78,2
6.0,7.78,2
7.0,7.78,2
8.0,7.78,2
9.0,7.78,2
10.0,10.51,2
11.0,11.71,2
12.0,11.71,2
13.0,11.94,2
14.0,12.03,2
15.0,12.03,2
16.0,12.03,2
17.0,12.21,2
18.0,12.46,2
19.0,12.53,2
20.0,12.57,2
21.0,12.58,2
22.0,12.59,2
23.0,12.65,2
24.0,12.78,2
25.0,12.88,2
26.0,13.03,2
27.0,13.12,2
28.0,13.22,2
29.0,13.22,2
30.0,13.22,2
31.0,13.33,2
32.0,13.35,2
33.0,13.76,2
34.0,15.07,2
35.0,16.24,2
36.0,17.41,2
37.0,18.14,2
38.0,18.77,2
39.0,20.08,2
40.0,21.88,2
41.0,22.39,2
42.0,22.57,2
43.0,22.76,2
44.0,22.76,2
45.0,22.82,2
46.0,23.03,2
47.0,23.15,2
48.0,23.25,2
49.0,23.19,2
50.0,23.20,2
51.0,23.24,2
52.0,23.29,2
53.0,23.31,2
54.0,23.42,2
55.0,23.49,2
56.0,23.59,2
57.0,23.90,2
58.0,24.27,2
59.0,24.49,2
60.0,24.82,2
61.0,25.14,2
62.0,25.36,2
63.0,25.66,2
64.0,26.06,2
65.0,26.41,2
66.0,27.35,2
67.0,27.62,2
68.0,27.75,2
69.0,28.42,2
70.0,28.69,2
71.0,28.90,2
72.0,28.90,2
73.0,28.97,2
74.0,28.99,2
75.0,29.13,2
76.0,29.18,2
77.0,29.59,2
78.0,30.33,2
79.0,30.45,2
80.0,30.61,2
81.0,30.85,2
82.0,31.17,2
83.0,31.64,2
84.0,31.85,2
85.0,31.90,2
86.0,32.20,2
87.0,32.73,2
88.0,33.52,2
89.0,34.36,2
90.0,34.44,2
91.0,34.71,2
92.0,35.16,2
93.0,35.63,2
94.0,36.24,2
95.0,36.65,2
96.0,37.00,2
97.0,37.00,2
98.0,37.09,2
99.0,37.58,2
100.0,38.43,2
101.0,39.06,2
102.0,39.58,2
103.0,39.85,2
104.0,39.96,2
105.0,40.27,2
106.0,40.41,2
107.0,40.61,2
108.0,41.07,2
109.0,41.48,2
110.0,42.20,2
111.0,43.06,2
112.0,43.70,2
113.0,43.77,2
114.0,44.07,2
115.0,44.12,2
116.0,44.13,2
117.0,44.13,2
118.0,44.16,2
119.0,44.19,2
120.0,45.26,2
