Time(s),Coverage(%),Number of running robots
1746893244.9,0.00, 13
1746893245.9,15.46, 13
1746893246.9,15.46, 13
1746893247.9,15.46, 13
1746893248.9,15.46, 13
1746893249.9,15.46, 13
1746893251.0,15.46, 13
1746893252.0,15.46, 13
1746893253.0,15.46, 13
1746893254.1,15.46, 13
1746893255.1,15.46, 13
1746893256.1,15.46, 13
1746893257.1,15.46, 13
1746893258.1,15.46, 13
1746893259.2,15.46, 13
1746893260.2,15.46, 13
1746893261.2,17.95, 13
1746893262.2,20.05, 13
1746893263.2,22.09, 13
1746893264.3,23.95, 13
1746893265.3,25.61, 13
1746893266.3,26.74, 13
1746893267.3,27.55, 13
1746893268.3,27.55, 13
1746893269.3,28.01, 13
1746893270.3,28.17, 13
1746893271.4,28.30, 13
1746893272.4,28.74, 13
1746893273.4,28.74, 13
1746893274.4,29.07, 13
1746893275.5,29.34, 13
1746893276.5,29.45, 13
1746893277.5,29.43, 13
1746893278.5,29.59, 13
1746893279.5,29.73, 13
1746893280.6,30.35, 13
1746893281.6,31.05, 13
1746893282.6,31.42, 13
1746893283.6,31.75, 13
1746893284.7,32.04, 13
1746893285.7,32.35, 13
1746893286.7,32.64, 13
1746893287.7,33.72, 13
1746893288.7,34.93, 13
1746893289.7,36.34, 13
1746893290.7,36.58, 13
1746893291.7,37.59, 13
1746893292.7,39.63, 13
1746893293.7,40.23, 13
1746893294.8,40.98, 13
1746893295.8,41.66, 13
1746893296.8,41.74, 13
1746893297.8,42.16, 13
1746893298.8,42.45, 13
1746893299.8,42.60, 13
1746893300.8,43.02, 13
1746893301.8,43.74, 13
1746893302.9,44.59, 13
1746893303.9,45.32, 13
1746893304.9,46.19, 13
1746893305.9,46.56, 13
1746893306.9,47.04, 13
1746893307.9,47.79, 13
1746893308.9,48.02, 13
1746893310.0,48.65, 13
1746893311.0,49.09, 13
1746893312.0,49.71, 13
1746893313.0,50.20, 13
1746893314.0,50.26, 13
1746893315.0,50.33, 13
1746893316.1,50.57, 13
1746893317.1,51.18, 13
1746893318.1,52.79, 13
1746893319.1,52.80, 13
1746893320.2,53.10, 13
1746893321.2,54.37, 13
1746893322.2,54.66, 13
1746893323.2,55.39, 13
1746893324.2,55.50, 13
1746893325.3,55.88, 13
1746893326.3,56.12, 13
1746893327.3,56.62, 13
1746893328.3,57.09, 13
1746893329.3,57.65, 13
1746893330.4,57.94, 13
1746893331.4,58.53, 13
1746893332.4,59.16, 13
1746893333.4,59.50, 13
1746893334.5,59.81, 13
1746893335.5,60.02, 13
1746893336.5,60.21, 13
1746893337.5,60.48, 13
1746893338.6,60.64, 13
1746893339.6,60.77, 13
1746893340.6,61.00, 13
1746893341.6,61.00, 13
1746893342.6,61.41, 13
1746893343.7,62.21, 13
1746893344.7,62.63, 13
1746893345.7,63.14, 13
1746893346.7,63.95, 13
1746893347.8,64.23, 13
1746893348.8,65.03, 13
1746893349.8,65.04, 13
1746893350.8,65.34, 13
1746893351.8,65.49, 13
1746893352.8,65.97, 13
1746893353.9,66.66, 13
1746893354.9,67.00, 13
1746893355.9,67.17, 13
1746893356.9,67.33, 13
1746893357.9,67.39, 13
1746893358.9,67.44, 13
1746893359.9,67.44, 13
1746893360.9,67.48, 13
1746893361.9,67.48, 13
1746893363.0,67.55, 13
1746893364.0,67.57, 13
