Time(s),Coverage(%),Number of running robots
1746882112.6,0.00, 13
1746882113.7,0.00, 13
1746882114.7,18.46, 13
1746882115.7,20.51, 13
1746882116.7,21.24, 13
1746882117.7,21.67, 13
1746882118.7,22.23, 13
1746882119.8,22.33, 13
1746882120.8,22.61, 13
1746882121.8,22.88, 13
1746882122.8,23.17, 13
1746882123.8,23.51, 13
1746882124.9,23.76, 13
1746882125.9,24.04, 13
1746882126.9,24.12, 13
1746882127.9,24.23, 13
1746882128.9,24.30, 13
1746882129.9,24.42, 13
1746882130.9,24.48, 13
1746882131.9,24.52, 13
1746882133.0,24.61, 13
1746882134.0,24.67, 13
1746882135.0,24.83, 13
1746882136.0,24.93, 13
1746882137.0,24.99, 13
1746882138.0,25.03, 13
1746882139.1,25.12, 13
1746882140.1,25.27, 13
1746882141.1,25.47, 13
1746882142.1,25.66, 13
1746882143.1,25.83, 13
1746882144.1,25.92, 13
1746882145.1,26.04, 13
1746882146.1,26.16, 13
1746882147.1,26.19, 13
1746882148.2,26.40, 13
1746882149.2,26.68, 13
1746882150.2,26.99, 13
1746882151.2,27.32, 13
1746882152.2,27.44, 13
1746882153.2,27.69, 13
1746882154.2,28.30, 13
1746882155.2,28.30, 13
1746882156.3,28.68, 13
1746882157.3,29.07, 13
1746882158.3,29.07, 13
1746882159.3,29.50, 13
1746882160.4,29.69, 13
1746882161.4,29.91, 13
1746882162.4,30.07, 13
1746882163.4,30.19, 13
1746882164.4,30.19, 13
1746882165.4,30.44, 13
1746882166.4,30.54, 13
1746882167.4,30.61, 13
1746882168.4,30.77, 13
1746882169.5,30.88, 13
1746882170.5,31.31, 13
1746882171.5,31.40, 13
1746882172.5,31.50, 13
1746882173.5,31.61, 13
1746882174.5,31.72, 13
1746882175.6,31.89, 13
1746882176.6,32.05, 13
1746882177.6,32.23, 13
1746882178.6,32.38, 13
1746882179.6,32.66, 13
1746882180.6,33.20, 13
1746882181.6,33.72, 13
1746882182.6,34.49, 13
1746882183.6,35.27, 13
1746882184.7,36.47, 13
1746882185.7,37.31, 13
1746882186.7,38.35, 13
1746882187.7,38.98, 13
1746882188.8,39.88, 13
1746882189.8,40.35, 13
1746882190.8,40.79, 13
1746882191.8,41.03, 13
1746882192.8,41.37, 13
1746882193.8,41.66, 13
1746882194.8,41.95, 13
1746882195.8,42.43, 13
1746882196.8,42.61, 13
1746882197.8,42.96, 13
1746882198.8,43.60, 13
1746882199.9,43.93, 13
1746882200.9,44.46, 13
1746882201.9,44.82, 13
1746882202.9,45.35, 13
1746882203.9,45.84, 13
1746882205.0,46.45, 13
1746882206.0,46.96, 13
1746882207.0,47.52, 13
1746882208.0,48.06, 13
1746882209.0,48.56, 13
1746882210.0,48.99, 13
1746882211.0,49.41, 13
1746882212.1,49.95, 13
1746882213.1,50.30, 13
1746882214.1,50.62, 13
1746882215.1,50.90, 13
1746882216.1,51.20, 13
1746882217.2,51.41, 13
1746882218.2,51.57, 13
1746882219.2,51.70, 13
1746882220.2,51.90, 13
1746882221.2,52.19, 13
1746882222.2,52.30, 13
1746882223.3,52.53, 13
1746882224.3,52.64, 13
1746882225.3,52.81, 13
1746882226.3,53.04, 13
1746882227.3,53.38, 13
1746882228.4,53.38, 13
