Time(s), System_CPU(%), Target_CPU(%), Target_Memory(MB), System_Memory_Used(MB), System_Memory_Total(MB)
0.23, 20.80, 0.00, 3.46, 1909.91, 15695.66
5.94, 100.00, 369.50, 1906.50, 2533.18, 15695.66
11.48, 17.50, 179.80, 2088.67, 3494.83, 15695.66
17.04, 25.40, 229.60, 2100.84, 3343.70, 15695.66
22.61, 29.70, 130.00, 2129.96, 3567.85, 15695.66
28.16, 16.20, 169.70, 2130.84, 3532.33, 15695.66
33.71, 12.70, 179.90, 2131.21, 3358.84, 15695.66
39.25, 19.80, 119.90, 2131.71, 3340.15, 15695.66
44.80, 21.30, 170.00, 2132.21, 3330.77, 15695.66
50.35, 28.10, 120.00, 2132.96, 3390.61, 15695.66
55.91, 29.40, 119.90, 2133.71, 3377.83, 15695.66
61.46, 25.40, 149.50, 2134.59, 3384.39, 15695.66
65.91, 18.90, 158.30, 1453.35, 3384.81, 15695.66
67.23, 0.00, 0.00, 82.08, 2315.32, 15695.66
68.54, 1.70, 0.00, 82.08, 2318.30, 15695.66
69.86, 1.60, 0.00, 82.08, 2319.00, 15695.66
71.18, 0.80, 0.00, 82.08, 2318.18, 15695.66
72.50, 0.00, 10.00, 82.08, 2318.16, 15695.66
73.82, 0.80, 0.00, 82.08, 2317.18, 15695.66
75.14, 0.00, 0.00, 82.08, 2316.98, 15695.66
76.46, 0.00, 0.00, 82.08, 2316.29, 15695.66
77.78, 0.00, 10.00, 82.08, 2316.25, 15695.66
79.10, 0.00, 0.00, 82.08, 2311.16, 15695.66
80.42, 0.00, 0.00, 82.08, 2310.63, 15695.66
81.74, 1.70, 10.00, 82.08, 2311.07, 15695.66
83.06, 0.80, 0.00, 82.08, 2316.79, 15695.66
84.38, 0.00, 0.00, 82.08, 2317.19, 15695.66
85.70, 0.00, 0.00, 82.08, 2317.18, 15695.66
87.02, 0.00, 0.00, 82.08, 2317.30, 15695.66
88.34, 0.00, 0.00, 82.08, 2316.45, 15695.66
89.66, 0.00, 0.00, 82.08, 2316.53, 15695.66
90.98, 0.80, 0.00, 82.08, 2316.25, 15695.66
92.30, 0.00, 10.00, 82.08, 2316.48, 15695.66
93.62, 0.80, 0.00, 82.08, 2316.50, 15695.66
94.93, 0.00, 0.00, 82.08, 2316.65, 15695.66
96.25, 0.80, 0.00, 82.08, 2316.86, 15695.66
97.57, 0.00, 0.00, 82.08, 2314.59, 15695.66
98.89, 0.00, 0.00, 82.08, 2314.58, 15695.66
100.21, 0.80, 0.00, 82.08, 2314.36, 15695.66
101.53, 0.00, 0.00, 82.08, 2314.80, 15695.66
102.85, 0.80, 0.00, 82.08, 2314.46, 15695.66
104.17, 0.80, 0.00, 82.08, 2315.08, 15695.66
105.49, 0.00, 0.00, 82.08, 2315.26, 15695.66
106.81, 0.00, 0.00, 82.08, 2310.75, 15695.66
108.13, 0.80, 0.00, 82.08, 2311.20, 15695.66
109.45, 0.80, 0.00, 82.08, 2311.38, 15695.66
110.77, 0.00, 0.00, 82.08, 2310.87, 15695.66
112.09, 0.80, 10.00, 82.08, 2311.07, 15695.66
113.41, 1.60, 10.00, 82.08, 2311.93, 15695.66
114.73, 0.80, 0.00, 82.08, 2311.17, 15695.66
116.05, 0.80, 0.00, 82.08, 2311.07, 15695.66
117.36, 0.80, 0.00, 82.08, 2311.29, 15695.66
118.68, 0.00, 0.00, 82.08, 2311.69, 15695.66
120.00, 0.80, 0.00, 82.08, 2311.99, 15695.66
121.32, 0.80, 0.00, 82.08, 2312.15, 15695.66
122.64, 0.80, 0.00, 82.08, 2311.36, 15695.66
123.96, 0.80, 0.00, 82.08, 2311.64, 15695.66
125.28, 0.80, 0.00, 82.08, 2311.87, 15695.66
126.60, 1.60, 0.00, 82.08, 2311.60, 15695.66
127.92, 0.80, 0.00, 82.08, 2312.29, 15695.66
129.24, 3.30, 0.00, 82.08, 2313.52, 15695.66
