Time(s),Coverage(%),Number of running robots
1747739058.0,71.19,5
1747739059.0,71.28,5
1747739060.0,71.31,5
1747739061.0,71.60,5
1747739062.0,72.11,5
1747739063.0,72.58,5
1747739064.0,72.85,5
1747739065.0,72.87,5
1747739066.0,72.88,5
1747739067.0,72.94,5
1747739068.0,72.97,5
1747739069.0,73.04,5
1747739070.0,73.10,5
1747739071.1,73.11,5
1747739072.1,73.16,5
1747739073.1,73.18,5
1747739074.1,73.18,5
1747739075.1,73.19,5
1747739076.1,73.21,5
1747739077.1,73.33,5
1747739078.1,73.70,5
1747739079.1,73.82,5
1747739080.1,73.83,5
1747739081.1,73.85,5
1747739082.1,73.86,5
1747739083.1,73.93,5
1747739084.1,74.20,5
1747739085.1,74.96,5
1747739086.2,76.20,5
1747739087.2,77.20,5
1747739088.2,77.20,5
1747739089.2,77.28,5
1747739090.2,77.30,5
1747739091.2,77.31,5
1747739092.2,77.31,5
1747739093.2,77.31,5
1747739094.2,77.34,5
1747739095.2,77.40,5
1747739096.2,77.41,5
1747739097.2,77.42,5
1747739098.2,77.42,5
1747739099.2,77.42,5
1747739100.2,77.42,5
1747739101.3,77.43,5
1747739102.3,77.43,5
1747739103.3,77.44,5
1747739104.3,77.44,5
1747739105.3,77.45,5
1747739106.3,77.48,5
1747739107.3,77.61,5
1747739108.3,77.66,5
1747739109.3,77.67,5
1747739110.3,77.68,5
1747739111.3,77.68,5
1747739112.4,77.69,5
1747739113.4,77.69,5
1747739114.4,77.69,5
1747739115.4,77.69,5
1747739116.4,77.70,5
1747739117.4,77.70,5
1747739118.4,77.70,5
1747739119.4,77.70,5
1747739120.4,77.71,5
1747739121.4,77.75,5
1747739122.5,77.94,5
1747739123.5,78.00,5
1747739124.5,78.01,5
1747739125.5,78.01,5
1747739126.5,78.01,5
1747739127.5,78.03,5
1747739128.5,78.03,5
1747739129.5,78.04,5
1747739130.5,78.04,5
1747739131.6,78.17,5
1747739132.6,78.31,5
1747739133.6,78.34,5
1747739134.6,78.34,5
1747739135.6,78.34,5
1747739136.6,78.40,5
1747739137.6,78.40,5
1747739138.6,78.41,5
1747739139.6,78.41,5
1747739140.7,78.42,5
1747739141.7,78.48,5
1747739142.7,78.50,5
1747739143.7,78.65,5
1747739144.7,78.71,5
1747739145.7,78.84,5
1747739146.7,78.93,5
1747739147.7,79.03,5
1747739148.7,79.12,5
1747739149.7,79.16,5
1747739150.7,81.04,5
1747739151.7,82.01,5
1747739152.8,82.14,5
1747739153.8,82.28,5
1747739154.8,82.29,5
1747739155.8,82.29,5
1747739156.8,82.44,5
1747739157.8,82.82,5
1747739158.8,83.06,5
1747739159.8,83.29,5
1747739160.8,83.82,5
1747739161.8,84.15,5
1747739162.8,84.40,5
1747739163.9,84.43,5
1747739164.9,84.50,5
1747739165.9,84.61,5
1747739166.9,85.30,5
1747739167.9,85.62,5
1747739168.9,85.83,5
1747739169.9,85.98,5
1747739170.9,86.25,5
1747739171.9,86.64,5
1747739172.9,87.15,5
1747739174.0,87.23,5
1747739175.0,87.44,5
1747739176.0,87.56,5
1747739177.0,87.59,5
1747739178.0,87.68,5
1747739179.0,87.74,5
1747739180.0,87.79,5
1747739181.0,87.82,5
1747739182.0,87.91,5
1747739183.0,87.97,5
1747739184.1,87.98,5
1747739185.1,88.03,5
1747739186.1,88.06,5
1747739187.1,88.07,5
1747739188.1,88.09,5
1747739189.1,88.13,5
1747739190.1,88.25,5
1747739191.1,88.44,5
1747739192.1,88.47,5
1747739193.1,88.50,5
1747739194.1,88.50,5
1747739195.1,88.52,5
1747739196.1,88.55,5
1747739197.1,88.57,5
1747739198.1,88.65,5
1747739199.2,88.73,5
1747739200.2,89.04,5
1747739201.2,89.27,5
1747739202.2,89.27,5
1747739203.2,89.27,5
1747739204.2,89.56,5
1747739205.2,89.74,5
1747739206.2,89.78,5
1747739207.2,89.79,5
1747739208.2,89.83,5
1747739209.2,89.89,5
1747739210.2,89.92,5
1747739211.3,89.93,5
1747739212.3,90.02,5
1747739213.3,90.05,5
1747739214.3,90.08,5
1747739215.3,90.14,5
1747739216.3,90.20,5
1747739217.3,90.26,5
1747739218.3,90.32,5
1747739219.3,90.48,5
1747739220.4,90.65,5
1747739221.4,90.77,5
1747739222.4,91.01,5
1747739223.4,91.01,5
1747739224.4,91.15,5
1747739225.4,91.16,5
1747739226.5,91.16,5
1747739227.5,91.16,5
1747739228.5,90.78,5
1747739229.5,90.78,5
1747739230.5,90.78,5
1747739231.5,90.78,5
1747739232.5,90.79,5
1747739233.5,90.79,5
1747739234.5,90.79,5
1747739235.5,90.79,5
1747739236.5,90.79,5
1747739237.5,90.79,5
1747739238.5,90.79,5
1747739239.6,90.79,5
1747739240.6,90.82,5
1747739241.6,91.49,5
1747739242.6,92.70,5
1747739243.6,92.70,5
1747739244.6,92.85,5
1747739245.6,92.88,5
1747739246.6,92.88,5
1747739247.6,92.89,5
1747739248.6,92.90,5
1747739249.6,92.90,5
1747739250.6,92.92,5
1747739251.6,92.95,5
1747739252.6,92.97,5
1747739253.6,92.99,5
1747739254.7,93.03,5
1747739255.7,93.07,5
1747739256.7,93.14,5
1747739257.7,93.22,5
1747739258.7,93.27,5
1747739259.7,93.31,5
1747739260.7,93.33,5
1747739261.7,93.38,5
1747739262.7,93.49,5
1747739263.7,93.56,5
1747739264.7,93.56,5
1747739265.7,93.56,5
1747739266.7,93.62,5
1747739267.8,93.71,5
1747739268.8,93.86,5
1747739269.8,94.09,5
1747739270.8,94.09,5
1747739271.8,94.20,5
1747739272.8,94.47,5
1747739273.8,96.10,5
1747739274.8,96.10,5
1747739275.9,96.10,5
1747739276.9,96.48,5
1747739277.9,96.86,5
