Time(s), CPU(%), Memory(MB)
0.12, 0.00, 3.41
2.38, 40.00, 862.18
4.62, 50.00, 862.30
6.85, 68.70, 888.43
9.08, 30.00, 889.18
11.31, 40.00, 889.43
13.59, 108.50, 942.44
15.82, 40.00, 961.34
18.05, 50.00, 962.09
20.28, 30.00, 962.59
22.51, 20.00, 962.72
24.74, 30.00, 962.84
26.98, 30.00, 963.09
29.21, 20.00, 963.34
31.45, 40.00, 963.47
33.69, 10.00, 963.59
35.92, 10.00, 963.72
38.15, 50.00, 963.84
40.39, 10.00, 964.34
42.62, 20.00, 964.97
44.85, 20.00, 965.09
47.08, 20.00, 965.22
49.32, 39.90, 965.22
51.58, 50.00, 965.59
53.80, 50.00, 965.97
56.04, 30.00, 966.09
58.27, 20.00, 966.47
60.51, 30.00, 966.72
62.74, 20.00, 967.09
64.97, 40.00, 967.34
67.20, 40.00, 967.72
69.43, 40.00, 968.22
71.67, 50.00, 968.84
73.90, 30.00, 969.22
76.13, 40.00, 966.16
78.36, 30.00, 965.68
80.59, 30.00, 966.05
82.82, 40.00, 966.05
85.05, 0.00, 966.18
87.29, 40.00, 966.30
89.52, 20.00, 966.55
91.75, 40.00, 966.55
93.98, 30.00, 966.80
96.21, 40.00, 967.43
98.45, 9.90, 967.93
100.68, 50.00, 968.30
102.91, 20.00, 968.43
105.14, 10.00, 968.55
107.40, 50.00, 969.30
109.63, 30.00, 969.68
111.86, 10.00, 970.18
114.10, 50.00, 970.43
116.35, 40.00, 970.43
118.60, 10.00, 970.68
120.84, 40.00, 970.93
123.07, 10.00, 971.18
125.30, 40.00, 971.55
127.53, 30.00, 971.80
129.77, 50.00, 971.93
132.01, 29.80, 972.18
134.25, 30.00, 972.80
136.49, 40.00, 972.93
138.72, 20.00, 973.68
140.95, 40.00, 973.68
143.19, 30.00, 973.80
145.43, 30.00, 974.18
147.66, 20.00, 974.55
149.90, 20.00, 974.80
152.15, 50.00, 975.18
154.39, 40.00, 975.55
156.62, 30.00, 976.05
158.85, 40.00, 976.55
161.09, 40.00, 976.93
163.32, 30.00, 977.18
165.55, 50.00, 977.18
167.79, 30.00, 977.18
170.02, 30.00, 977.43
172.25, 20.00, 977.55
174.50, 60.00, 977.55
176.76, 40.00, 977.55
179.00, 30.00, 977.80
181.24, 19.90, 977.80
183.48, 30.00, 977.93
185.71, 10.00, 978.05
187.95, 39.90, 978.05
190.19, 30.00, 978.05
192.43, 10.00, 976.54
194.67, 40.00, 976.79
196.92, 0.00, 976.92
199.15, 20.00, 977.17
201.41, 39.90, 977.29
203.64, 10.00, 977.29
205.88, 30.00, 977.29
208.13, 20.00, 977.42
210.37, 50.00, 977.42
212.62, 20.00, 977.67
214.86, 10.00, 977.79
217.09, 49.90, 977.79
219.33, 30.00, 977.92
221.57, 10.00, 978.04
223.80, 30.00, 978.04
226.03, 20.00, 978.04
228.28, 50.00, 978.42
230.51, 30.00, 978.67
232.75, 50.00, 978.79
234.98, 39.80, 979.04
237.22, 40.00, 979.42
239.46, 30.00, 979.42
241.70, 0.00, 979.54
243.94, 10.00, 979.79
246.18, 10.00, 979.92
248.41, 20.00, 980.04
250.64, 30.00, 980.17
252.89, 30.00, 980.67
255.13, 20.00, 980.67
257.39, 40.00, 980.67
259.62, 20.00, 980.67
261.85, 60.00, 980.67
264.11, 40.00, 980.92
266.35, 40.00, 981.04
268.58, 30.00, 981.29
270.81, 30.00, 981.42
273.05, 40.00, 981.54
275.28, 30.00, 981.67
277.53, 20.00, 981.67
279.79, 10.00, 981.67
282.02, 40.00, 981.67
284.26, 10.00, 981.67
286.51, 30.00, 981.67
288.78, 10.00, 981.79
291.02, 10.00, 981.92
293.27, 30.00, 982.42
295.50, 30.00, 982.42
297.74, 29.90, 982.67
299.98, 30.00, 983.04
302.22, 50.00, 983.17
304.46, 30.00, 983.29
306.71, 20.00, 983.54
308.95, 20.00, 983.67
311.20, 20.00, 983.79
313.44, 20.00, 983.92
315.68, 39.90, 983.92
317.95, 40.00, 983.92
320.20, 30.00, 983.92
322.45, 40.00, 983.92
324.69, 30.00, 984.04
326.94, 40.00, 984.04
329.19, 40.00, 984.04
331.42, 40.00, 984.04
333.68, 30.00, 984.04
335.93, 40.00, 984.04
338.17, 30.00, 984.04
340.43, 50.00, 984.04
342.66, 0.00, 984.04
344.91, 20.00, 984.04
347.16, 30.00, 984.04
349.42, 0.00, 984.29
351.66, 10.00, 984.29
353.90, 40.00, 984.29
356.14, 50.00, 984.42
