Time(s), System_CPU(%), Target_CPU(%), Target_Memory(MB), System_Memory_Used(MB), System_Memory_Total(MB)
0.22, 16.80, 0.00, 3.56, 1715.08, 15695.66
1.53, 0.00, 0.00, 67.07, 1779.16, 15695.66
2.85, 8.40, 0.00, 67.07, 1817.15, 15695.66
4.17, 0.00, 0.00, 67.07, 1851.83, 15695.66
5.48, 0.00, 0.00, 67.07, 1840.39, 15695.66
7.40, 1.70, 0.00, 253.54, 1876.02, 15695.66
9.32, 1.70, 0.00, 253.54, 1873.18, 15695.66
11.23, 1.70, 0.00, 253.54, 1868.30, 15695.66
13.15, 2.50, 0.00, 253.54, 1849.54, 15695.66
15.07, 5.10, 10.00, 253.54, 1824.73, 15695.66
16.99, 2.50, 20.00, 253.54, 1814.16, 15695.66
18.91, 2.50, 10.00, 253.54, 1803.21, 15695.66
20.82, 2.50, 10.00, 253.54, 1792.33, 15695.66
22.74, 1.70, 0.00, 253.54, 1783.97, 15695.66
24.66, 1.70, 20.00, 253.66, 1774.86, 15695.66
26.58, 8.40, 20.00, 253.66, 1774.96, 15695.66
28.50, 0.80, 10.00, 253.79, 1775.00, 15695.66
30.41, 0.80, 20.00, 253.79, 1774.88, 15695.66
32.33, 2.50, 20.00, 253.79, 1775.61, 15695.66
34.25, 0.80, 10.00, 253.79, 1772.79, 15695.66
36.17, 1.70, 20.00, 253.79, 1773.25, 15695.66
38.09, 1.70, 10.00, 253.79, 1774.16, 15695.66
40.01, 3.40, 10.00, 253.91, 1772.48, 15695.66
41.92, 2.50, 20.00, 253.91, 1773.21, 15695.66
43.84, 3.30, 0.00, 253.91, 1773.39, 15695.66
45.76, 5.00, 0.00, 253.91, 1772.36, 15695.66
47.68, 0.80, 0.00, 253.91, 1769.40, 15695.66
49.60, 2.50, 0.00, 253.91, 1769.17, 15695.66
51.52, 9.20, 0.00, 253.91, 1770.14, 15695.66
53.43, 1.70, 20.00, 253.91, 1770.62, 15695.66
55.35, 1.70, 10.00, 253.91, 1770.55, 15695.66
57.27, 10.90, 0.00, 253.91, 1771.35, 15695.66
59.19, 2.50, 0.00, 253.91, 1771.84, 15695.66
61.11, 1.70, 30.00, 253.91, 1772.80, 15695.66
63.03, 1.70, 10.00, 253.91, 1773.29, 15695.66
64.95, 2.50, 10.00, 253.91, 1773.54, 15695.66
66.87, 3.30, 20.00, 253.91, 1774.26, 15695.66
68.79, 2.50, 0.00, 253.91, 1774.98, 15695.66
70.71, 4.20, 20.00, 253.91, 1770.94, 15695.66
72.63, 2.50, 0.00, 253.91, 1766.20, 15695.66
74.55, 0.80, 10.00, 253.91, 1764.82, 15695.66
76.46, 11.80, 20.00, 253.91, 1764.95, 15695.66
78.38, 0.80, 0.00, 254.04, 1767.94, 15695.66
80.30, 2.50, 0.00, 254.04, 1767.78, 15695.66
82.23, 9.20, 10.00, 254.04, 1770.71, 15695.66
84.15, 1.70, 0.00, 254.04, 1768.30, 15695.66
86.06, 2.50, 10.00, 254.04, 1767.65, 15695.66
87.98, 5.00, 29.90, 254.04, 1768.13, 15695.66
89.90, 0.80, 10.00, 254.04, 1768.64, 15695.66
91.82, 2.50, 0.00, 254.04, 1762.68, 15695.66
93.73, 2.50, 20.00, 254.04, 1763.89, 15695.66
95.66, 5.70, 20.00, 254.04, 1763.83, 15695.66
97.58, 2.50, 10.00, 254.04, 1764.31, 15695.66
99.49, 1.70, 20.00, 254.04, 1764.73, 15695.66
101.42, 10.20, 20.00, 254.04, 1765.28, 15695.66
103.34, 1.70, 0.00, 254.16, 1766.01, 15695.66
105.25, 1.70, 10.00, 254.16, 1766.98, 15695.66
107.17, 10.30, 10.00, 254.29, 1767.70, 15695.66
109.09, 1.70, 20.00, 254.29, 1768.66, 15695.66
111.01, 1.70, 10.00, 254.29, 1768.98, 15695.66
112.93, 12.40, 10.00, 254.29, 1769.22, 15695.66
114.84, 4.10, 10.00, 254.29, 1769.71, 15695.66
116.76, 1.70, 10.00, 254.29, 1769.95, 15695.66
118.68, 4.20, 10.00, 254.29, 1770.24, 15695.66
120.60, 2.50, 20.00, 254.29, 1770.73, 15695.66
122.52, 2.50, 0.00, 254.29, 1771.15, 15695.66
124.43, 1.70, 20.00, 254.29, 1752.11, 15695.66
