SwarmSize,MeanCPU,MedianCPU,StdDevCPU,MinCPU,MaxCPU,CountCPU,MeanMemory,MedianMemory,StdDevMemory,MinMemory,MaxMemory,CountMemory
1,5.159490740740741,0.0,11.69878328272691,0.0,109.8,864,156.22403935185187,171.16,35.443098189384365,3.46,172.36,864
2,9.120372836218374,10.0,8.14343602707346,0.0,40.0,751,267.1522103861518,273.41,32.08366694433299,3.46,275.14,751
3,17.641764705882355,19.9,20.95875269506442,0.0,189.8,680,372.62649999999996,382.25,47.35132657732359,3.36,385.95,680
5,24.849824561403512,20.0,27.302740206364565,0.0,229.5,570,570.7438070175438,608.56,93.01995148597962,3.46,618.52,570
8,46.252222222222215,49.9,27.94815608220088,0.0,179.6,450,934.331688888889,985.51,154.19341871757783,3.43,1002.1,450
13,88.58029850746269,98.7,74.65183925656822,0.0,403.3,335,1556.934985074627,1672.66,297.3947043108941,3.32,1711.48,335
21,34.74151565074135,0.0,75.84754536611769,0.0,457.2,607,469.24691927512356,81.84,789.458508669251,3.36,2139.38,607
