SwarmSize,MeanCPU,MedianCPU,StdDevCPU,MinCPU,MaxCPU,CountCPU,MeanMemory,MedianMemory,StdDevMemory,MinMemory,MaxMemory,CountMemory
1,2.978648974668275,0.0,4.751597037961042,0.0,19.9,829,124.99804583835949,129.51,18.925142945450617,3.46,129.95,829
2,5.912584573748308,0.0,6.72659707466992,0.0,30.0,739,182.53334235453312,191.66,35.104722042307074,3.48,192.76,739
3,9.12178517397882,10.0,8.510583096930814,0.0,30.0,661,239.14343419062027,254.29,53.31230890084833,3.31,254.88,661
5,14.541681574239712,10.0,11.159417180372001,0.0,59.9,559,350.84375670840785,379.83,93.2146264417078,3.45,380.99,559
8,23.660666666666664,20.0,15.475288817983266,0.0,70.0,450,512.8781777777778,570.03,162.29692828410916,3.45,571.98,450
13,33.740114613180516,30.0,20.710347786335923,0.0,90.0,349,772.3265902578797,892.11,293.7089230763639,3.29,895.4,349
21,51.44769230769231,59.9,33.986841832560415,0.0,237.5,260,1153.816769230769,1416.315,536.5549252889866,3.41,1423.14,260
