Time(s), System_CPU(%), Target_CPU(%), Target_Memory(MB), System_Memory_Used(MB), System_Memory_Total(MB)
0.23, 25.80, 0.00, 3.41, 1978.70, 15695.66
4.23, 100.00, 217.50, 1260.95, 2368.31, 15695.66
8.15, 7.60, 70.00, 1280.82, 2756.95, 15695.66
12.08, 8.40, 100.00, 1308.60, 2843.31, 15695.66
16.15, 19.50, 328.90, 1441.36, 2769.69, 15695.66
20.14, 68.10, 138.60, 1647.76, 3735.01, 15695.66
24.11, 50.40, 119.90, 1668.57, 3889.72, 15695.66
28.08, 53.80, 99.80, 1671.70, 3966.26, 15695.66
32.08, 75.00, 79.80, 1673.70, 4027.99, 15695.66
36.12, 71.80, 119.40, 1676.07, 4024.78, 15695.66
40.11, 74.20, 89.70, 1677.20, 4043.10, 15695.66
44.12, 75.00, 69.10, 1677.95, 4048.62, 15695.66
48.12, 72.00, 119.70, 1679.07, 4057.40, 15695.66
52.12, 70.70, 100.00, 1681.07, 4067.74, 15695.66
56.13, 76.90, 69.10, 1683.57, 4080.35, 15695.66
60.15, 73.30, 79.60, 1685.73, 4084.49, 15695.66
64.17, 73.30, 119.30, 1687.74, 4094.39, 15695.66
68.17, 71.20, 68.90, 1689.12, 4103.58, 15695.66
72.19, 73.10, 59.80, 1690.37, 4109.91, 15695.66
76.22, 74.80, 119.20, 1691.37, 4114.55, 15695.66
80.22, 75.60, 99.30, 1692.24, 4116.13, 15695.66
84.26, 73.30, 79.10, 1688.69, 4114.30, 15695.66
88.17, 73.80, 49.90, 1562.09, 4106.89, 15695.66
91.90, 22.00, 10.00, 1562.09, 4037.69, 15695.66
95.64, 16.80, 10.00, 1562.09, 4019.91, 15695.66
99.37, 18.20, 10.00, 1562.09, 4024.26, 15695.66
103.10, 18.20, 0.00, 1562.09, 4027.77, 15695.66
106.84, 19.50, 10.00, 1562.09, 4030.66, 15695.66
110.58, 15.30, 0.00, 1562.09, 4033.30, 15695.66
114.32, 16.00, 10.00, 1562.09, 4035.73, 15695.66
118.07, 16.70, 0.00, 1562.09, 4037.20, 15695.66
121.82, 20.20, 0.00, 1562.09, 4041.83, 15695.66
125.55, 16.10, 0.00, 1562.09, 4044.19, 15695.66
129.30, 16.80, 10.00, 1562.09, 4045.89, 15695.66
