Time(s), CPU(%), Memory(MB)
0.12, 0.00, 3.57
1.34, 0.00, 66.91
2.56, 0.00, 66.91
3.78, 0.00, 67.04
5.00, 0.00, 67.04
7.33, 20.00, 379.38
9.56, 20.00, 380.00
11.78, 0.00, 380.00
14.01, 10.00, 380.12
16.24, 30.00, 380.25
18.47, 10.00, 380.25
20.70, 0.00, 380.25
22.92, 10.00, 380.25
25.14, 50.00, 380.38
27.36, 40.00, 380.38
29.59, 30.00, 380.38
31.82, 10.00, 380.50
34.04, 20.00, 380.50
36.28, 29.90, 380.50
38.50, 10.00, 380.50
40.73, 10.00, 380.62
42.96, 30.00, 380.62
45.18, 10.00, 380.62
47.41, 30.00, 380.75
49.64, 10.00, 380.88
51.86, 10.00, 380.88
54.08, 30.00, 380.88
56.31, 10.00, 381.00
58.53, 30.00, 381.00
60.75, 0.00, 381.00
62.97, 10.00, 381.00
65.20, 20.00, 381.25
67.43, 20.00, 381.25
69.66, 30.00, 381.25
71.90, 30.00, 381.38
74.12, 10.00, 381.50
76.34, 30.00, 381.50
78.57, 0.00, 381.50
80.79, 10.00, 381.50
83.01, 20.00, 381.50
85.24, 20.00, 381.50
87.46, 30.00, 381.50
89.68, 20.00, 381.62
91.91, 30.00, 381.62
94.13, 0.00, 381.75
96.36, 40.00, 382.00
98.59, 20.00, 382.00
100.81, 40.00, 382.12
103.04, 20.00, 382.12
105.26, 10.00, 382.12
107.48, 10.00, 382.25
109.72, 10.00, 382.25
111.94, 0.00, 382.25
114.16, 10.00, 382.25
116.38, 10.00, 382.25
118.60, 20.00, 382.25
120.83, 10.00, 382.25
123.05, 0.00, 382.25
125.27, 30.00, 382.25
127.49, 20.00, 382.25
129.72, 10.00, 382.25
131.94, 20.00, 382.25
134.16, 20.00, 382.25
136.38, 20.00, 382.25
138.61, 20.00, 382.50
140.83, 20.00, 382.50
143.06, 30.00, 382.50
145.28, 10.00, 382.50
147.50, 30.00, 382.50
149.72, 20.00, 382.62
151.94, 30.00, 382.75
154.16, 10.00, 382.75
156.39, 0.00, 382.75
158.63, 20.00, 382.75
160.86, 10.00, 382.75
163.08, 20.00, 382.75
165.31, 10.00, 382.75
167.53, 30.00, 382.88
