Time(s),Coverage(%),Number of running robots
1.0,19.06,21
2.0,19.06,21
3.0,19.06,21
4.0,19.06,21
5.0,19.06,21
6.0,19.06,21
7.0,19.06,21
8.0,19.06,21
9.0,19.06,21
10.0,19.06,21
11.0,19.06,21
12.0,19.06,21
13.0,19.06,21
14.0,19.06,21
15.0,19.06,21
16.0,19.06,21
17.0,19.06,21
18.0,19.06,21
19.0,19.06,21
20.0,19.06,21
21.0,19.06,21
22.0,19.06,21
23.0,19.06,21
24.0,19.06,21
25.0,19.06,21
26.0,19.06,21
27.0,19.06,21
28.0,19.06,21
29.0,19.06,21
30.0,19.06,21
31.0,19.06,21
32.0,19.06,21
33.0,19.06,21
34.0,19.06,21
35.0,19.06,21
36.0,19.06,21
37.0,19.06,21
38.0,19.06,21
39.0,19.06,21
40.0,19.06,21
41.0,19.06,21
42.0,19.06,21
43.0,19.06,21
44.0,19.06,21
45.0,19.06,21
46.0,19.06,21
47.0,19.06,21
48.0,19.06,21
49.0,19.06,21
50.0,19.06,21
51.0,19.06,21
52.0,19.06,21
53.0,19.06,21
54.0,19.06,21
55.0,19.06,21
56.0,19.06,21
57.0,19.06,21
58.0,19.06,0
59.0,19.06,0
60.0,19.06,0
61.0,19.06,0
62.0,19.06,0
63.0,19.06,0
64.0,19.06,0
65.0,19.06,0
66.0,19.06,0
67.0,19.06,0
68.0,19.06,0
69.0,19.06,0
70.0,19.06,0
71.0,19.06,0
72.0,19.06,0
73.0,19.06,0
74.0,19.06,0
75.0,19.06,0
76.0,19.06,0
77.0,19.06,0
78.0,19.06,0
79.0,19.06,0
80.0,19.06,0
81.0,19.06,0
82.0,19.06,0
83.0,19.06,0
84.0,19.06,0
85.0,19.06,0
86.0,19.06,0
87.0,19.06,0
88.0,19.06,0
89.0,19.06,0
90.0,19.06,0
91.0,19.06,0
92.0,19.06,0
93.0,19.06,0
94.0,19.06,0
95.0,19.06,0
96.0,19.06,0
97.0,19.06,0
98.0,19.06,0
99.0,19.06,0
100.0,19.06,0
101.0,19.06,0
102.0,19.06,0
103.0,19.06,0
104.0,19.06,0
105.0,19.06,0
106.0,19.06,0
107.0,19.06,0
108.0,19.06,0
109.0,19.06,0
110.0,19.06,0
111.0,19.06,0
112.0,19.06,0
113.0,19.06,0
114.0,19.06,0
115.0,19.06,0
116.0,19.06,0
117.0,19.06,0
118.0,19.06,0
119.0,19.06,0
120.0,19.06,0
