Time(s), System_CPU(%), Target_CPU(%), Target_Memory(MB), System_Memory_Used(MB), System_Memory_Total(MB)
0.24, 18.20, 0.00, 3.52, 1847.13, 15695.66
2.16, 19.50, 10.00, 320.46, 1965.13, 15695.66
4.08, 1.70, 20.00, 320.71, 2073.43, 15695.66
6.01, 10.00, 20.00, 321.71, 2071.64, 15695.66
7.93, 10.10, 19.90, 345.60, 2145.88, 15695.66
9.86, 2.50, 20.00, 345.60, 2157.34, 15695.66
11.78, 10.80, 189.60, 362.11, 2137.35, 15695.66
13.71, 4.20, 40.00, 375.96, 2205.84, 15695.66
15.65, 5.90, 39.90, 380.37, 2237.13, 15695.66
17.58, 8.40, 20.00, 380.50, 2231.24, 15695.66
19.50, 8.40, 30.00, 380.62, 2216.67, 15695.66
21.44, 6.80, 20.00, 380.62, 2209.04, 15695.66
23.36, 5.20, 0.00, 380.62, 2200.18, 15695.66
25.28, 9.30, 0.00, 380.75, 2186.12, 15695.66
27.20, 7.70, 40.00, 380.87, 2175.76, 15695.66
29.13, 8.60, 10.00, 380.87, 2174.81, 15695.66
31.06, 6.80, 10.00, 381.00, 2174.95, 15695.66
32.99, 5.20, 30.00, 381.12, 2166.79, 15695.66
34.92, 4.30, 0.00, 381.25, 2159.23, 15695.66
36.85, 6.00, 20.00, 381.37, 2160.02, 15695.66
38.77, 7.70, 0.00, 381.37, 2159.80, 15695.66
40.69, 6.80, 10.00, 381.37, 2160.86, 15695.66
42.61, 7.60, 10.00, 381.50, 2155.48, 15695.66
44.53, 7.60, 10.00, 381.62, 2156.18, 15695.66
46.45, 7.70, 20.00, 381.87, 2157.28, 15695.66
48.38, 12.00, 0.00, 382.00, 2148.52, 15695.66
50.31, 6.00, 10.00, 382.00, 2145.32, 15695.66
52.23, 8.60, 20.00, 382.25, 2159.78, 15695.66
54.15, 9.20, 10.00, 382.62, 2148.91, 15695.66
56.08, 11.70, 10.00, 382.62, 2148.59, 15695.66
58.01, 10.10, 20.00, 382.62, 2157.67, 15695.66
59.93, 5.90, 0.00, 382.75, 2150.69, 15695.66
61.85, 11.00, 20.00, 382.75, 2146.16, 15695.66
63.78, 11.00, 20.00, 382.75, 2144.54, 15695.66
65.70, 10.00, 20.00, 382.87, 2154.68, 15695.66
67.63, 10.00, 20.00, 383.00, 2163.48, 15695.66
69.55, 13.40, 10.00, 383.00, 2159.12, 15695.66
71.48, 8.40, 10.00, 383.00, 2161.04, 15695.66
73.40, 9.20, 0.00, 383.00, 2154.66, 15695.66
75.32, 9.20, 10.00, 383.12, 2160.82, 15695.66
77.25, 10.00, 20.00, 383.37, 2155.46, 15695.66
79.17, 7.60, 0.00, 383.87, 2161.86, 15695.66
81.09, 9.20, 10.00, 383.87, 2157.64, 15695.66
83.01, 10.90, 0.00, 383.87, 2159.10, 15695.66
84.93, 7.60, 0.00, 384.12, 2162.14, 15695.66
86.85, 7.70, 10.00, 382.11, 2163.81, 15695.66
88.78, 8.40, 10.00, 382.23, 2161.94, 15695.66
90.70, 6.70, 20.00, 382.61, 2161.52, 15695.66
92.62, 8.50, 0.00, 382.73, 2165.03, 15695.66
94.54, 10.10, 20.00, 382.73, 2165.30, 15695.66
96.46, 12.70, 10.00, 382.73, 2170.69, 15695.66
98.39, 9.30, 10.00, 382.73, 2161.07, 15695.66
100.31, 7.60, 10.00, 382.86, 2166.72, 15695.66
102.24, 11.90, 10.00, 383.11, 2169.85, 15695.66
104.16, 6.90, 10.00, 383.36, 2177.62, 15695.66
106.08, 7.60, 20.00, 383.61, 2170.49, 15695.66
108.00, 6.80, 10.00, 383.61, 2175.09, 15695.66
109.93, 10.20, 20.00, 383.86, 2172.67, 15695.66
111.86, 10.90, 10.00, 383.98, 2169.31, 15695.66
113.78, 7.60, 30.00, 384.23, 2173.40, 15695.66
115.72, 8.70, 0.00, 384.23, 2172.69, 15695.66
117.65, 8.40, 0.00, 384.36, 2169.73, 15695.66
119.58, 14.30, 20.00, 384.48, 2171.76, 15695.66
121.50, 12.70, 30.00, 384.48, 2172.98, 15695.66
123.43, 6.10, 20.00, 384.61, 2178.14, 15695.66
125.35, 6.80, 10.00, 384.61, 2180.67, 15695.66
127.27, 8.50, 30.00, 384.73, 2178.79, 15695.66
129.19, 15.30, 50.00, 384.86, 2158.01, 15695.66
