Time(s),Coverage(%),Number of running robots
1.0,14.29,8
2.0,14.29,8
3.0,14.29,8
4.0,14.29,8
5.0,14.29,8
6.0,14.29,8
7.0,14.29,8
8.0,14.29,8
9.0,14.29,8
10.0,14.29,8
11.0,16.98,8
12.0,18.00,8
13.0,19.83,8
14.0,21.14,8
15.0,22.19,8
16.0,23.95,8
17.0,25.16,8
18.0,25.38,8
19.0,26.02,8
20.0,26.84,8
21.0,27.84,8
22.0,28.23,8
23.0,28.32,8
24.0,28.44,8
25.0,29.01,8
26.0,29.34,8
27.0,29.62,8
28.0,29.84,8
29.0,30.14,8
30.0,30.56,8
31.0,31.57,8
32.0,32.52,8
33.0,33.58,8
34.0,35.15,8
35.0,37.63,8
36.0,39.95,8
37.0,41.25,8
38.0,42.23,8
39.0,43.06,8
40.0,44.22,8
41.0,45.09,8
42.0,46.06,8
43.0,46.84,8
44.0,47.48,8
45.0,47.89,8
46.0,48.32,8
47.0,49.02,8
48.0,49.66,8
49.0,50.18,8
50.0,51.10,8
51.0,51.96,8
52.0,52.30,8
53.0,52.78,8
54.0,53.79,8
55.0,54.97,8
56.0,55.92,8
57.0,56.54,8
58.0,56.76,8
59.0,57.25,8
60.0,58.26,8
61.0,58.61,8
62.0,59.32,8
63.0,60.41,8
64.0,62.57,8
65.0,64.45,8
66.0,65.13,8
67.0,65.27,8
68.0,65.39,8
69.0,65.98,8
70.0,66.54,8
71.0,66.72,8
72.0,66.81,8
73.0,66.94,8
74.0,67.35,8
75.0,67.77,8
76.0,68.20,8
77.0,68.69,8
78.0,68.82,8
79.0,69.66,8
80.0,69.92,8
81.0,70.91,8
82.0,71.50,8
83.0,71.67,8
84.0,71.71,8
85.0,71.73,8
86.0,71.73,8
87.0,71.75,8
88.0,71.77,8
89.0,71.78,8
90.0,71.79,8
91.0,71.87,8
92.0,72.10,8
93.0,72.89,8
94.0,73.57,8
95.0,73.64,8
96.0,73.70,7
97.0,73.70,7
98.0,73.70,7
99.0,73.70,7
100.0,73.70,7
101.0,73.70,7
102.0,73.70,7
103.0,73.70,7
104.0,73.70,7
105.0,73.70,7
106.0,73.70,7
107.0,73.70,7
108.0,73.70,7
109.0,73.70,7
110.0,73.70,7
111.0,73.70,7
112.0,73.70,7
113.0,73.70,7
114.0,73.70,7
115.0,73.70,7
116.0,73.70,7
117.0,73.70,7
118.0,73.70,7
119.0,73.70,7
120.0,73.70,7
