Time(s), System_CPU(%), Target_CPU(%), Target_Memory(MB), System_Memory_Used(MB), System_Memory_Total(MB)
0.25, 20.00, 0.00, 3.54, 1858.90, 15695.66
1.97, 0.80, 0.00, 228.90, 1989.82, 15695.66
3.69, 1.70, 10.00, 228.90, 2102.36, 15695.66
5.41, 1.70, 10.00, 228.90, 2093.52, 15695.66
7.12, 1.70, 20.00, 252.61, 2075.84, 15695.66
8.84, 1.70, 10.00, 253.23, 2067.04, 15695.66
10.56, 2.50, 0.00, 253.23, 2045.88, 15695.66
12.28, 5.00, 10.00, 265.52, 2063.89, 15695.66
14.00, 7.60, 10.00, 271.76, 2071.41, 15695.66
15.72, 5.00, 10.00, 272.14, 2036.82, 15695.66
17.44, 4.20, 0.00, 272.14, 2033.14, 15695.66
19.16, 5.10, 10.00, 272.14, 2019.85, 15695.66
20.88, 6.70, 10.00, 272.14, 2019.62, 15695.66
22.60, 7.50, 10.00, 272.14, 2013.51, 15695.66
24.33, 5.00, 0.00, 272.14, 2012.24, 15695.66
26.05, 7.40, 0.00, 272.14, 2007.29, 15695.66
27.77, 8.30, 20.00, 272.26, 2006.97, 15695.66
29.49, 5.90, 0.00, 272.26, 2008.51, 15695.66
31.22, 5.90, 0.00, 272.39, 1997.53, 15695.66
32.94, 9.20, 30.00, 272.64, 1995.85, 15695.66
34.66, 5.80, 10.00, 272.64, 1996.80, 15695.66
36.38, 6.70, 10.00, 272.76, 1996.80, 15695.66
38.10, 7.60, 10.00, 272.89, 1994.70, 15695.66
39.82, 9.10, 0.00, 273.01, 1999.91, 15695.66
41.54, 5.80, 0.00, 273.01, 2005.57, 15695.66
43.26, 6.60, 10.00, 273.01, 1998.67, 15695.66
44.99, 8.40, 10.00, 273.01, 1995.64, 15695.66
46.71, 6.60, 0.00, 273.01, 1995.74, 15695.66
48.44, 5.00, 20.00, 273.14, 1996.50, 15695.66
50.16, 7.60, 0.00, 273.26, 2001.14, 15695.66
51.88, 6.60, 0.00, 273.26, 1997.13, 15695.66
53.59, 5.80, 10.00, 273.26, 1999.07, 15695.66
55.31, 10.10, 0.00, 273.39, 1999.17, 15695.66
57.03, 7.60, 0.00, 273.51, 1992.71, 15695.66
58.76, 5.10, 0.00, 273.51, 1993.75, 15695.66
60.49, 4.20, 0.00, 273.64, 2002.38, 15695.66
62.21, 5.00, 10.00, 273.76, 1999.84, 15695.66
63.93, 11.60, 20.00, 273.76, 1988.50, 15695.66
65.65, 5.90, 0.00, 273.76, 1994.39, 15695.66
67.37, 5.90, 10.00, 273.89, 1994.59, 15695.66
69.09, 6.70, 10.00, 274.01, 1997.33, 15695.66
70.81, 5.80, 10.00, 274.01, 2002.89, 15695.66
72.53, 5.90, 0.00, 274.01, 2006.53, 15695.66
74.26, 10.10, 20.00, 274.01, 2002.50, 15695.66
75.98, 5.00, 10.00, 274.14, 1999.43, 15695.66
77.70, 6.60, 10.00, 274.14, 1996.18, 15695.66
79.42, 9.20, 0.00, 274.14, 1995.14, 15695.66
81.14, 7.60, 0.00, 274.14, 1994.44, 15695.66
82.86, 5.00, 30.00, 274.26, 1999.82, 15695.66
84.58, 6.60, 10.00, 274.26, 1997.02, 15695.66
86.30, 4.30, 0.00, 274.39, 1997.94, 15695.66
88.02, 5.80, 0.00, 274.51, 1997.80, 15695.66
89.75, 6.90, 20.00, 274.51, 2007.24, 15695.66
91.48, 9.10, 10.00, 274.51, 2011.20, 15695.66
93.20, 5.00, 20.00, 274.51, 2012.94, 15695.66
94.93, 6.70, 10.00, 274.76, 2010.95, 15695.66
96.65, 10.00, 10.00, 274.76, 2011.75, 15695.66
98.37, 6.70, 10.00, 273.18, 2007.50, 15695.66
100.10, 5.90, 10.00, 273.30, 2000.16, 15695.66
101.83, 9.20, 10.00, 273.43, 2014.64, 15695.66
103.55, 5.00, 20.00, 273.55, 2003.55, 15695.66
105.27, 6.60, 20.00, 273.55, 2005.20, 15695.66
106.99, 9.30, 0.00, 273.55, 2006.05, 15695.66
108.71, 6.70, 10.00, 273.80, 2007.46, 15695.66
110.43, 5.80, 0.00, 274.05, 2008.68, 15695.66
112.15, 6.70, 10.00, 274.05, 2006.92, 15695.66
113.87, 5.80, 0.00, 274.05, 2007.59, 15695.66
115.60, 6.70, 10.00, 274.18, 2008.46, 15695.66
117.32, 5.80, 0.00, 274.30, 2006.40, 15695.66
119.04, 6.70, 10.00, 274.30, 2015.86, 15695.66
120.76, 7.50, 20.00, 274.43, 2015.62, 15695.66
122.48, 5.00, 0.00, 274.55, 2012.61, 15695.66
124.20, 5.90, 0.00, 274.55, 2015.63, 15695.66
125.93, 5.90, 0.00, 274.55, 2016.62, 15695.66
127.65, 7.60, 20.00, 274.55, 2009.65, 15695.66
