Time(s), System_CPU(%), Target_CPU(%), Target_Memory(MB), System_Memory_Used(MB), System_Memory_Total(MB)
0.25, 21.50, 0.00, 3.66, 1669.42, 15695.66
1.57, 0.80, 0.00, 67.23, 1735.53, 15695.66
2.88, 9.20, 0.00, 67.23, 1776.86, 15695.66
4.20, 0.00, 0.00, 67.23, 1795.62, 15695.66
5.51, 0.00, 0.00, 67.23, 1789.45, 15695.66
7.43, 2.50, 20.00, 253.72, 1848.32, 15695.66
9.35, 1.70, 20.00, 253.72, 1855.00, 15695.66
11.27, 1.70, 0.00, 253.72, 1850.11, 15695.66
13.19, 0.80, 20.00, 253.72, 1848.14, 15695.66
15.10, 5.00, 0.00, 253.72, 1825.77, 15695.66
17.02, 2.50, 10.00, 253.84, 1810.89, 15695.66
18.94, 2.50, 10.00, 253.84, 1806.16, 15695.66
20.86, 2.50, 0.00, 253.84, 1802.66, 15695.66
22.77, 1.70, 20.00, 253.84, 1798.58, 15695.66
24.69, 1.70, 0.00, 253.84, 1795.54, 15695.66
26.61, 9.30, 0.00, 253.84, 1792.92, 15695.66
28.53, 2.50, 20.00, 253.84, 1791.48, 15695.66
30.44, 1.70, 0.00, 253.84, 1791.77, 15695.66
32.36, 1.70, 0.00, 253.84, 1792.15, 15695.66
34.28, 1.70, 20.00, 253.84, 1792.19, 15695.66
36.20, 1.70, 0.00, 253.84, 1792.92, 15695.66
38.11, 1.70, 0.00, 253.84, 1793.40, 15695.66
40.04, 5.00, 0.00, 253.84, 1793.88, 15695.66
41.96, 1.70, 0.00, 253.84, 1794.60, 15695.66
43.88, 2.50, 29.90, 253.84, 1788.44, 15695.66
45.80, 5.00, 0.00, 253.84, 1789.34, 15695.66
47.72, 2.50, 20.00, 253.84, 1788.70, 15695.66
49.64, 1.70, 10.00, 253.84, 1788.69, 15695.66
51.56, 8.30, 10.00, 253.84, 1789.90, 15695.66
53.48, 2.50, 10.00, 253.84, 1790.35, 15695.66
55.39, 1.70, 0.00, 253.84, 1785.82, 15695.66
57.31, 3.30, 0.00, 253.84, 1786.04, 15695.66
59.23, 1.70, 0.00, 253.84, 1780.27, 15695.66
61.15, 2.50, 0.00, 253.84, 1781.25, 15695.66
63.07, 1.70, 0.00, 253.84, 1780.86, 15695.66
64.99, 9.90, 30.00, 253.84, 1780.85, 15695.66
66.91, 1.70, 0.00, 253.84, 1781.09, 15695.66
68.83, 2.50, 10.00, 253.84, 1777.83, 15695.66
70.74, 12.50, 10.00, 253.97, 1778.06, 15695.66
72.66, 2.50, 0.00, 253.97, 1778.49, 15695.66
74.58, 2.50, 10.00, 253.97, 1777.87, 15695.66
76.50, 5.00, 0.00, 253.97, 1778.59, 15695.66
78.42, 1.70, 10.00, 253.97, 1775.19, 15695.66
80.33, 1.70, 20.00, 253.97, 1773.80, 15695.66
82.25, 9.20, 20.00, 253.97, 1772.95, 15695.66
84.17, 2.50, 20.00, 253.97, 1772.94, 15695.66
86.09, 1.70, 0.00, 253.97, 1773.19, 15695.66
88.01, 2.50, 20.00, 253.97, 1773.91, 15695.66
89.92, 1.70, 10.00, 253.97, 1774.64, 15695.66
91.84, 4.10, 10.00, 253.97, 1775.17, 15695.66
93.76, 5.80, 10.00, 253.97, 1774.58, 15695.66
95.68, 2.50, 10.00, 253.97, 1774.85, 15695.66
97.60, 2.50, 10.00, 254.09, 1775.57, 15695.66
99.51, 3.30, 30.00, 254.09, 1776.05, 15695.66
101.45, 9.10, 0.00, 254.09, 1777.03, 15695.66
103.37, 1.70, 10.00, 254.09, 1777.27, 15695.66
105.29, 1.70, 0.00, 254.09, 1777.50, 15695.66
107.20, 13.90, 10.00, 254.09, 1778.41, 15695.66
109.13, 3.30, 10.00, 254.09, 1779.26, 15695.66
111.04, 1.70, 10.00, 254.22, 1779.50, 15695.66
112.96, 5.80, 10.00, 254.22, 1779.50, 15695.66
114.88, 4.20, 0.00, 254.22, 1784.70, 15695.66
116.80, 3.30, 0.00, 254.22, 1785.06, 15695.66
118.72, 2.50, 0.00, 254.22, 1785.48, 15695.66
120.65, 4.10, 0.00, 254.22, 1786.28, 15695.66
122.57, 1.70, 10.00, 254.22, 1786.76, 15695.66
