Time(s), System_CPU(%), Target_CPU(%), Target_Memory(MB), System_Memory_Used(MB), System_Memory_Total(MB)
0.23, 21.50, 0.00, 3.66, 1584.59, 15695.66
1.55, 0.00, 0.00, 67.19, 1620.48, 15695.66
2.87, 7.60, 0.00, 67.19, 1669.62, 15695.66
4.18, 0.80, 0.00, 67.32, 1674.96, 15695.66
5.50, 0.80, 0.00, 67.32, 1655.07, 15695.66
7.01, 0.80, 0.00, 129.18, 1765.04, 15695.66
8.53, 1.70, 0.00, 129.18, 1794.24, 15695.66
10.04, 1.70, 0.00, 129.18, 1766.89, 15695.66
11.56, 0.80, 10.00, 129.18, 1748.59, 15695.66
13.07, 1.70, 10.00, 129.18, 1721.40, 15695.66
14.59, 2.50, 10.00, 129.18, 1710.76, 15695.66
16.10, 3.30, 0.00, 129.18, 1691.38, 15695.66
17.62, 2.50, 10.00, 129.18, 1685.31, 15695.66
19.14, 1.70, 0.00, 129.18, 1677.06, 15695.66
20.65, 0.80, 10.00, 129.30, 1682.26, 15695.66
22.17, 1.70, 0.00, 129.30, 1668.42, 15695.66
23.68, 1.70, 0.00, 129.43, 1658.68, 15695.66
25.20, 0.80, 0.00, 129.43, 1656.88, 15695.66
26.71, 0.80, 0.00, 129.43, 1654.76, 15695.66
28.23, 1.70, 10.00, 129.43, 1652.75, 15695.66
29.74, 0.80, 10.00, 129.43, 1648.99, 15695.66
31.26, 0.80, 0.00, 129.43, 1648.94, 15695.66
32.77, 1.70, 0.00, 129.43, 1646.99, 15695.66
34.29, 2.50, 0.00, 129.43, 1644.23, 15695.66
35.80, 2.50, 0.00, 129.43, 1642.80, 15695.66
37.32, 3.30, 10.00, 129.43, 1639.09, 15695.66
38.84, 0.80, 0.00, 129.43, 1637.34, 15695.66
40.35, 0.80, 10.00, 129.43, 1637.77, 15695.66
41.87, 0.00, 0.00, 129.43, 1635.96, 15695.66
43.38, 1.70, 10.00, 129.43, 1634.91, 15695.66
44.90, 0.80, 0.00, 129.43, 1631.99, 15695.66
46.41, 1.70, 10.00, 129.43, 1625.87, 15695.66
47.93, 0.80, 0.00, 129.43, 1626.26, 15695.66
49.45, 0.80, 0.00, 129.43, 1620.49, 15695.66
50.96, 1.70, 0.00, 129.43, 1619.64, 15695.66
52.48, 2.50, 0.00, 129.43, 1621.00, 15695.66
53.99, 1.70, 0.00, 129.43, 1618.18, 15695.66
55.51, 1.70, 0.00, 129.43, 1617.82, 15695.66
57.02, 0.80, 19.90, 129.43, 1618.73, 15695.66
58.54, 3.30, 0.00, 129.43, 1619.06, 15695.66
60.05, 0.80, 0.00, 129.43, 1619.18, 15695.66
61.58, 0.80, 10.00, 129.43, 1618.69, 15695.66
63.10, 1.70, 10.00, 129.43, 1619.63, 15695.66
64.62, 0.80, 0.00, 129.43, 1620.00, 15695.66
66.13, 0.80, 0.00, 129.43, 1621.96, 15695.66
67.65, 1.70, 19.90, 129.43, 1622.18, 15695.66
69.16, 0.80, 0.00, 129.43, 1619.62, 15695.66
70.68, 0.80, 0.00, 129.43, 1620.00, 15695.66
72.19, 0.00, 10.00, 129.43, 1621.28, 15695.66
73.71, 0.80, 0.00, 129.43, 1621.08, 15695.66
75.22, 2.50, 0.00, 129.43, 1621.73, 15695.66
76.74, 1.70, 0.00, 129.43, 1617.54, 15695.66
78.25, 1.70, 0.00, 129.43, 1615.72, 15695.66
79.77, 0.80, 0.00, 129.43, 1616.45, 15695.66
81.29, 1.70, 0.00, 129.43, 1616.65, 15695.66
82.81, 1.70, 0.00, 129.43, 1616.37, 15695.66
84.32, 0.80, 10.00, 129.43, 1617.01, 15695.66
85.84, 1.70, 0.00, 129.43, 1617.16, 15695.66
87.35, 0.80, 10.00, 129.43, 1617.52, 15695.66
88.87, 1.70, 10.00, 129.43, 1616.97, 15695.66
90.39, 0.80, 0.00, 129.43, 1616.90, 15695.66
91.90, 0.00, 0.00, 129.43, 1617.63, 15695.66
93.42, 2.50, 0.00, 129.43, 1618.40, 15695.66
94.93, 3.30, 0.00, 129.43, 1619.69, 15695.66
96.45, 2.50, 10.00, 129.43, 1619.76, 15695.66
97.97, 0.00, 0.00, 129.55, 1619.47, 15695.66
99.48, 1.70, 0.00, 129.55, 1621.86, 15695.66
101.00, 1.70, 10.00, 129.55, 1620.62, 15695.66
102.51, 1.70, 0.00, 129.55, 1620.47, 15695.66
104.03, 0.00, 0.00, 129.55, 1619.48, 15695.66
105.55, 0.80, 0.00, 129.55, 1619.19, 15695.66
107.07, 0.80, 0.00, 129.55, 1614.68, 15695.66
108.58, 1.70, 0.00, 129.55, 1615.66, 15695.66
110.10, 0.80, 10.00, 129.55, 1617.34, 15695.66
111.61, 1.70, 10.00, 129.55, 1617.84, 15695.66
113.13, 2.50, 0.00, 129.55, 1617.46, 15695.66
114.64, 1.70, 10.00, 129.55, 1617.69, 15695.66
116.16, 2.50, 0.00, 129.55, 1617.45, 15695.66
117.67, 1.70, 0.00, 129.55, 1617.55, 15695.66
119.19, 0.80, 0.00, 129.55, 1614.84, 15695.66
120.70, 0.80, 0.00, 129.55, 1616.75, 15695.66
122.22, 1.70, 0.00, 129.55, 1617.71, 15695.66
123.74, 9.20, 10.00, 129.55, 1602.10, 15695.66
