Time(s), System_CPU(%), Target_CPU(%), Target_Memory(MB), System_Memory_Used(MB), System_Memory_Total(MB)
0.25, 19.30, 0.00, 3.31, 1685.34, 15695.66
1.57, 0.80, 0.00, 66.86, 1748.52, 15695.66
2.89, 8.40, 0.00, 66.86, 1776.12, 15695.66
4.20, 0.00, 0.00, 66.98, 1776.80, 15695.66
5.52, 1.60, 0.00, 66.98, 1757.69, 15695.66
7.44, 1.70, 10.00, 253.96, 1932.70, 15695.66
9.36, 0.80, 0.00, 253.96, 1918.29, 15695.66
11.28, 2.50, 0.00, 253.96, 1887.84, 15695.66
13.20, 2.50, 10.00, 253.96, 1858.75, 15695.66
15.11, 2.50, 0.00, 253.96, 1839.80, 15695.66
17.03, 1.70, 0.00, 253.96, 1822.04, 15695.66
18.96, 1.70, 20.00, 253.96, 1807.69, 15695.66
20.88, 2.50, 10.00, 254.09, 1799.40, 15695.66
22.79, 1.70, 10.00, 254.09, 1798.88, 15695.66
24.71, 1.70, 10.00, 254.09, 1797.13, 15695.66
26.63, 8.30, 10.00, 254.09, 1792.29, 15695.66
28.55, 1.70, 10.00, 254.09, 1790.62, 15695.66
30.47, 2.50, 10.00, 254.09, 1789.42, 15695.66
32.39, 1.70, 0.00, 254.09, 1788.25, 15695.66
34.31, 2.50, 10.00, 254.09, 1789.17, 15695.66
36.23, 2.50, 0.00, 254.09, 1786.27, 15695.66
38.14, 1.70, 0.00, 254.09, 1786.39, 15695.66
40.06, 1.70, 10.00, 254.09, 1787.17, 15695.66
41.98, 2.50, 10.00, 254.09, 1787.16, 15695.66
43.90, 1.70, 0.00, 254.09, 1785.29, 15695.66
45.83, 5.80, 10.00, 254.09, 1785.73, 15695.66
47.74, 2.50, 10.00, 254.09, 1787.43, 15695.66
49.67, 1.70, 30.00, 254.09, 1787.66, 15695.66
51.59, 8.30, 10.00, 254.09, 1787.64, 15695.66
53.51, 2.50, 0.00, 254.09, 1787.61, 15695.66
55.42, 2.50, 20.00, 254.09, 1789.22, 15695.66
57.34, 12.40, 10.00, 254.21, 1789.43, 15695.66
59.26, 2.50, 0.00, 254.21, 1789.44, 15695.66
61.18, 3.30, 10.00, 254.21, 1789.71, 15695.66
63.09, 1.70, 10.00, 254.21, 1790.05, 15695.66
65.01, 3.30, 20.00, 254.21, 1790.53, 15695.66
66.93, 2.50, 20.00, 254.21, 1784.48, 15695.66
68.85, 2.50, 10.00, 254.21, 1784.86, 15695.66
70.77, 3.30, 10.00, 254.21, 1785.71, 15695.66
72.68, 2.50, 10.00, 254.21, 1781.81, 15695.66
74.60, 2.50, 10.00, 254.21, 1776.32, 15695.66
76.52, 6.60, 0.00, 254.21, 1774.36, 15695.66
78.44, 2.50, 10.00, 254.21, 1774.93, 15695.66
80.36, 1.70, 0.00, 254.21, 1775.89, 15695.66
82.28, 12.60, 0.00, 254.21, 1776.34, 15695.66
84.19, 1.70, 20.00, 254.21, 1776.83, 15695.66
86.11, 1.70, 0.00, 254.21, 1772.65, 15695.66
88.03, 5.80, 20.00, 254.21, 1773.14, 15695.66
89.95, 2.50, 0.00, 254.21, 1773.78, 15695.66
91.86, 3.30, 10.00, 254.34, 1767.66, 15695.66
93.78, 8.10, 0.00, 254.34, 1768.84, 15695.66
95.70, 3.30, 10.00, 254.34, 1770.18, 15695.66
97.62, 2.50, 10.00, 254.34, 1770.84, 15695.66
99.54, 2.50, 20.00, 254.34, 1769.29, 15695.66
101.46, 1.70, 10.00, 254.34, 1770.09, 15695.66
103.38, 1.70, 10.00, 254.34, 1770.54, 15695.66
105.29, 2.50, 10.00, 254.34, 1771.27, 15695.66
107.22, 10.00, 0.00, 254.34, 1772.00, 15695.66
109.14, 3.30, 10.00, 254.34, 1772.97, 15695.66
111.05, 2.50, 0.00, 254.34, 1773.70, 15695.66
112.97, 9.20, 20.00, 254.34, 1771.80, 15695.66
114.89, 5.00, 30.00, 254.34, 1772.54, 15695.66
116.81, 3.30, 0.00, 254.34, 1770.45, 15695.66
118.73, 5.00, 0.00, 254.34, 1771.66, 15695.66
120.64, 2.50, 10.00, 254.34, 1764.21, 15695.66
122.56, 2.50, 0.00, 254.34, 1764.94, 15695.66
