Time(s), CPU(%), Memory(MB)
0.15, 0.00, 3.59
1.37, 0.00, 67.07
2.58, 0.00, 67.07
3.80, 0.00, 67.20
5.01, 0.00, 67.20
6.84, 20.00, 254.62
8.65, 0.00, 254.75
10.47, 10.00, 254.88
12.29, 0.00, 254.88
14.11, 10.00, 254.88
15.93, 0.00, 254.88
17.75, 10.00, 254.88
19.57, 30.00, 254.88
21.39, 0.00, 254.88
23.20, 10.00, 254.88
25.02, 10.00, 254.88
26.84, 20.00, 254.88
28.66, 0.00, 254.88
30.47, 0.00, 255.00
32.29, 30.00, 255.00
34.11, 10.00, 255.00
35.93, 20.00, 255.00
37.76, 0.00, 255.00
39.57, 10.00, 255.00
41.39, 10.00, 255.12
43.21, 20.00, 255.12
45.03, 10.00, 255.12
46.84, 0.00, 255.12
48.66, 10.00, 255.12
50.48, 10.00, 255.12
52.30, 10.00, 255.12
54.12, 10.00, 255.12
55.93, 10.00, 255.12
57.75, 10.00, 255.12
59.57, 20.00, 255.12
61.39, 10.00, 255.12
63.21, 10.00, 255.12
65.03, 10.00, 255.12
66.85, 10.00, 255.12
68.66, 20.00, 255.12
70.48, 0.00, 255.12
72.30, 10.00, 255.12
74.12, 0.00, 255.12
75.94, 0.00, 255.12
77.76, 10.00, 255.12
79.58, 0.00, 255.12
81.39, 10.00, 255.12
83.21, 0.00, 255.12
85.03, 0.00, 255.12
86.85, 0.00, 255.12
88.66, 0.00, 255.12
90.49, 30.00, 255.12
92.31, 10.00, 255.12
94.13, 10.00, 255.12
95.95, 30.00, 255.12
97.77, 10.00, 255.12
99.58, 10.00, 255.12
101.40, 20.00, 255.12
103.22, 20.00, 255.12
105.04, 0.00, 255.12
106.86, 0.00, 255.12
108.68, 20.00, 255.12
110.50, 0.00, 255.25
112.32, 10.00, 255.25
114.14, 10.00, 255.25
115.96, 20.00, 255.25
117.77, 30.00, 255.25
119.60, 0.00, 255.38
121.42, 0.00, 255.38
