Time(s),Coverage(%),Number of running robots
1.0,0.00,21
2.0,0.00,21
3.0,0.00,21
4.0,0.00,21
5.0,19.72,21
6.0,25.13,21
7.0,27.01,21
8.0,28.07,21
9.0,28.60,21
10.0,29.41,21
11.0,30.25,21
12.0,30.25,21
13.0,31.36,21
14.0,32.45,21
15.0,33.20,21
16.0,34.04,21
17.0,34.04,21
18.0,34.43,21
19.0,34.51,21
20.0,34.76,21
21.0,34.89,21
22.0,35.02,21
23.0,35.13,21
24.0,35.38,21
25.0,35.38,21
26.0,35.53,21
27.0,35.68,21
28.0,35.68,21
29.0,35.91,21
30.0,35.91,21
31.0,35.99,21
32.0,36.20,21
33.0,36.31,21
34.0,36.31,21
35.0,36.46,21
36.0,36.54,21
37.0,36.65,21
38.0,36.80,21
39.0,36.80,21
40.0,36.93,21
41.0,37.03,21
42.0,37.04,21
43.0,37.27,21
44.0,37.32,21
45.0,37.44,21
46.0,37.44,21
47.0,37.54,21
48.0,37.54,21
49.0,37.70,21
50.0,37.75,21
51.0,37.80,21
52.0,37.90,21
53.0,37.92,21
54.0,37.95,21
55.0,37.96,21
56.0,38.02,21
57.0,38.02,21
58.0,38.07,21
59.0,38.07,21
60.0,38.13,21
61.0,38.15,21
62.0,38.17,21
63.0,38.20,21
64.0,38.30,21
65.0,38.31,21
66.0,38.32,21
67.0,38.41,21
68.0,38.42,21
69.0,38.42,21
70.0,38.53,21
71.0,38.55,21
72.0,38.55,21
73.0,38.62,21
74.0,38.66,21
75.0,38.67,21
76.0,38.77,21
77.0,38.77,21
78.0,38.82,21
79.0,38.85,21
80.0,38.85,21
81.0,38.98,21
82.0,39.09,21
83.0,39.10,21
84.0,39.31,21
85.0,39.52,21
86.0,39.66,21
87.0,39.67,21
88.0,40.11,21
89.0,40.22,21
90.0,40.23,21
91.0,40.56,21
92.0,40.56,21
93.0,40.70,21
94.0,40.88,21
95.0,41.03,21
96.0,41.03,21
97.0,41.09,21
98.0,41.26,21
99.0,41.29,21
100.0,41.51,21
101.0,41.84,21
102.0,41.91,21
103.0,42.12,21
104.0,42.95,21
105.0,42.99,21
106.0,43.35,21
107.0,43.89,21
108.0,44.18,21
109.0,44.27,21
110.0,44.99,21
111.0,45.38,21
112.0,45.98,21
113.0,46.36,21
114.0,46.67,21
115.0,46.67,21
116.0,47.73,21
117.0,48.12,21
118.0,48.28,21
119.0,48.41,21
120.0,48.55,21
