Time(s),Coverage(%),Number of running robots
1747740792.0,0.00,8
1747740793.0,14.23,8
1747740794.0,14.23,8
1747740795.0,14.23,8
1747740796.0,14.23,8
1747740797.0,14.23,8
1747740798.1,14.23,8
1747740799.1,14.23,8
1747740800.1,14.23,8
1747740801.1,14.23,8
1747740802.1,14.23,8
1747740803.1,14.23,8
1747740804.1,14.23,8
1747740805.1,17.10,8
1747740806.1,19.02,8
1747740807.2,20.72,8
1747740808.2,21.74,8
1747740809.2,22.28,8
1747740810.2,23.01,8
1747740811.2,23.24,8
1747740812.2,23.36,8
1747740813.2,24.15,8
1747740814.2,24.95,8
1747740815.2,25.64,8
1747740816.2,26.10,8
1747740817.2,26.62,8
1747740818.3,27.07,8
1747740819.3,27.59,8
1747740820.3,27.83,8
1747740821.3,28.17,8
1747740822.3,28.54,8
1747740823.3,29.00,8
1747740824.3,29.19,8
1747740825.3,29.46,8
1747740826.3,29.78,8
1747740827.4,30.67,8
1747740828.4,32.21,8
1747740829.4,33.54,8
1747740830.4,34.69,8
1747740831.4,34.95,8
1747740832.4,35.10,8
1747740833.4,35.89,8
1747740834.4,36.69,8
1747740835.4,38.18,8
1747740836.4,39.13,8
1747740837.5,39.27,8
1747740838.5,39.28,8
1747740839.5,39.58,8
1747740840.5,39.81,8
1747740841.5,39.97,8
1747740842.5,40.47,8
1747740843.5,41.44,8
1747740844.5,42.71,8
1747740845.5,44.05,8
1747740846.5,45.02,8
1747740847.5,45.87,8
1747740848.5,46.72,8
1747740849.5,47.22,8
1747740850.6,48.30,8
1747740851.6,49.50,8
1747740852.6,50.69,8
1747740853.6,52.12,8
1747740854.6,52.68,8
1747740855.6,53.62,8
1747740856.6,54.51,8
1747740857.6,55.36,8
1747740858.6,55.85,8
1747740859.6,56.24,8
1747740860.7,56.49,8
1747740861.7,57.27,8
1747740862.7,57.70,8
1747740863.7,57.87,8
1747740864.7,58.37,8
1747740865.7,58.68,8
1747740866.7,58.72,8
1747740867.7,58.88,8
1747740868.8,58.93,8
1747740869.8,59.03,8
1747740870.8,59.05,8
1747740871.8,59.16,8
1747740872.8,61.63,8
1747740873.8,62.41,8
1747740874.8,63.32,8
1747740875.8,64.58,8
1747740876.8,65.22,8
1747740877.9,65.36,8
1747740878.9,65.64,8
1747740879.9,66.27,8
1747740880.9,67.07,8
1747740881.9,67.76,8
1747740882.9,68.06,8
1747740883.9,68.06,8
1747740884.9,68.19,8
1747740885.9,68.54,8
1747740886.9,68.65,8
1747740888.0,68.75,8
1747740889.0,68.89,8
1747740890.0,69.31,8
1747740891.0,71.22,8
1747740892.0,72.25,8
1747740893.0,72.45,8
1747740894.0,72.62,8
1747740895.0,72.78,8
1747740896.0,72.87,8
1747740897.0,72.87,8
1747740898.0,72.98,8
1747740899.0,73.02,8
1747740900.0,73.02,8
1747740901.0,73.03,8
1747740902.1,73.03,8
1747740903.1,73.04,8
1747740904.1,73.04,8
1747740905.1,73.04,8
1747740906.1,73.08,8
1747740907.1,73.12,8
1747740908.1,73.14,8
1747740909.1,73.32,8
1747740910.1,73.61,8
1747740911.1,73.78,8
1747740912.1,73.94,8
1747740913.1,74.14,8
1747740914.2,74.80,8
1747740915.2,75.15,8
1747740916.2,75.75,8
1747740917.2,76.53,8
1747740918.2,77.16,8
1747740919.2,77.44,8
1747740920.2,77.46,8
1747740921.2,77.47,8
1747740922.2,77.50,8
1747740923.2,77.61,8
1747740924.2,77.70,8
1747740925.2,77.77,8
1747740926.2,77.78,8
1747740927.2,77.79,8
1747740928.2,77.81,8
1747740929.3,77.82,8
1747740930.3,77.83,8
1747740931.3,77.83,8
1747740932.3,77.88,8
1747740933.3,78.20,8
1747740934.3,78.36,8
1747740935.3,78.80,8
1747740936.4,78.81,8
1747740937.4,79.24,8
1747740938.4,79.30,8
1747740939.4,79.40,8
1747740940.4,79.41,8
1747740941.4,79.49,8
1747740942.4,79.89,8
1747740943.4,80.38,8
1747740944.4,81.13,8
1747740945.4,82.52,8
1747740946.4,82.81,8
1747740947.4,83.01,8
1747740948.4,83.28,8
1747740949.4,83.40,8
1747740950.4,83.78,8
1747740951.4,83.91,8
1747740952.5,84.00,8
1747740953.5,84.20,8
1747740954.5,84.39,8
1747740955.5,84.49,8
1747740956.5,84.55,8
1747740957.5,84.55,8
1747740958.5,84.64,8
1747740959.5,84.68,8
1747740960.5,84.73,8
1747740961.5,84.87,8
1747740962.6,84.98,8
1747740963.6,85.10,8
1747740964.6,85.47,8
1747740965.6,86.39,8
1747740966.6,86.77,8
1747740967.6,86.79,8
1747740968.6,87.03,8
1747740969.6,87.07,8
1747740970.6,87.09,8
1747740971.6,87.10,8
1747740972.6,87.11,8
1747740973.6,87.11,8
1747740974.6,87.11,8
1747740975.7,87.20,8
1747740976.7,87.29,8
1747740977.7,88.29,8
1747740978.7,90.31,8
1747740979.7,91.28,8
1747740980.7,91.58,8
1747740981.7,91.62,8
1747740982.7,91.67,8
1747740983.7,91.73,8
1747740984.7,91.84,8
1747740985.7,91.95,8
1747740986.7,92.04,8
1747740987.8,92.11,8
1747740988.8,92.16,8
1747740989.8,92.25,8
1747740990.8,92.35,8
1747740991.8,92.52,8
1747740992.8,92.55,8
1747740993.8,92.59,8
1747740994.8,92.67,8
1747740995.8,92.75,8
1747740996.8,92.81,8
1747740997.8,92.97,8
1747740998.8,93.11,8
1747740999.8,93.21,8
1747741000.8,93.28,8
1747741001.8,93.29,8
1747741002.8,93.29,8
1747741003.8,93.46,8
1747741004.9,93.74,8
1747741005.9,93.94,8
1747741006.9,94.58,8
1747741007.9,95.58,8
1747741008.9,95.83,8
1747741009.9,95.84,8
1747741010.9,95.84,8
