Time(s), CPU(%), Memory(MB)
0.15, 0.00, 3.41
3.10, 149.90, 789.95
5.92, 40.00, 790.83
8.76, 40.00, 821.10
11.59, 70.00, 821.35
14.47, 315.60, 890.29
17.30, 119.90, 979.34
20.14, 60.00, 984.39
22.98, 40.00, 986.14
25.81, 50.00, 987.30
28.64, 40.00, 987.68
31.47, 30.00, 988.18
34.31, 30.00, 989.11
37.17, 60.00, 989.74
40.03, 59.60, 990.24
42.90, 80.00, 990.74
45.76, 39.90, 990.99
48.60, 69.90, 991.74
51.45, 80.00, 992.49
54.28, 70.00, 993.24
57.12, 40.00, 993.61
59.98, 69.30, 993.99
62.87, 79.70, 994.74
65.76, 79.70, 996.24
68.63, 90.00, 997.24
71.49, 80.00, 998.00
74.35, 69.90, 995.80
77.28, 79.50, 993.27
80.20, 79.80, 993.77
83.08, 90.00, 994.14
85.97, 99.40, 994.77
88.86, 99.50, 995.39
91.74, 89.40, 996.02
94.64, 90.00, 996.82
97.55, 89.80, 997.70
100.39, 30.00, 998.82
103.24, 80.00, 999.95
106.09, 50.00, 1000.70
108.94, 69.90, 1001.57
111.80, 129.70, 1001.95
114.66, 70.00, 1002.57
117.50, 59.90, 1003.45
120.35, 39.90, 1003.95
123.21, 19.90, 1004.82
126.06, 79.60, 1005.95
128.93, 30.00, 1006.57
131.77, 80.00, 1007.45
134.63, 60.00, 1008.45
137.47, 69.80, 1008.82
140.35, 69.30, 1009.20
143.24, 79.70, 1009.57
146.12, 79.20, 1009.95
149.00, 39.70, 1010.07
151.92, 69.50, 1010.45
154.78, 90.00, 1011.20
157.68, 79.90, 1011.70
160.55, 80.00, 1011.95
163.45, 59.90, 1012.20
166.30, 30.00, 1012.32
169.16, 60.00, 1009.58
172.01, 70.00, 1009.71
174.88, 89.60, 1009.83
177.74, 39.80, 1009.83
180.58, 50.00, 1010.08
183.44, 70.00, 1010.21
186.28, 79.90, 1010.21
189.13, 60.00, 1010.33
192.00, 40.00, 1010.33
194.85, 39.90, 1010.33
197.71, 50.00, 1010.46
200.55, 49.90, 1010.58
203.40, 69.50, 1010.96
206.27, 19.90, 1011.33
209.12, 70.00, 1011.46
212.00, 59.90, 1011.83
214.87, 60.00, 1012.46
217.75, 59.60, 1012.46
220.64, 99.10, 1012.58
223.51, 60.00, 1013.21
226.34, 50.00, 1013.83
