Time(s),Coverage(%),Number of running robots
1746874078.9,0.00, 2
1746874079.9,7.82, 2
1746874080.9,11.05, 2
1746874081.9,11.98, 2
1746874082.9,12.50, 2
1746874083.9,12.86, 2
1746874084.9,13.15, 2
1746874085.9,13.30, 2
1746874086.9,13.41, 2
1746874087.9,13.58, 2
1746874089.0,13.74, 2
1746874090.0,13.84, 2
1746874091.0,13.93, 2
1746874092.0,14.06, 2
1746874093.0,14.25, 2
1746874094.0,14.39, 2
1746874095.0,14.56, 2
1746874096.0,14.63, 2
1746874097.0,14.74, 2
1746874098.0,14.83, 2
1746874099.0,14.88, 2
1746874100.0,14.93, 2
1746874101.0,15.04, 2
1746874102.0,15.09, 2
1746874103.1,15.14, 2
1746874104.1,15.20, 2
1746874105.1,15.20, 2
1746874106.1,15.32, 2
1746874107.1,15.45, 2
1746874108.1,15.56, 2
1746874109.1,15.64, 2
1746874110.1,15.69, 2
1746874111.1,15.73, 2
1746874112.1,15.87, 2
1746874113.1,15.95, 2
1746874114.1,16.04, 2
1746874115.1,16.18, 2
1746874116.1,16.32, 2
1746874117.2,16.38, 2
1746874118.2,16.48, 2
1746874119.2,16.57, 2
1746874120.2,16.80, 2
1746874121.2,17.07, 2
1746874122.2,17.20, 2
1746874123.2,17.35, 2
1746874124.2,17.50, 2
1746874125.3,17.69, 2
1746874126.3,17.89, 2
1746874127.3,18.03, 2
1746874128.3,18.14, 2
1746874129.3,18.22, 2
1746874130.3,18.30, 2
1746874131.3,18.39, 2
1746874132.3,18.45, 2
1746874133.3,18.51, 2
1746874134.3,18.60, 2
1746874135.3,18.70, 2
1746874136.3,18.84, 2
1746874137.3,19.01, 2
1746874138.3,19.14, 2
1746874139.3,19.20, 2
1746874140.4,19.28, 2
1746874141.4,19.43, 2
1746874142.4,19.51, 2
1746874143.4,19.60, 2
1746874144.4,19.63, 2
1746874145.4,19.77, 2
1746874146.4,19.80, 2
1746874147.4,19.84, 2
1746874148.4,19.88, 2
1746874149.4,19.90, 2
1746874150.4,19.91, 2
1746874151.4,19.95, 2
1746874152.5,19.97, 2
1746874153.5,19.98, 2
1746874154.5,20.04, 2
1746874155.5,20.06, 2
1746874156.5,20.15, 2
1746874157.5,20.15, 2
1746874158.5,20.24, 2
1746874159.5,20.25, 2
1746874160.5,20.28, 2
1746874161.5,20.30, 2
1746874162.6,20.32, 2
1746874163.6,20.45, 2
1746874164.6,20.54, 2
1746874165.6,20.62, 2
1746874166.6,20.80, 2
1746874167.6,20.88, 2
1746874168.6,20.90, 2
1746874169.6,20.91, 2
1746874170.6,21.05, 2
1746874171.6,21.37, 2
1746874172.6,21.76, 2
1746874173.6,22.12, 2
1746874174.6,22.44, 2
1746874175.7,22.57, 2
1746874176.7,22.72, 2
1746874177.7,22.84, 2
1746874178.7,22.93, 2
1746874179.7,23.06, 2
1746874180.7,23.21, 2
1746874181.7,23.29, 2
1746874182.7,23.30, 2
1746874183.7,23.43, 2
1746874184.7,23.52, 2
1746874185.7,23.52, 2
1746874186.8,23.60, 2
1746874187.8,23.69, 2
1746874188.8,23.70, 2
1746874189.8,23.80, 2
1746874190.8,24.23, 2
1746874191.8,24.65, 2
1746874192.8,24.88, 2
1746874193.8,25.20, 2
1746874194.8,25.41, 2
