Time(s), CPU(%), Memory(MB)
0.12, 0.00, 3.41
1.34, 0.00, 67.07
2.55, 0.00, 67.07
3.77, 0.00, 67.20
4.98, 0.00, 67.20
6.83, 20.00, 253.70
8.65, 10.00, 253.70
10.48, 20.00, 253.70
12.30, 0.00, 253.70
14.11, 0.00, 253.70
15.93, 0.00, 253.70
17.76, 10.00, 253.70
19.58, 0.00, 253.70
21.40, 10.00, 253.70
23.22, 10.00, 253.70
25.04, 10.00, 253.70
26.85, 0.00, 253.70
28.67, 20.00, 253.70
30.49, 30.00, 253.70
32.31, 10.00, 253.70
34.13, 10.00, 253.70
35.94, 10.00, 253.70
37.77, 20.00, 253.70
39.58, 10.00, 253.70
41.40, 10.00, 253.70
43.22, 0.00, 253.70
45.04, 10.00, 253.70
46.86, 0.00, 253.70
48.68, 0.00, 253.70
50.50, 0.00, 253.70
52.31, 20.00, 253.70
54.13, 10.00, 253.70
55.95, 10.00, 253.70
57.77, 10.00, 253.70
59.59, 0.00, 253.70
61.41, 10.00, 253.70
63.23, 20.00, 253.70
65.05, 10.00, 253.70
66.86, 10.00, 253.70
68.68, 10.00, 253.70
70.50, 0.00, 253.70
72.32, 20.00, 253.70
74.13, 10.00, 253.70
75.95, 10.00, 253.70
77.77, 20.00, 253.70
79.59, 10.00, 253.70
81.41, 0.00, 253.70
83.23, 20.00, 253.70
85.05, 10.00, 253.70
86.87, 30.00, 253.70
88.69, 30.00, 253.70
90.51, 10.00, 253.70
92.34, 0.00, 253.83
94.15, 10.00, 253.83
95.97, 0.00, 253.83
97.79, 0.00, 253.83
99.62, 10.00, 253.83
101.44, 0.00, 253.83
103.27, 0.00, 253.95
105.08, 0.00, 253.95
106.90, 0.00, 253.95
108.72, 10.00, 253.95
110.54, 20.00, 253.95
112.35, 20.00, 253.95
114.17, 20.00, 253.95
115.99, 20.00, 253.95
117.81, 10.00, 253.95
119.63, 20.00, 253.95
121.44, 10.00, 253.95
