Time(s),Coverage(%),Number of running robots
1746886686.4,7.70, 2
1746886687.4,7.70, 2
1746886688.4,7.70, 2
1746886689.4,7.70, 2
1746886690.5,7.70, 2
1746886691.5,7.70, 2
1746886692.5,7.70, 2
1746886693.5,7.70, 2
1746886694.5,7.70, 2
1746886695.5,9.96, 2
1746886696.5,11.28, 2
1746886697.5,12.03, 2
1746886698.5,12.47, 2
1746886699.5,13.12, 2
1746886700.6,14.10, 2
1746886701.6,15.36, 2
1746886702.6,15.73, 2
1746886703.6,15.78, 2
1746886704.6,15.80, 2
1746886705.6,15.92, 2
1746886706.6,16.01, 2
1746886707.6,16.13, 2
1746886708.6,16.16, 2
1746886709.7,16.20, 2
1746886710.7,16.27, 2
1746886711.7,16.57, 2
1746886712.7,16.81, 2
1746886713.7,17.00, 2
1746886714.7,17.23, 2
1746886715.7,17.78, 2
1746886716.7,18.37, 2
1746886717.7,19.63, 2
1746886718.7,20.71, 2
1746886719.8,21.07, 2
1746886720.8,21.20, 2
1746886721.8,21.41, 2
1746886722.8,21.64, 2
1746886723.8,21.83, 2
1746886724.8,22.08, 2
1746886725.8,22.19, 2
1746886726.8,22.25, 2
1746886727.8,22.38, 2
1746886728.8,22.59, 2
1746886729.8,22.78, 2
1746886730.8,23.18, 2
1746886731.8,23.67, 2
1746886732.8,23.67, 2
1746886733.8,23.80, 2
1746886734.9,24.06, 2
1746886735.9,24.27, 2
1746886736.9,24.38, 2
1746886737.9,24.44, 2
1746886738.9,24.51, 2
1746886740.0,24.55, 2
1746886741.0,24.80, 2
1746886742.0,25.11, 2
1746886743.0,25.67, 2
1746886744.0,26.04, 2
1746886745.0,26.10, 2
1746886746.0,26.30, 2
1746886747.0,26.65, 2
1746886748.0,26.85, 2
1746886749.0,26.94, 2
1746886750.0,27.32, 2
1746886751.0,28.38, 2
1746886752.0,30.39, 2
1746886753.1,31.78, 2
1746886754.1,32.18, 2
1746886755.1,32.80, 2
1746886756.1,33.02, 2
1746886757.1,33.13, 2
1746886758.1,33.27, 2
1746886759.1,33.37, 2
1746886760.1,33.37, 2
1746886761.1,33.41, 2
1746886762.1,33.50, 2
1746886763.2,33.80, 2
1746886764.2,34.06, 2
1746886765.2,34.17, 2
1746886766.2,34.26, 2
1746886767.2,34.52, 2
1746886768.2,34.73, 2
1746886769.2,35.04, 2
1746886770.2,36.55, 2
1746886771.2,37.37, 2
1746886772.2,37.37, 2
1746886773.2,37.56, 2
1746886774.2,37.91, 2
1746886775.3,38.51, 2
1746886776.3,38.59, 2
1746886777.3,38.64, 2
1746886778.3,38.78, 2
1746886779.3,38.90, 2
1746886780.3,39.01, 2
1746886781.3,39.18, 2
1746886782.3,39.40, 2
1746886783.3,39.59, 2
1746886784.3,39.60, 2
1746886785.3,39.71, 2
1746886786.3,39.90, 2
1746886787.4,40.06, 2
1746886788.4,40.17, 2
1746886789.4,40.36, 2
1746886790.4,40.55, 2
1746886791.4,40.77, 2
1746886792.4,40.87, 2
1746886793.4,41.09, 2
1746886794.4,41.14, 2
1746886795.4,41.19, 2
1746886796.4,41.65, 2
1746886797.4,42.50, 2
1746886798.4,43.44, 2
1746886799.5,43.82, 2
1746886800.5,44.29, 2
1746886801.5,44.97, 2
1746886802.5,46.30, 2
1746886803.5,46.32, 2
1746886804.5,46.33, 2
1746886805.5,46.55, 2
