Time(s),Coverage(%),Number of running robots
1746885564.1,0.00, 1
1746885565.1,2.95, 1
1746885566.1,2.95, 1
1746885567.1,2.95, 1
1746885568.1,2.95, 1
1746885569.1,2.95, 1
1746885570.2,2.95, 1
1746885571.2,2.95, 1
1746885572.2,2.95, 1
1746885573.2,2.95, 1
1746885574.2,6.98, 1
1746885575.2,6.98, 1
1746885576.2,6.98, 1
1746885577.2,9.60, 1
1746885578.2,10.29, 1
1746885579.2,10.29, 1
1746885580.2,10.29, 1
1746885581.2,10.29, 1
1746885582.2,10.29, 1
1746885583.3,10.29, 1
1746885584.3,10.29, 1
1746885585.3,10.29, 1
1746885586.3,10.29, 1
1746885587.3,10.29, 1
1746885588.3,10.29, 1
1746885589.3,10.29, 1
1746885590.3,10.29, 1
1746885591.3,10.29, 1
1746885592.4,10.56, 1
1746885593.4,10.56, 1
1746885594.4,10.87, 1
1746885595.4,10.87, 1
1746885596.4,10.87, 1
1746885597.4,10.87, 1
1746885598.4,10.87, 1
1746885599.4,10.87, 1
1746885600.4,10.87, 1
1746885601.4,11.04, 1
1746885602.4,11.33, 1
1746885603.5,11.68, 1
1746885604.5,12.06, 1
1746885605.5,12.06, 1
1746885606.5,12.14, 1
1746885607.5,12.47, 1
1746885608.5,12.37, 1
1746885609.5,12.82, 1
1746885610.5,13.00, 1
1746885611.5,13.11, 1
1746885612.5,13.14, 1
1746885613.5,13.36, 1
1746885614.5,13.77, 1
1746885615.6,13.77, 1
1746885616.6,13.77, 1
1746885617.6,13.89, 1
1746885618.6,14.20, 1
1746885619.6,14.61, 1
1746885620.6,14.99, 1
1746885621.6,15.15, 1
1746885622.6,15.15, 1
1746885623.6,15.15, 1
1746885624.6,15.15, 1
1746885625.6,15.46, 1
1746885626.6,15.46, 1
1746885627.7,15.59, 1
1746885628.7,15.59, 1
1746885629.7,15.59, 1
1746885630.7,15.62, 1
1746885631.7,15.71, 1
1746885632.7,15.72, 1
1746885633.7,15.75, 1
1746885634.7,15.78, 1
1746885635.7,15.84, 1
1746885636.7,15.89, 1
1746885637.7,15.91, 1
1746885638.7,15.99, 1
1746885639.8,16.24, 1
1746885640.8,16.61, 1
1746885641.8,16.86, 1
1746885642.8,16.89, 1
1746885643.8,17.01, 1
1746885644.8,17.01, 1
1746885645.8,17.01, 1
1746885646.8,17.04, 1
1746885647.9,17.15, 1
1746885648.9,17.24, 1
1746885649.9,17.46, 1
1746885650.9,17.97, 1
1746885651.9,18.92, 1
1746885652.9,20.05, 1
1746885653.9,20.05, 1
1746885654.9,20.05, 1
1746885656.0,20.38, 1
1746885657.0,20.78, 1
1746885658.0,20.87, 1
1746885659.0,21.16, 1
1746885660.0,21.52, 1
1746885661.0,22.19, 1
1746885662.0,22.88, 1
1746885663.0,23.03, 1
1746885664.0,23.15, 1
1746885665.0,23.15, 1
1746885666.0,23.16, 1
1746885667.0,23.22, 1
1746885668.0,23.27, 1
1746885669.0,23.30, 1
1746885670.1,23.35, 1
1746885671.1,23.40, 1
1746885672.1,23.44, 1
1746885673.1,23.44, 1
1746885674.1,23.46, 1
1746885675.1,23.49, 1
1746885676.1,23.52, 1
1746885677.1,23.62, 1
1746885678.1,23.77, 1
1746885679.1,23.92, 1
1746885680.2,24.57, 1
1746885681.2,25.12, 1
1746885682.2,25.44, 1
1746885683.2,25.44, 1
